VPB,Q3/2017,Q4/2017,Q1/2018,Q2/2018,Q3/2018
"XI. Tài sản ""Có"" khác","16,408","15,734","14,971","15,449","17,150"
1. Các khoản phải thu,"8,446","8,541","7,566","8,067","9,300"
"2. Các khoản lãi, phí phải thu","4,264","3,810","3,909","3,977","4,474"
3. Tài sản thuế TNDN hoãn lại,0,,,,
4. Tài sản Có khác,"3,700","3,404","3,517","3,437","3,417"
- Trong đó: Lợi thế thương mại,0,,,,
5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,-2,-21,-21,-32,-42
TỔNG CỘNG TÀI SẢN,"253,847","277,750","284,388","293,141","296,216"
B. NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,
I. Các khoản nợ Chính phủ và NHNN,27,26,"2,026","2,025","2,025"
II. Tiền gửi và vay các TCTD khác,"18,986","33,200","24,719","31,843","37,990"
1. Tiền gửi của các TCTD khác,"2,810","7,834","7,430","11,241","11,611"
2. Vay các TCTD khác,"16,176","25,366","17,289","20,602","26,379"
III. Tiền gửi của khách hàng,"127,776","133,551","143,121","151,302","156,442"
IV. Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,117,160,146,,
"V. Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro","4,066","3,899","3,778",331,324
VI. Phát hành giấy tờ có giá,"64,290","66,105","66,806","64,311","56,260"
VII. Các khoản nợ khác,"10,962","11,115","12,157","10,336","11,189"
"1. Các khoản lãi, phí phải trả","5,056","5,063","5,461","5,535","5,520"
2. Thuế TNDN hoãn lại phải trả,0,,,,
3. Các khoản phải trả và công nợ khác,"5,906","6,052","6,697","4,801","5,669"
4. Dự phòng rủi ro khác (Dự phòng cho công nợ tiềm ẩn và cam kết ngoại bảng),0,,,,
TỔNG NỢ PHẢI TRẢ,"226,223","248,057","252,753","260,149","264,229"
VIII. Vốn và các quỹ,"27,624","29,693","31,635","32,992","31,987"
1. Vốn của TCTD,"21,572","21,572","21,572","21,572","24,097"
a. Vốn điều lệ,"15,706","15,706","15,706","15,706","25,300"
b. Vốn đầu tư XDCB,0,,,,
c. Thặng dư vốn cổ phần,"5,866","5,866","5,866","5,866","1,289"
d. Cổ phiếu quỹ,0,"-2,492",,,
e. Cổ phiếu ưu đãi,0,,,,
g. Vốn khác,0,,,,
2. Quỹ của TCTD,"4,435","2,751","6,306","3,639","3,297"
3. Chênh lệch tỷ giá hối đoái,-132,0,-3,-62,-308
4. Chênh lệch đánh giá lại tài sản,0,,,,
5. Lợi nhuận chưa phân phối/Lỗ lũy kế,"1,749","5,370","3,760","7,842","4,901"
6. Lợi ích cổ đông không kiểm soát,0,,,,
IX. Lợi ích của cổ đông thiểu số,0,,,,
TỔNG NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,"253,847","277,750","284,388","293,141","296,216"
