VPB,Q1/2020,Q2/2020,Q3/2020,Q4/2020,Q1/2021
4. Dự phòng giảm giá đầu tư dài hạn,-105,-86,-64,0,0
IX. Tài sản cố định,"1,843","1,870","1,824","1,863","1,803"
1. Tài sản cố định hữu hình,"1,297","1,259","1,227","1,212","1,171"
a. Nguyên giá TSCĐ,"2,386","2,397","2,382","2,398","2,404"
b. Hao mòn TSCĐ,"-1,089","-1,138","-1,155","-1,186","-1,234"
2. Tài sản cố định thuê tài chính,,,,,
a. Nguyên giá TSCĐ,,,,,
b. Hao mòn TSCĐ,,,,,
3. Tài sản cố định vô hình,546,612,597,651,633
a. Nguyên giá TSCĐ,"1,107","1,216","1,246","1,352","1,382"
b. Hao mòn TSCĐ,-560,-604,-649,-701,-749
X. Bất động sản đầu tư,,,,,
a. Nguyên giá BĐSĐT,,,,,
b. Hao mòn BĐSĐT,,,,,
"XI. Tài sản ""Có"" khác","24,242","24,102","25,442","24,752","26,607"
1. Các khoản phải thu,"15,963","16,753","17,530","17,409","19,542"
"2. Các khoản lãi, phí phải thu","5,590","4,908","5,661","5,037","5,070"
3. Tài sản thuế TNDN hoãn lại,,,,,
4. Tài sản Có khác,"2,720","2,473","2,289","2,346","2,040"
- Trong đó: Lợi thế thương mại,,,,,
5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,-31,-33,-37,-40,-45
TỔNG CỘNG TÀI SẢN,"393,209","399,473","413,892","419,027","436,241"
B. NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,
I. Các khoản nợ Chính phủ và NHNN,19,17,16,14,30
II. Tiền gửi và vay các TCTD khác,"63,735","46,402","49,543","56,511","70,922"
1. Tiền gửi của các TCTD khác,"11,454","1,067","5,348","9,371","22,498"
2. Vay các TCTD khác,"52,281","45,335","44,195","47,140","48,424"
III. Tiền gửi của khách hàng,"215,716","236,777","241,658","233,428","232,427"
IV. Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,197,124,140,64,
"V. Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",276,247,220,187,164
VI. Phát hành giấy tờ có giá,"56,343","54,973","58,952","62,845","64,955"
VII. Các khoản nợ khác,"12,597","13,386","13,653","13,107","11,684"
"1. Các khoản lãi, phí phải trả","7,502","7,604","6,942","6,453","6,357"
2. Thuế TNDN hoãn lại phải trả,,,,,
3. Các khoản phải trả và công nợ khác,"5,095","5,782","6,711","6,654","5,327"
4. Dự phòng rủi ro khác (Dự phòng cho công nợ tiềm ẩn và cam kết ngoại bảng),,,,,
TỔNG NỢ PHẢI TRẢ,"348,685","351,998","364,166","366,233","380,246"
VIII. Vốn và các quỹ,"44,524","47,475","49,726","52,794","55,995"
1. Vốn của TCTD,"23,296","23,296","23,296","23,466","23,466"
a. Vốn điều lệ,"25,300","25,300","25,300","25,300","25,300"
b. Vốn đầu tư XDCB,,,,,
c. Thặng dư vốn cổ phần,693,693,693,366,366
d. Cổ phiếu quỹ,"-2,696","-2,696","-2,696","-2,199","-2,199"
e. Cổ phiếu ưu đãi,,,,,
g. Vốn khác,,,,,
2. Quỹ của TCTD,"7,107","8,710","8,710","11,912","11,912"
3. Chênh lệch tỷ giá hối đoái,,,,,
4. Chênh lệch đánh giá lại tài sản,,,,,
5. Lợi nhuận chưa phân phối/Lỗ lũy kế,"14,120","15,468","17,720","17,415","20,617"
6. Lợi ích cổ đông không kiểm soát,,,,,
IX. Lợi ích của cổ đông thiểu số,,,,,
TỔNG NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,"393,209","399,473","413,892","419,027","436,241"
