VPB,Q2/2016,Q3/2016,Q4/2016,Q1/2017,Q2/2017
II. Tiền gửi và vay các TCTD khác,"27,788","17,744","25,879","14,220","21,061"
1. Tiền gửi của các TCTD khác,"13,900","10,131","13,437","3,539","6,797"
2. Vay các TCTD khác,"13,888","7,614","12,442","10,681","14,264"
III. Tiền gửi của khách hàng,"118,599","126,528","123,788","129,500","129,614"
IV. Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,292,132,191,200,138
"V. Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",326,290,"1,390","2,275","2,866"
VI. Phát hành giấy tờ có giá,"33,989","39,242","48,651","56,905","65,828"
VII. Các khoản nợ khác,"5,483","5,996","7,577","8,040","9,656"
"1. Các khoản lãi, phí phải trả","2,960","2,979","3,201","3,730","4,982"
2. Thuế TNDN hoãn lại phải trả,,,,,
3. Các khoản phải trả và công nợ khác,"2,522","3,017","4,376","4,310","4,674"
4. Dự phòng rủi ro khác (Dự phòng cho công nợ tiềm ẩn và cam kết ngoại bảng),,,,,
TỔNG NỢ PHẢI TRẢ,"186,501","189,958","208,579","211,168","229,191"
VIII. Vốn và các quỹ,"14,518","15,782","17,309","18,679","19,523"
1. Vốn của TCTD,"10,470","10,470","10,470","12,054","12,054"
a. Vốn điều lệ,"9,181","9,181","9,181","10,765","10,765"
b. Vốn đầu tư XDCB,,,,,
c. Thặng dư vốn cổ phần,"1,289","1,289","1,289","1,289","1,288"
d. Cổ phiếu quỹ,,,,,
e. Cổ phiếu ưu đãi,,,,,
g. Vốn khác,,,,,
2. Quỹ của TCTD,"1,668","1,668","2,478","2,470","3,465"
3. Chênh lệch tỷ giá hối đoái,-59,-82,-36,-114,
4. Chênh lệch đánh giá lại tài sản,,,,,
5. Lợi nhuận chưa phân phối/Lỗ lũy kế,"2,440","3,726","4,361","4,191","4,118"
6. Lợi ích cổ đông không kiểm soát,,,,,
IX. Lợi ích của cổ đông thiểu số,,,,,
TỔNG NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,"201,020","205,740","225,887","229,847","248,714"
