VPB,Q3/2022,Q4/2022,Q1/2023,Q2/2023,Q3/2023
a. Nguyên giá BĐSĐT,,,,,
b. Hao mòn BĐSĐT,,,,,
"XI. Tài sản ""Có"" khác","53,770","52,042","53,226","51,867","57,178"
1. Các khoản phải thu,"44,735","39,409","35,444","35,327","40,781"
"2. Các khoản lãi, phí phải thu","6,577","7,879","8,590","7,538","8,114"
3. Tài sản thuế TNDN hoãn lại,628,556,"1,301","1,300",
4. Tài sản Có khác,"2,514","4,205","8,726","7,792","7,081"
- Trong đó: Lợi thế thương mại,66,195,177,157,138
5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,-56,-80,-90,-92,-98
TỔNG CỘNG TÀI SẢN,"595,902","631,074","677,624","739,762","780,213"
B. NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,
I. Các khoản nợ Chính phủ và NHNN,11,"1,929",966,30,13
II. Tiền gửi và vay các TCTD khác,"128,585","140,249","139,930","153,746","160,069"
1. Tiền gửi của các TCTD khác,"46,546","51,326","60,937","79,426","80,100"
2. Vay các TCTD khác,"82,039","88,923","78,992","74,320","79,969"
III. Tiền gửi của khách hàng,"277,422","303,151","331,184","387,611","421,472"
IV. Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,15,825,839,,
"V. Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",58,47,39,32,27
VI. Phát hành giấy tờ có giá,"72,873","63,700","82,485","73,281","64,999"
VII. Các khoản nợ khác,"14,587","18,465","17,097","16,658","23,642"
"1. Các khoản lãi, phí phải trả","7,169","8,597","10,853","10,954","13,727"
2. Thuế TNDN hoãn lại phải trả,9,9,68,68,
3. Các khoản phải trả và công nợ khác,"7,418","9,859","6,235","5,636","9,847"
4. Dự phòng rủi ro khác (Dự phòng cho công nợ tiềm ẩn và cam kết ngoại bảng),,,,,
TỔNG NỢ PHẢI TRẢ,"493,536","527,557","572,526","632,198","670,221"
VIII. Vốn và các quỹ,"102,366","103,517","105,098","107,564","109,992"
1. Vốn của TCTD,"44,173","66,551","66,551","66,551","66,551"
a. Vốn điều lệ,"45,057","67,434","67,434","67,434","67,434"
b. Vốn đầu tư XDCB,,,,,
c. Thặng dư vốn cổ phần,,,,,
d. Cổ phiếu quỹ,-883,-883,-883,-883,-883
e. Cổ phiếu ưu đãi,,,,,
g. Vốn khác,,,,,
2. Quỹ của TCTD,"12,030","13,535","13,535","11,486","11,486"
3. Chênh lệch tỷ giá hối đoái,,,,,
4. Chênh lệch đánh giá lại tài sản,,,,,
5. Lợi nhuận chưa phân phối/Lỗ lũy kế,"38,375","16,759","19,261","24,379","26,803"
6. Lợi ích cổ đông không kiểm soát,"7,787","6,672","5,751","5,148","5,151"
IX. Lợi ích của cổ đông thiểu số,,,,,
TỔNG NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,"595,902","631,074","677,624","739,762","780,213"
