VPB,Q4/2018,Q1/2019,Q2/2019,Q3/2019,Q4/2019
a. Nguyên giá TSCĐ,"2,211","2,270","2,282","2,315","2,380"
b. Hao mòn TSCĐ,-826,-882,-940,-997,"-1,037"
2. Tài sản cố định thuê tài chính,0,,,,
a. Nguyên giá TSCĐ,0,,,,
b. Hao mòn TSCĐ,0,,,,
3. Tài sản cố định vô hình,578,566,554,527,580
a. Nguyên giá TSCĐ,959,979,"1,001","1,013","1,102"
b. Hao mòn TSCĐ,-382,-413,-447,-486,-522
X. Bất động sản đầu tư,0,,,,
a. Nguyên giá BĐSĐT,0,,,,
b. Hao mòn BĐSĐT,0,,,,
"XI. Tài sản ""Có"" khác","17,375","18,659","18,720","20,247","25,710"
1. Các khoản phải thu,"10,500","11,361","11,316","11,793","16,925"
"2. Các khoản lãi, phí phải thu","4,428","4,507","4,410","5,512","6,032"
3. Tài sản thuế TNDN hoãn lại,0,,,,
4. Tài sản Có khác,"2,473","2,833","3,040","2,986","2,781"
- Trong đó: Lợi thế thương mại,0,,,,
5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,-25,-42,-45,-44,-29
TỔNG CỘNG TÀI SẢN,"323,308","322,080","348,732","358,236","377,214"
B. NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,
I. Các khoản nợ Chính phủ và NHNN,"3,781",22,"2,021","2,020",19
II. Tiền gửi và vay các TCTD khác,"54,231","39,855","45,436","40,103","50,868"
1. Tiền gửi của các TCTD khác,"21,145","6,980","16,589","6,358","12,144"
2. Vay các TCTD khác,"33,086","32,875","28,848","33,744","38,724"
III. Tiền gửi của khách hàng,"170,851","188,117","197,363","205,585","213,950"
IV. Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,19,,,12,46
"V. Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",330,325,320,305,292
VI. Phát hành giấy tờ có giá,"48,658","46,862","53,755","57,534","57,600"
VII. Các khoản nợ khác,"10,688","10,719","11,629","12,187","12,222"
"1. Các khoản lãi, phí phải trả","5,263","5,609","6,300","7,002","7,912"
2. Thuế TNDN hoãn lại phải trả,0,0,,,
3. Các khoản phải trả và công nợ khác,"5,426","5,110","5,329","5,184","4,310"
4. Dự phòng rủi ro khác (Dự phòng cho công nợ tiềm ẩn và cam kết ngoại bảng),0,,,,
TỔNG NỢ PHẢI TRẢ,"288,558","285,900","310,524","317,745","334,996"
VIII. Vốn và các quỹ,"34,750","36,180","38,208","40,491","42,218"
1. Vốn của TCTD,"24,097","24,097","24,097","24,097","23,296"
a. Vốn điều lệ,"25,300","25,300","25,300","25,300","25,300"
b. Vốn đầu tư XDCB,0,,,,
c. Thặng dư vốn cổ phần,"1,289","1,289","1,289","1,289",693
d. Cổ phiếu quỹ,"-2,492","-2,492","-2,492","-2,492","-2,696"
e. Cổ phiếu ưu đãi,0,,,,
g. Vốn khác,0,,,,
2. Quỹ của TCTD,"4,551","7,200","5,821","5,821","7,109"
3. Chênh lệch tỷ giá hối đoái,0,8,-13,-13,
4. Chênh lệch đánh giá lại tài sản,0,,,,
5. Lợi nhuận chưa phân phối/Lỗ lũy kế,"6,102","4,875","8,303","10,586","11,813"
6. Lợi ích cổ đông không kiểm soát,0,,,,
IX. Lợi ích của cổ đông thiểu số,0,,,,
TỔNG NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,"323,308","322,080","348,732","358,236","377,214"
