VPB,Q4/2023,Q1/2024,Q2/2024,Q3/2024,Q4/2024
a. Nguyên giá TSCĐ,"2,994","3,034","3,151","3,251","3,407"
b. Hao mòn TSCĐ,"-1,696","-1,749","-1,816","-1,887","-1,970"
2. Tài sản cố định thuê tài chính,,,,,
a. Nguyên giá TSCĐ,,,,,
b. Hao mòn TSCĐ,,,,,
3. Tài sản cố định vô hình,626,631,591,542,587
a. Nguyên giá TSCĐ,"1,909","1,967","1,981","1,986","2,086"
b. Hao mòn TSCĐ,"-1,283","-1,336","-1,390","-1,444","-1,499"
X. Bất động sản đầu tư,,,,,
a. Nguyên giá BĐSĐT,,,,,
b. Hao mòn BĐSĐT,,,,,
"XI. Tài sản ""Có"" khác","51,428","48,381","48,068","32,061","27,276"
1. Các khoản phải thu,"33,238","31,229","31,411","15,970","11,411"
"2. Các khoản lãi, phí phải thu","8,976","8,953","8,522","8,300","8,384"
3. Tài sản thuế TNDN hoãn lại,"1,264","1,301","1,304","1,305","1,196"
4. Tài sản Có khác,"8,097","7,077","7,027","6,795","6,548"
- Trong đó: Lợi thế thương mại,119,99,80,61,41
5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,-148,-179,-197,-308,-263
TỔNG CỘNG TÀI SẢN,"817,700","822,367","864,392","858,885","923,848"
B. NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,
I. Các khoản nợ Chính phủ và NHNN,"4,118",112,388,26,6
II. Tiền gửi và vay các TCTD khác,"156,357","153,847","178,581","167,416","201,756"
1. Tiền gửi của các TCTD khác,"83,235","77,530","81,846","80,189","111,863"
2. Vay các TCTD khác,"73,122","76,317","96,735","87,227","89,893"
III. Tiền gửi của khách hàng,"442,368","455,817","471,349","475,782","485,667"
IV. Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,0,,"1,023","1,266",28
"V. Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",22,18,16,13,11
VI. Phát hành giấy tờ có giá,"47,787","46,344","54,200","50,942","66,976"
VII. Các khoản nợ khác,"27,100","23,291","20,769","21,200","22,129"
"1. Các khoản lãi, phí phải trả","13,812","11,785","9,304","8,167","10,415"
2. Thuế TNDN hoãn lại phải trả,68,66,139,137,27
3. Các khoản phải trả và công nợ khác,"13,220","11,439","11,326","12,895","11,688"
4. Dự phòng rủi ro khác (Dự phòng cho công nợ tiềm ẩn và cam kết ngoại bảng),,,,,
TỔNG NỢ PHẢI TRẢ,"677,753","679,430","726,325","716,645","776,572"
VIII. Vốn và các quỹ,"139,947","142,937","138,067","142,240","147,275"
1. Vốn của TCTD,"103,332","103,332","103,332","103,332","103,332"
a. Vốn điều lệ,"79,339","79,339","79,339","79,339","79,339"
b. Vốn đầu tư XDCB,,,,,
c. Thặng dư vốn cổ phần,"23,993","23,993","23,993","23,993","23,993"
d. Cổ phiếu quỹ,,,,,
e. Cổ phiếu ưu đãi,,,,,
g. Vốn khác,,,,,
2. Quỹ của TCTD,"12,233","12,233","11,675","11,675","14,566"
3. Chênh lệch tỷ giá hối đoái,,,,,
4. Chênh lệch đánh giá lại tài sản,,,,,
5. Lợi nhuận chưa phân phối/Lỗ lũy kế,"19,149","22,633","18,249","22,285","24,008"
6. Lợi ích cổ đông không kiểm soát,"5,232","4,740","4,812","4,948","5,370"
IX. Lợi ích của cổ đông thiểu số,,,,,
TỔNG NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,"817,700","822,367","864,392","858,885","923,848"
