VPB,Q1/2015,Q2/2015,Q3/2015,Q4/2015,Q1/2016
"2. Đầu tư vào công ty liên doanh, liên kết",0,0,0,,
3. Đầu tư dài hạn khác,34,33,218,323,322
4. Dự phòng giảm giá đầu tư dài hạn,0,0,0,0,0
IX. Tài sản cố định,610,609,600,510,500
1. Tài sản cố định hữu hình,297,303,305,325,331
a. Nguyên giá TSCĐ,631,659,680,705,738
b. Hao mòn TSCĐ,-334,-356,-376,-380,-407
2. Tài sản cố định thuê tài chính,0,0,0,,
a. Nguyên giá TSCĐ,0,0,0,,
b. Hao mòn TSCĐ,0,0,0,,
3. Tài sản cố định vô hình,313,306,296,185,169
a. Nguyên giá TSCĐ,452,453,453,339,331
b. Hao mòn TSCĐ,-138,-147,-157,-154,-162
X. Bất động sản đầu tư,28,28,28,28,27
a. Nguyên giá BĐSĐT,30,30,30,30,30
b. Hao mòn BĐSĐT,-2,-2,-2,-2,-2
"XI. Tài sản ""Có"" khác","14,757","12,821","12,054","9,688","10,315"
1. Các khoản phải thu,"7,583","5,751","3,987","1,986","2,386"
"2. Các khoản lãi, phí phải thu","4,129","3,921","4,514","4,134","4,382"
3. Tài sản thuế TNDN hoãn lại,"3,289",0,0,,
4. Tài sản Có khác,0,"3,363","3,648","3,800","3,784"
- Trong đó: Lợi thế thương mại,56,50,464,37,31
5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,-244,-213,-95,-232,-236
TỔNG CỘNG TÀI SẢN,"164,641","179,295","195,004","193,876","203,493"
B. NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,
I. Các khoản nợ Chính phủ và NHNN,0,0,0,"4,821",8
II. Tiền gửi và vay các TCTD khác,"22,497","22,231","28,569","17,764","23,512"
1. Tiền gửi của các TCTD khác,"13,200","16,004","16,000","9,603","14,986"
2. Vay các TCTD khác,"9,296","6,228","12,569","8,161","8,526"
III. Tiền gửi của khách hàng,"111,690","120,430","127,516","130,271","129,211"
IV. Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,211,135,0,132,243
"V. Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",150,194,318,383,367
VI. Phát hành giấy tờ có giá,"14,267","18,078","20,118","21,860","30,773"
VII. Các khoản nợ khác,"6,417","6,233","5,736","5,256","5,171"
"1. Các khoản lãi, phí phải trả","2,202","2,869","2,837","2,805","2,803"
2. Thuế TNDN hoãn lại phải trả,0,0,0,,
3. Các khoản phải trả và công nợ khác,"4,215","3,364","2,899","2,452","2,368"
4. Dự phòng rủi ro khác (Dự phòng cho công nợ tiềm ẩn và cam kết ngoại bảng),0,0,0,,
TỔNG NỢ PHẢI TRẢ,"155,233","167,302","182,256","180,488","189,285"
VIII. Vốn và các quỹ,"9,408","11,993","12,747","13,389","14,208"
1. Vốn của TCTD,"6,349","9,345","9,363","9,345","10,470"
a. Vốn điều lệ,"6,347","8,056","8,056","8,056","9,181"
b. Vốn đầu tư XDCB,0,0,0,,
c. Thặng dư vốn cổ phần,1,"1,289","1,289","1,289","1,289"
d. Cổ phiếu quỹ,0,0,0,,
e. Cổ phiếu ưu đãi,0,0,0,,
g. Vốn khác,0,0,18,,
2. Quỹ của TCTD,541,588,639,"1,325","1,267"
3. Chênh lệch tỷ giá hối đoái,114,54,-152,,-50
4. Chênh lệch đánh giá lại tài sản,0,0,0,,
5. Lợi nhuận chưa phân phối/Lỗ lũy kế,"2,404","2,006","2,897","2,719","2,521"
6. Lợi ích cổ đông không kiểm soát,0,0,0,,
IX. Lợi ích của cổ đông thiểu số,0,0,0,,
TỔNG NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,"164,641","179,295","195,004","193,876","203,493"
