VPB,Q2/2021,Q3/2021,Q4/2021,Q1/2022,Q2/2022
I. Các khoản nợ Chính phủ và NHNN,13,15,"8,454","1,301",13
II. Tiền gửi và vay các TCTD khác,"78,221","97,889","114,619","103,755","122,797"
1. Tiền gửi của các TCTD khác,"25,878","38,861","47,107","38,726","43,005"
2. Vay các TCTD khác,"52,343","59,028","67,512","65,028","79,792"
III. Tiền gửi của khách hàng,"233,591","239,357","241,837","274,149","295,420"
IV. Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,,76,0,,
"V. Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",143,123,104,87,72
VI. Phát hành giấy tờ có giá,"67,410","68,180","81,296","76,782","76,025"
VII. Các khoản nợ khác,"12,378","11,468","14,865","12,649","15,425"
"1. Các khoản lãi, phí phải trả","6,467","5,699","5,558","5,660","6,503"
2. Thuế TNDN hoãn lại phải trả,,,0,"6,989",
3. Các khoản phải trả và công nợ khác,"5,910","5,769","9,307","6,989","8,922"
4. Dự phòng rủi ro khác (Dự phòng cho công nợ tiềm ẩn và cam kết ngoại bảng),,,0,,
TỔNG NỢ PHẢI TRẢ,"391,755","417,109","461,175","468,722","509,751"
VIII. Vốn và các quỹ,"60,012","62,322","86,451","95,202","98,524"
1. Vốn của TCTD,"23,466","23,616","43,374","43,374","43,374"
a. Vốn điều lệ,"25,300","25,300","45,057","45,057","45,057"
b. Vốn đầu tư XDCB,,,0,,
c. Thặng dư vốn cổ phần,366,77,77,77,77
d. Cổ phiếu quỹ,"-2,199","-1,761","-1,761","-1,761","-1,761"
e. Cổ phiếu ưu đãi,,,0,,
g. Vốn khác,,,0,,
2. Quỹ của TCTD,"9,197","12,797","12,585","12,559","12,530"
3. Chênh lệch tỷ giá hối đoái,,,0,,
4. Chênh lệch đánh giá lại tài sản,,,0,,
5. Lợi nhuận chưa phân phối/Lỗ lũy kế,"27,349","25,909","22,500","31,111","34,645"
6. Lợi ích cổ đông không kiểm soát,,,"7,993","8,159","7,975"
IX. Lợi ích của cổ đông thiểu số,,,0,,
TỔNG NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,"451,767","479,432","547,626","563,924","608,275"
