LPB,Q2/2021,Q3/2021,Q4/2021,Q1/2022,Q2/2022
5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,-3,-3,-5,-5,-5
TỔNG CỘNG TÀI SẢN,"255,497","254,623","289,194","284,918","300,919"
B. NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,
I. Các khoản nợ Chính phủ và NHNN,194,182,"1,703",154,145
II. Tiền gửi và vay các TCTD khác,"11,404","18,578","46,281","42,435","45,619"
1. Tiền gửi của các TCTD khác,"8,686","15,690","36,849","29,143","35,140"
2. Vay các TCTD khác,"2,718","2,888","9,433","13,292","10,479"
III. Tiền gửi của khách hàng,"186,173","178,842","180,273","177,460","185,788"
IV. Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,74,,,,
"V. Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",,,,,
VI. Phát hành giấy tờ có giá,"35,358","33,641","36,738","38,888","38,850"
VII. Các khoản nợ khác,"6,823","7,222","7,397","7,759","10,693"
"1. Các khoản lãi, phí phải trả","5,439","5,497","5,697","5,159","5,246"
2. Thuế TNDN hoãn lại phải trả,,,,,
3. Các khoản phải trả và công nợ khác,"1,384","1,725","1,700","2,599","5,447"
4. Dự phòng rủi ro khác (Dự phòng cho công nợ tiềm ẩn và cam kết ngoại bảng),,,,,
TỔNG NỢ PHẢI TRẢ,"239,951","238,465","272,392","266,695","281,169"
VIII. Vốn và các quỹ,"15,546","16,157","16,802","18,223","19,750"
1. Vốn của TCTD,"10,746","12,036","12,036","12,036","12,386"
a. Vốn điều lệ,"10,746","12,036","12,036","12,036","12,386"
b. Vốn đầu tư XDCB,0,,,,
c. Thặng dư vốn cổ phần,0,0,0,0,
d. Cổ phiếu quỹ,,,,,
e. Cổ phiếu ưu đãi,,,,,
g. Vốn khác,,,,,
2. Quỹ của TCTD,"1,753","1,753","2,184","2,184","2,184"
3. Chênh lệch tỷ giá hối đoái,,,,,
4. Chênh lệch đánh giá lại tài sản,,,,,
5. Lợi nhuận chưa phân phối/Lỗ lũy kế,"3,047","2,369","2,582","4,003","5,181"
6. Lợi ích cổ đông không kiểm soát,,,,,
IX. Lợi ích của cổ đông thiểu số,,,,,
TỔNG NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,"255,497","254,623","289,194","284,918","300,919"
