BVH,Q4/2023,Q1/2024,Q2/2024,Q3/2024,Q4/2024
5. Tài sản ngắn hạn khác,5,15,16,11,4
VIII. Tài sản tái bảo hiểm,"3,008","3,058","3,034","3,890","3,529"
1. Dự phòng phí nhượng tái bảo hiểm,"1,706","1,761","1,683","1,678","1,651"
2. Dự phòng bồi thường nhượng tái bảo hiểm,"1,302","1,297","1,351","2,212","1,878"
B. TÀI SẢN DÀI HẠN (200=210+220+240+250+260+270),"98,709","111,779","118,348","127,011","130,053"
I. Các khoản phải thu dài hạn,84,84,85,84,67
1. Phải thu dài hạn của khách hàng,,,,,
2. Trả trước cho người bán dài hạn,,,,,
3. Vốn kinh doanh ở các đơn vị trực thuộc,,,,,
4.  Phải thu dài hạn nội bộ,,,,,
5. Phải thu về cho vay dài hạn,,,,,
6. Phải thu dài hạn khác,84,84,85,84,67
6.1 Ký quỹ bảo hiểm,,,,,
6.2. Phải thu dài hạn khác,84,84,85,84,67
7. Dự phòng phải thu dài hạn khó đòi,,,,,
II. Tài sản cố định,"1,811","2,039","1,936","1,912","1,890"
1. Tài sản cố định hữu hình,953,960,868,868,872
- Nguyên giá,"2,767","2,806","2,665","2,694","2,724"
- Giá trị hao mòn lũy kế,"-1,813","-1,845","-1,796","-1,826","-1,852"
2. Tài sản cố định thuê tài chính,,,,,
- Nguyên giá,,,,,
- Giá trị hao mòn lũy kế,,,,,
3. Tài sản cố định vô hình,857,"1,078","1,067","1,044","1,018"
- Nguyên giá,"1,581","1,822","1,837","1,840","1,840"
- Giá trị hao mòn lũy kế,-723,-744,-770,-796,-822
III. Bất động sản đầu tư,45,45,113,111,110
- Nguyên giá,45,45,191,191,191
- Giá trị hao mòn lũy kế,-78,-80,-81,,
IV. Tài sản dở dang dài hạn,377,148,145,144,132
1. Chi phí xây dựng cơ bản dở dang,377,148,145,144,132
V. Đầu tư tài chính dài hạn,"96,202","109,297","115,897","124,582","127,648"
1. Đầu tư vào công ty con,,,,,
"2. Đầu tư vào công ty liên kết, liên doanh","2,846","2,818","2,824","2,849","2,887"
3. Đầu tư góp vốn vào đơn vị khác,"1,140","1,277","1,296","1,296","1,279"
4. Dự phòng đầu tư tài chính dài hạn,-91,-72,-68,-71,-63
5. Đầu tư nắm giữ đến ngày đáo hạn,"92,307","105,274","111,845","120,509","123,544"
6. Đầu tư dài hạn khác,,,,,
VI. Tài sản dài hạn khác,189,166,173,178,207
1. Chi phí trả trước dài hạn,153,134,140,142,173
2. Tài sản thuế thu nhập hoãn lại,14,11,11,11,8
"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn",,,,,
4. Tài sản dài hạn khác,22,21,22,24,26
5. Lợi thế thương mại,,,,,
VII. Lợi thế thương mại (áp dụng trước năm 2015),,,,,
VIII. Tài sản tài khoản riêng,,,,,
TỔNG CỘNG TÀI SẢN (270=100+200),"221,206","234,272","234,844","238,219","251,218"
NGUỒN VỐN,,,,,
A. NỢ PHẢI TRẢ (300=210+330),"199,009","211,396","211,611","214,466","227,711"
I. Nợ ngắn hạn,"30,890","38,507","34,250","31,915","40,840"
1. Vay và nợ ngắn hạn,"3,373","4,092","3,613","1,884","2,910"
2. Phải trả người bán ngắn hạn,"2,512","2,698","2,252","2,223","2,456"
2.1. Phải trả về hợp đồng bảo hiểm,"2,453","2,672","2,196","2,179","2,389"
2.2. Phải trả khác cho người bán,59,26,55,44,67
3. Người mua trả tiền trước ngắn hạn,20,21,21,21,21
4. Thuế và các khoản phải nộp Nhà nước,161,269,156,190,200
5. Phải trả công nhân viên,"1,513",725,"1,181","1,468","1,745"
6. Chi phí phải trả ngắn hạn,120,182,209,270,142
7. Phải trả nội bộ ngắn hạn,,,,,
8. Phải trả ngắn hạn khác,506,438,546,633,444
9. Doanh thu hoa hồng chưa được hưởng,332,336,320,315,
10. Dự phòng phải trả ngắn hạn,,,,,
11. Quỹ khen thưởng phúc lợi,218,204,257,273,225
12. Giao dịch mua bán lại trái phiếu Chính phủ,"21,940","29,413","25,560","24,503","32,124"
13. Dự phòng nghiệp vụ,,,,,
13.1. Dự phòng phí bảo hiểm gốc và nhận tái bảo hiểm,"5,420","5,426","5,209","5,443",
13.2. Dự phòng bồi thường bảo hiểm gốc và nhận tái bảo hiểm,"2,624","2,543","2,558","3,405","3,121"
13.3. Dự phòng dao động lớn,76,149,162,174,188
13.4 Dự phòng toán học,"142,727","145,664","148,980","152,323","157,149"
13.5. Dự phòng chia lãi,"2,994","3,217","19,801","3,315","3,521"
13.6. Dự phòng bảo đảm cân đối,"13,983","15,592",350,"23,034","17,144"
14. Doanh thu chưa thực hiện ngắn hạn,208,133,120,130,259
15. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng,,,,,
II. Nợ dài hạn,295,297,301,300,306
1. Phải trả người bán dài hạn,,,,,
2. Phải trả nội bộ dài hạn,,,,,
3. Phải trả dài hạn khác,292,293,297,299,303
4. Vay và nợ thuê tài chính dài hạn,1,1,0,0,
5. Thuế thu nhập hoãn lại phải trả,2,3,3,1,3
6. Dự phòng trợ cấp mất việc làm,,,,,
7. Dự phòng phải trả dài hạn,,,,,
8. Doanh thu chưa thực hiện dài hạn,,,,,
9. Quỹ phát triển khoa học và công nghệ,,,,,
III. Công nợ tài khoản riêng,,,,,
B. VỐN CHỦ SỞ HỮU (400=410+430),"22,197","22,876","23,232","23,753","23,507"
I. Vốn chủ sở hữu,"22,197","22,876","23,232","23,753","23,507"
1. Vốn góp của chủ sở hữu,"7,423","7,423","7,423","7,423","7,423"
- Cổ phiếu phổ thông có quyền biểu quyết,"7,423","7,423","7,423","7,423","7,423"
- Cổ phiếu ưu đãi,,,,,
2. Thặng dư vốn cổ phần,"7,310","7,310","7,310","7,310","7,310"
3. Vốn khác của chủ sở hữu,,,,,
4. Cổ phiếu quỹ,,,,,
5. Chênh lệch đánh giá lại tài sản,,,,,
6. Chênh lệch tỷ giá hối đoái,15,15,15,15,15
7. Quỹ đầu tư phát triển,"2,234","2,934","2,934",,
8. Quỹ dự phòng tài chính,"2,234","2,934",,,
9. Quỹ dự trữ bắt buộc,706,729,749,770,797
10. Quỹ khác thuộc vốn chủ sở hữu,104,104,104,104,104
11. Lợi nhuận sau thuế chưa phân phối,"3,487","4,111","3,736","4,213","3,962"
- LNST chưa phân phối lũy kế đến cuối kỳ trước,"1,845","3,546","2,764","2,724","1,980"
- LNST chưa phân phối kỳ này,"1,642",565,972,"1,489","1,981"
12. Lợi ích cổ đông không kiểm soát,918,949,961,983,962
13. Nguồn vốn đầu tư XDCB,,,,,
14. Quỹ hỗ trợ sắp xếp doanh nghiệp,,,,,
II. Nguồn kinh phí và quỹ khác,,,,,
1. Nguồn kinh phí,,,,,
2. Nguồn kinh phí đã hình thành TSCĐ,,,,,
C. LỢI ÍCH CỦA CỔ ĐÔNG KHÔNG KIỂM SOÁT,,,,,
TỔNG CỘNG NGUỒN VỐN (440=300+400+500),"221,206","234,272","234,844","238,219","251,218"
