BVH,Q2/2011,Q3/2011,Q4/2011,Q1/2012,Q2/2012
• Chi đánh giá rủi ro của đối tượng bảo hiểm,0,0,0,0,0
• Chi khác,0,0,0,0,0
+ Chi hoạt động nhượng tái bảo hiểm,1,17,4,3,1
+ Chi phí trực tiếp kinh doanh hoạt động khác,0,0,0,0,0
13. Tổng chi phí hoạt động kinh doanh bảo hiểm,"1,645","1,589","1,560","1,958","1,763"
"13.1. Giá vốn cung cấp hàng hóa, dịch vụ khác",,,,,
14. Lợi nhuận gộp hoạt động kinh doanh bảo hiểm,364,342,632,"1,218",411
"14.1. Lợi nhuận gộp cung cấp hàng hóa, dịch vụ khác",,,,,
14.2. Lợi nhuận thuần hoạt động kinh doanh bảo hiểm,-243,-213,61,478,-138
15. Doanh thu kinh doanh bất động sản đầu tư,,,,,
16. Giá vốn bất động sản đầu tư,,,,,
17. Lợi nhuận từ hoạt động đầu tư bất động sản (22=20-21),,,,,
18. Doanh thu hoạt động tài chính,819,711,984,0,719
19. Chi hoạt động tài chính,457,0,576,51,258
- Dự phòng toán học trích lãi từ đầu tư,457,0,576,51,258
- Dự phòng chia lãi,0,0,0,0,0
- Chi khác hoạt động tài chính,0,0,0,0,0
20. Lợi nhuận gộp hoạt động tài chính,362,711,408,-51,460
Chi phí bán hàng,53,69,74,69,69
21. Chi phí quản lý doanh nghiệp,554,485,497,672,480
22. Lợi nhuận thuần từ hoạt động kinh doanh,,,,,
23. Thu nhập khác,466,499,561,0,462
24. Chi phí  khác,280,453,507,28,394
25. Lợi nhuận khác,185,46,55,-28,69
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,16,22,5,14,11
26. Tổng lợi nhuận kế toán trước thuế,320,566,529,412,401
Các khoản điều chỉnh tăng (+) hoặc giảm (-) lợi nhuận để xác định lợi nhuận chịu thuế TNDN,0,0,0,0,0
Tổng lợi nhuận trước thuế thu nhập doanh nghiệp,320,566,529,412,401
Dự phòng đảm bảo cân đối,1,1,2,0,2
Lợi nhuận chịu thuế thu nhập doanh nghiệp,319,565,527,412,400
27. Chi phí thuế thu nhập hiện hành,68,92,44,124,96
28. Chi phí thuế thu nhập hoãn lại,0,0,6,0,2
29. Lợi nhuận sau thuế thu nhập doanh nghiệp,251,473,476,289,301
30. Lợi ích của cổ đông thiểu số,0,29,-10,18,40
31. Lợi nhuận sau thuế của cổ đông của Công ty mẹ,251,444,486,271,262
32. Lãi cơ bản trên cổ phiếu.,368,0,0,434,385
