BVH,Q3/2012,Q4/2012,Q1/2013,Q2/2013,Q3/2013
- Chi hoa hồng bảo hiểm,298,322,284,289,343
- Chi phí khác hoạt động kinh doanh bảo hiểm,,,,,
+ Chi khác hoạt động kinh doanh bảo hiểm gốc,333,390,284,313,390
• Chi giám định tổn thất,18,10,0,17,16
• Chi đòi người thứ 3,0,0,0,0,0
• Chi xử lý hàng bồi thường 100%,0,0,0,0,0
• Chi đánh giá rủi ro của đối tượng bảo hiểm,0,0,0,0,17
"• Chi đề phòng hạn chế rủi ro, tổn thất",18,58,0,7,0
• Chi khác,0,0,0,0,14
+ Chi khác hoạt động kinh doanh nhận tái bảo hiểm,24,16,10,18,0
• Chi hoa hồng nhận tái bảo hiểm,24,16,10,18,0
• Chi đánh giá rủi ro của đối tượng bảo hiểm,0,0,0,0,0
• Chi khác,0,0,0,0,0
+ Chi hoạt động nhượng tái bảo hiểm,7,3,2,3,1
+ Chi phí trực tiếp kinh doanh hoạt động khác,0,0,0,0,0
13. Tổng chi phí hoạt động kinh doanh bảo hiểm,"1,701","1,797","2,167","1,705","1,685"
"13.1. Giá vốn cung cấp hàng hóa, dịch vụ khác",,,,,
14. Lợi nhuận gộp hoạt động kinh doanh bảo hiểm,376,391,"1,033",490,446
"14.1. Lợi nhuận gộp cung cấp hàng hóa, dịch vụ khác",,,,,
14.2. Lợi nhuận thuần hoạt động kinh doanh bảo hiểm,-149,-263,245,-107,-123
15. Doanh thu kinh doanh bất động sản đầu tư,,,,,
16. Giá vốn bất động sản đầu tư,,,,,
17. Lợi nhuận từ hoạt động đầu tư bất động sản (22=20-21),,,,,
18. Doanh thu hoạt động tài chính,779,698,0,756,814
19. Chi hoạt động tài chính,349,5,55,267,284
- Dự phòng toán học trích lãi từ đầu tư,349,0,0,267,0
- Dự phòng chia lãi,0,0,0,0,0
- Chi khác hoạt động tài chính,0,0,0,0,284
20. Lợi nhuận gộp hoạt động tài chính,431,693,-55,489,529
Chi phí bán hàng,80,113,80,76,87
21. Chi phí quản lý doanh nghiệp,444,541,709,521,482
22. Lợi nhuận thuần từ hoạt động kinh doanh,,,,,
23. Thu nhập khác,384,465,0,389,406
24. Chi phí  khác,404,370,26,625,399
25. Lợi nhuận khác,-20,95,-26,-235,7
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,16,11,8,8,8
26. Tổng lợi nhuận kế toán trước thuế,279,535,173,155,421
Các khoản điều chỉnh tăng (+) hoặc giảm (-) lợi nhuận để xác định lợi nhuận chịu thuế TNDN,0,0,0,0,0
Tổng lợi nhuận trước thuế thu nhập doanh nghiệp,279,535,173,155,421
Dự phòng đảm bảo cân đối,1,2,0,2,2
Lợi nhuận chịu thuế thu nhập doanh nghiệp,277,533,173,153,420
27. Chi phí thuế thu nhập hiện hành,17,222,43,75,95
28. Chi phí thuế thu nhập hoãn lại,-19,7,0,-47,10
29. Lợi nhuận sau thuế thu nhập doanh nghiệp,279,304,130,125,315
30. Lợi ích của cổ đông thiểu số,6,8,-49,-56,35
31. Lợi nhuận sau thuế của cổ đông của Công ty mẹ,273,296,179,181,281
32. Lãi cơ bản trên cổ phiếu.,401,436,262,266,413
