BVH,Q1/2010,Q2/2010,Q3/2010,Q4/2010,Q1/2011
1.2. Chi phí trả trước ngắn hạn khác,,,,,
2. Thuế GTGT còn được khấu trừ,1,3,4,1,2
3. Thuế và các khoản khác phải thu của nhà nước,9,7,5,9,6
4. Giao dịch mua bán lại trái phiếu Chính phủ,0,0,0,0,0
5. Tài sản ngắn hạn khác,7,6,8,"5,893",3
VIII. Tài sản tái bảo hiểm,,,,,
1. Dự phòng phí nhượng tái bảo hiểm,,,,,
2. Dự phòng bồi thường nhượng tái bảo hiểm,,,,,
B. TÀI SẢN DÀI HẠN (200=210+220+240+250+260+270),"21,142","22,417","23,789","20,600","25,775"
I. Các khoản phải thu dài hạn,"3,122","3,052","4,235",0,"5,506"
1. Phải thu dài hạn của khách hàng,"3,146","3,079",0,0,"5,550"
2. Trả trước cho người bán dài hạn,,,,,
3. Vốn kinh doanh ở các đơn vị trực thuộc,0,0,0,0,0
4.  Phải thu dài hạn nội bộ,0,0,0,0,0
5. Phải thu về cho vay dài hạn,,,,,
6. Phải thu dài hạn khác,0,0,"4,269",0,0
6.1 Ký quỹ bảo hiểm,6,26,27,26,29
6.2. Phải thu dài hạn khác,,,,,
7. Dự phòng phải thu dài hạn khó đòi,-24,-26,-34,0,-45
II. Tài sản cố định,"1,744","1,798","1,807","1,938","1,961"
1. Tài sản cố định hữu hình,565,573,558,888,841
- Nguyên giá,"1,119","1,146","1,149","1,502","1,470"
- Giá trị hao mòn lũy kế,-555,-573,-591,-614,-629
2. Tài sản cố định thuê tài chính,0,0,0,0,0
- Nguyên giá,0,0,0,0,0
- Giá trị hao mòn lũy kế,0,0,0,0,0
3. Tài sản cố định vô hình,648,655,656,710,738
- Nguyên giá,710,722,728,793,844
- Giá trị hao mòn lũy kế,-62,-67,-72,-83,-106
III. Bất động sản đầu tư,23,23,23,23,23
- Nguyên giá,23,23,23,23,23
- Giá trị hao mòn lũy kế,0,0,0,0,0
IV. Tài sản dở dang dài hạn,,,,,
1. Chi phí xây dựng cơ bản dở dang,532,571,594,340,382
V. Đầu tư tài chính dài hạn,"16,196","17,477","17,658","18,544","18,223"
1. Đầu tư vào công ty con,0,0,0,0,0
"2. Đầu tư vào công ty liên kết, liên doanh",317,301,314,339,330
3. Đầu tư góp vốn vào đơn vị khác,,,,,
4. Dự phòng đầu tư tài chính dài hạn,-183,-153,-160,-197,-363
5. Đầu tư nắm giữ đến ngày đáo hạn,,,,,
6. Đầu tư dài hạn khác,"16,062","17,329","17,503","18,403","18,256"
VI. Tài sản dài hạn khác,56,66,65,95,61
1. Chi phí trả trước dài hạn,17,16,16,53,14
2. Tài sản thuế thu nhập hoãn lại,6,18,15,13,13
"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn",,,,,
4. Tài sản dài hạn khác,26,7,7,4,5
5. Lợi thế thương mại,0,0,0,0,0
VII. Lợi thế thương mại (áp dụng trước năm 2015),,,,,
VIII. Tài sản tài khoản riêng,,,,,
TỔNG CỘNG TÀI SẢN (270=100+200),"35,955","38,977","42,605","44,768","42,918"
NGUỒN VỐN,,,,,
A. NỢ PHẢI TRẢ (300=210+330),"23,941","27,320","30,750","32,753","30,003"
I. Nợ ngắn hạn,"3,256","5,691","7,308","6,221","5,290"
1. Vay và nợ ngắn hạn,275,"1,034","2,095","1,593","1,549"
2. Phải trả người bán ngắn hạn,"1,913","3,329","4,046","3,100","3,122"
2.1. Phải trả về hợp đồng bảo hiểm,,,,,
2.2. Phải trả khác cho người bán,,,,,
3. Người mua trả tiền trước ngắn hạn,45,55,68,35,50
4. Thuế và các khoản phải nộp Nhà nước,112,153,98,88,81
5. Phải trả công nhân viên,41,74,139,206,80
6. Chi phí phải trả ngắn hạn,11,110,71,23,25
7. Phải trả nội bộ ngắn hạn,0,0,0,0,0
8. Phải trả ngắn hạn khác,821,877,741,"1,106",331
9. Doanh thu hoa hồng chưa được hưởng,,,,,
10. Dự phòng phải trả ngắn hạn,0,0,0,0,0
11. Quỹ khen thưởng phúc lợi,37,59,50,69,52
12. Giao dịch mua bán lại trái phiếu Chính phủ,0,0,0,0,0
13. Dự phòng nghiệp vụ,"17,982","18,072","18,381","18,853","19,509"
13.1. Dự phòng phí bảo hiểm gốc và nhận tái bảo hiểm,"2,222","2,254","2,322","2,447","2,515"
13.2. Dự phòng bồi thường bảo hiểm gốc và nhận tái bảo hiểm,"1,228","1,136","1,066","1,221","1,586"
13.3. Dự phòng dao động lớn,221,269,311,307,354
13.4 Dự phòng toán học,"13,466","13,541","13,776","13,948","14,098"
13.5. Dự phòng chia lãi,826,852,884,907,933
13.6. Dự phòng bảo đảm cân đối,1,1,1,2,1
14. Doanh thu chưa thực hiện ngắn hạn,,,,,
15. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng,0,0,0,0,0
II. Nợ dài hạn,"2,703","3,556","5,061","7,679","5,203"
1. Phải trả người bán dài hạn,"2,633","3,482","2,545","3,020","2,096"
2. Phải trả nội bộ dài hạn,0,0,"2,427","4,578","3,013"
3. Phải trả dài hạn khác,25,28,0,27,28
4. Vay và nợ thuê tài chính dài hạn,0,0,0,0,0
5. Thuế thu nhập hoãn lại phải trả,0,2,19,9,20
6. Dự phòng trợ cấp mất việc làm,44,44,44,45,45
7. Dự phòng phải trả dài hạn,0,0,27,0,0
8. Doanh thu chưa thực hiện dài hạn,0,0,0,0,0
9. Quỹ phát triển khoa học và công nghệ,0,0,0,0,0
III. Công nợ tài khoản riêng,,,,,
B. VỐN CHỦ SỞ HỮU (400=410+430),"10,652","10,302","10,524","10,668","11,584"
I. Vốn chủ sở hữu,"10,652","10,302","10,524","10,668","11,584"
1. Vốn góp của chủ sở hữu,"6,267","6,267","6,267","6,267","6,805"
- Cổ phiếu phổ thông có quyền biểu quyết,,,,,
- Cổ phiếu ưu đãi,,,,,
2. Thặng dư vốn cổ phần,"3,180","3,180","3,180","3,077","3,184"
3. Vốn khác của chủ sở hữu,0,0,0,0,0
4. Cổ phiếu quỹ,0,0,0,0,0
5. Chênh lệch đánh giá lại tài sản,0,0,0,0,0
6. Chênh lệch tỷ giá hối đoái,20,26,33,16,16
7. Quỹ đầu tư phát triển,10,10,10,14,14
8. Quỹ dự phòng tài chính,12,12,12,18,18
9. Quỹ dự trữ bắt buộc,52,63,70,79,88
10. Quỹ khác thuộc vốn chủ sở hữu,0,0,0,104,104
11. Lợi nhuận sau thuế chưa phân phối,"1,111",744,952,"1,093","1,355"
- LNST chưa phân phối lũy kế đến cuối kỳ trước,,,,,
- LNST chưa phân phối kỳ này,,,,,
12. Lợi ích cổ đông không kiểm soát,,,,,
13. Nguồn vốn đầu tư XDCB,0,0,0,0,0
14. Quỹ hỗ trợ sắp xếp doanh nghiệp,0,0,0,0,0
II. Nguồn kinh phí và quỹ khác,0,0,0,0,0
1. Nguồn kinh phí,0,0,0,0,0
2. Nguồn kinh phí đã hình thành TSCĐ,0,0,0,0,0
C. LỢI ÍCH CỦA CỔ ĐÔNG KHÔNG KIỂM SOÁT,"1,362","1,355","1,330","1,348","1,332"
TỔNG CỘNG NGUỒN VỐN (440=300+400+500),"35,955","38,977","42,605","44,768","42,918"
