BVH,Q4/2013,Q1/2014,Q2/2014,Q3/2014,Q4/2014
VIII. Tài sản tái bảo hiểm,,,,,
1. Dự phòng phí nhượng tái bảo hiểm,,,,,
2. Dự phòng bồi thường nhượng tái bảo hiểm,,,,,
B. TÀI SẢN DÀI HẠN (200=210+220+240+250+260+270),"31,415","33,831","35,133","27,280","27,141"
I. Các khoản phải thu dài hạn,"7,895","8,230","9,032",0,0
1. Phải thu dài hạn của khách hàng,"7,986","8,333","9,132",0,0
2. Trả trước cho người bán dài hạn,,,,,
3. Vốn kinh doanh ở các đơn vị trực thuộc,0,0,0,0,0
4.  Phải thu dài hạn nội bộ,0,0,0,0,0
5. Phải thu về cho vay dài hạn,,,,,
6. Phải thu dài hạn khác,0,0,0,0,0
6.1 Ký quỹ bảo hiểm,50,30,30,47,38
6.2. Phải thu dài hạn khác,,,,,
7. Dự phòng phải thu dài hạn khó đòi,-91,-103,-100,0,0
II. Tài sản cố định,"1,942","1,961","1,961","1,893","1,907"
1. Tài sản cố định hữu hình,848,877,864,800,805
- Nguyên giá,"1,631","1,693","1,711","1,626","1,652"
- Giá trị hao mòn lũy kế,-783,-816,-846,-825,-847
2. Tài sản cố định thuê tài chính,0,0,0,0,0
- Nguyên giá,0,0,0,0,0
- Giá trị hao mòn lũy kế,0,0,0,0,0
3. Tài sản cố định vô hình,754,757,806,792,785
- Nguyên giá,991,"1,003","1,060","1,000","1,003"
- Giá trị hao mòn lũy kế,-237,-246,-254,-208,-218
III. Bất động sản đầu tư,23,23,23,23,23
- Nguyên giá,23,23,23,23,23
- Giá trị hao mòn lũy kế,0,0,0,0,0
IV. Tài sản dở dang dài hạn,,,,,
1. Chi phí xây dựng cơ bản dở dang,340,328,291,300,318
V. Đầu tư tài chính dài hạn,"21,437","23,505","23,984","25,214","25,089"
1. Đầu tư vào công ty con,0,0,0,0,0
"2. Đầu tư vào công ty liên kết, liên doanh",361,378,384,"2,039","2,130"
3. Đầu tư góp vốn vào đơn vị khác,,,,,
4. Dự phòng đầu tư tài chính dài hạn,-386,-47,-43,-40,-45
5. Đầu tư nắm giữ đến ngày đáo hạn,,,,,
6. Đầu tư dài hạn khác,"21,462","23,174","23,644","23,215","23,004"
VI. Tài sản dài hạn khác,118,111,132,149,121
1. Chi phí trả trước dài hạn,37,51,58,57,44
2. Tài sản thuế thu nhập hoãn lại,24,20,19,29,15
"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn",,,,,
4. Tài sản dài hạn khác,8,10,25,14,24
5. Lợi thế thương mại,0,0,0,0,0
VII. Lợi thế thương mại (áp dụng trước năm 2015),,,,,
VIII. Tài sản tài khoản riêng,,,,,
TỔNG CỘNG TÀI SẢN (270=100+200),"55,794","60,781","63,893","48,420","47,529"
NGUỒN VỐN,,,,,
A. NỢ PHẢI TRẢ (300=210+330),"41,548","46,136","50,194","35,887","34,701"
I. Nợ ngắn hạn,"5,833","6,902","8,944","8,105","6,069"
1. Vay và nợ ngắn hạn,265,97,246,15,4
2. Phải trả người bán ngắn hạn,"4,484","6,065","6,923","6,525","4,731"
2.1. Phải trả về hợp đồng bảo hiểm,,,,,
2.2. Phải trả khác cho người bán,,,,,
3. Người mua trả tiền trước ngắn hạn,4,8,7,7,10
4. Thuế và các khoản phải nộp Nhà nước,133,106,53,55,84
5. Phải trả công nhân viên,314,135,257,387,485
6. Chi phí phải trả ngắn hạn,33,46,52,68,38
7. Phải trả nội bộ ngắn hạn,0,0,0,0,0
8. Phải trả ngắn hạn khác,468,323,"1,252",972,446
9. Doanh thu hoa hồng chưa được hưởng,,,,,
10. Dự phòng phải trả ngắn hạn,0,46,53,0,148
11. Quỹ khen thưởng phúc lợi,65,76,100,77,123
12. Giao dịch mua bán lại trái phiếu Chính phủ,68,0,0,0,0
13. Dự phòng nghiệp vụ,"23,940","25,134","26,207","27,718","28,571"
13.1. Dự phòng phí bảo hiểm gốc và nhận tái bảo hiểm,"2,338","2,943","2,855","3,030","3,035"
13.2. Dự phòng bồi thường bảo hiểm gốc và nhận tái bảo hiểm,"1,613","1,341","1,581","1,599","1,333"
13.3. Dự phòng dao động lớn,42,29,51,78,104
13.4 Dự phòng toán học,"18,674","19,480","20,296","21,389","22,752"
13.5. Dự phòng chia lãi,"1,230","1,297","1,378","1,574","1,298"
13.6. Dự phòng bảo đảm cân đối,43,45,46,48,50
14. Doanh thu chưa thực hiện ngắn hạn,,,,,
15. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng,0,0,0,0,0
II. Nợ dài hạn,"11,775","14,100","15,043",64,61
1. Phải trả người bán dài hạn,0,0,0,0,0
2. Phải trả nội bộ dài hạn,0,0,0,0,0
3. Phải trả dài hạn khác,48,50,54,58,61
4. Vay và nợ thuê tài chính dài hạn,"11,726","14,048","14,987",0,0
5. Thuế thu nhập hoãn lại phải trả,1,2,1,6,0
6. Dự phòng trợ cấp mất việc làm,0,0,0,0,0
7. Dự phòng phải trả dài hạn,0,0,0,0,0
8. Doanh thu chưa thực hiện dài hạn,0,0,0,0,0
9. Quỹ phát triển khoa học và công nghệ,0,0,0,0,0
III. Công nợ tài khoản riêng,,,,,
B. VỐN CHỦ SỞ HỮU (400=410+430),"12,120","12,528","11,650","11,974","12,254"
I. Vốn chủ sở hữu,"12,120","12,528","11,650","11,974","12,254"
1. Vốn góp của chủ sở hữu,"6,805","6,805","6,805","6,805","6,805"
- Cổ phiếu phổ thông có quyền biểu quyết,,,,,
- Cổ phiếu ưu đãi,,,,,
2. Thặng dư vốn cổ phần,"3,184","3,184","3,184","3,184","3,184"
3. Vốn khác của chủ sở hữu,0,0,0,0,0
4. Cổ phiếu quỹ,0,0,0,0,0
5. Chênh lệch đánh giá lại tài sản,0,0,0,0,0
6. Chênh lệch tỷ giá hối đoái,16,16,9,16,16
7. Quỹ đầu tư phát triển,23,23,23,10,11
8. Quỹ dự phòng tài chính,36,36,36,11,11
9. Quỹ dự trữ bắt buộc,204,217,227,235,246
10. Quỹ khác thuộc vốn chủ sở hữu,104,104,104,104,104
11. Lợi nhuận sau thuế chưa phân phối,"1,748","2,143","1,262","1,609","1,878"
- LNST chưa phân phối lũy kế đến cuối kỳ trước,,,,,
- LNST chưa phân phối kỳ này,,,,,
12. Lợi ích cổ đông không kiểm soát,,,,,
13. Nguồn vốn đầu tư XDCB,0,0,0,0,0
14. Quỹ hỗ trợ sắp xếp doanh nghiệp,0,0,0,0,0
II. Nguồn kinh phí và quỹ khác,0,0,0,0,0
1. Nguồn kinh phí,0,0,0,0,0
2. Nguồn kinh phí đã hình thành TSCĐ,0,0,0,0,0
C. LỢI ÍCH CỦA CỔ ĐÔNG KHÔNG KIỂM SOÁT,"2,126","2,117","2,048",559,573
TỔNG CỘNG NGUỒN VỐN (440=300+400+500),"55,794","60,781","63,893","48,420","47,529"
