BVH,Q3/2017,Q4/2017,Q1/2018,Q2/2018,Q3/2018
11. Tăng (giảm) dự phòng dao động lớn,36,34,36,-20,-15
Chi bồi thường từ dự phòng dao động lớn,-92,-155,0,0,0
12. Chi khác hoạt động kinh doanh bảo hiểm,998,"1,162",994,"1,131","1,131"
- Chi hoa hồng bảo hiểm,622,688,607,687,722
- Chi phí khác hoạt động kinh doanh bảo hiểm,376,474,387,443,409
+ Chi khác hoạt động kinh doanh bảo hiểm gốc,375,471,372,428,407
• Chi giám định tổn thất,24,33,18,6,31
• Chi đòi người thứ 3,0,0,0,0,0
• Chi xử lý hàng bồi thường 100%,0,0,0,0,0
• Chi đánh giá rủi ro của đối tượng bảo hiểm,0,0,0,32,0
"• Chi đề phòng hạn chế rủi ro, tổn thất",16,56,4,0,14
• Chi khác,334,382,351,390,361
+ Chi khác hoạt động kinh doanh nhận tái bảo hiểm,1,0,14,14,0
• Chi hoa hồng nhận tái bảo hiểm,0,0,0,0,0
• Chi đánh giá rủi ro của đối tượng bảo hiểm,0,0,0,0,0
• Chi khác,1,0,14,14,0
+ Chi hoạt động nhượng tái bảo hiểm,1,3,0,2,2
+ Chi phí trực tiếp kinh doanh hoạt động khác,0,0,0,0,0
13. Tổng chi phí hoạt động kinh doanh bảo hiểm,"5,714","6,381","7,277","7,714","7,133"
"13.1. Giá vốn cung cấp hàng hóa, dịch vụ khác",0,0,0,0,0
14. Lợi nhuận gộp hoạt động kinh doanh bảo hiểm,264,549,-838,-478,92
"14.1. Lợi nhuận gộp cung cấp hàng hóa, dịch vụ khác",0,0,0,0,0
14.2. Lợi nhuận thuần hoạt động kinh doanh bảo hiểm,-810,3,"-1,139",-882,-403
15. Doanh thu kinh doanh bất động sản đầu tư,0,0,0,0,0
16. Giá vốn bất động sản đầu tư,0,0,0,0,0
17. Lợi nhuận từ hoạt động đầu tư bất động sản (22=20-21),0,0,0,0,0
18. Doanh thu hoạt động tài chính,"1,377","1,476","2,860","2,671",-1
19. Chi hoạt động tài chính,377,318,407,470,-9
- Dự phòng toán học trích lãi từ đầu tư,0,0,0,0,0
- Dự phòng chia lãi,0,0,0,0,0
- Chi khác hoạt động tài chính,0,0,0,0,0
20. Lợi nhuận gộp hoạt động tài chính,"1,000","1,158","2,453","2,201",8
Chi phí bán hàng,336,546,301,405,495
21. Chi phí quản lý doanh nghiệp,738,846,795,948,872
22. Lợi nhuận thuần từ hoạt động kinh doanh,190,315,519,370,"-1,267"
23. Thu nhập khác,89,66,71,93,"1,791"
24. Chi phí  khác,71,67,56,94,401
25. Lợi nhuận khác,18,0,15,-1,"1,390"
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,19,57,68,10,14
26. Tổng lợi nhuận kế toán trước thuế,227,372,602,379,137
Các khoản điều chỉnh tăng (+) hoặc giảm (-) lợi nhuận để xác định lợi nhuận chịu thuế TNDN,0,0,0,0,0
Tổng lợi nhuận trước thuế thu nhập doanh nghiệp,227,372,602,379,137
Dự phòng đảm bảo cân đối,0,0,0,0,0
Lợi nhuận chịu thuế thu nhập doanh nghiệp,227,372,602,379,137
27. Chi phí thuế thu nhập hiện hành,28,61,79,63,30
28. Chi phí thuế thu nhập hoãn lại,6,-2,19,-10,5
29. Lợi nhuận sau thuế thu nhập doanh nghiệp,192,312,505,326,102
30. Lợi ích của cổ đông thiểu số,13,9,19,6,12
31. Lợi nhuận sau thuế của cổ đông của Công ty mẹ,179,303,485,320,90
32. Lãi cơ bản trên cổ phiếu.,263,446,713,468,131
