BVH,Q3/2017,Q4/2017,Q1/2018,Q2/2018,Q3/2018
I. Các khoản phải thu dài hạn,62,73,75,73,70
1. Phải thu dài hạn của khách hàng,0,0,0,0,0
2. Trả trước cho người bán dài hạn,0,0,0,0,0
3. Vốn kinh doanh ở các đơn vị trực thuộc,0,0,0,0,0
4.  Phải thu dài hạn nội bộ,0,0,0,0,0
5. Phải thu về cho vay dài hạn,0,0,0,0,0
6. Phải thu dài hạn khác,62,73,75,73,70
6.1 Ký quỹ bảo hiểm,0,0,0,0,0
6.2. Phải thu dài hạn khác,62,73,75,73,70
7. Dự phòng phải thu dài hạn khó đòi,0,0,0,0,0
II. Tài sản cố định,"1,618","1,649","1,628","1,635","1,596"
1. Tài sản cố định hữu hình,823,836,826,852,825
- Nguyên giá,"1,927","1,966","1,980","2,033","2,015"
- Giá trị hao mòn lũy kế,"-1,104","-1,130","-1,154","-1,181","-1,191"
2. Tài sản cố định thuê tài chính,0,0,0,0,0
- Nguyên giá,0,0,0,0,0
- Giá trị hao mòn lũy kế,0,0,0,0,0
3. Tài sản cố định vô hình,796,813,802,782,771
- Nguyên giá,"1,125","1,149","1,152","1,144","1,141"
- Giá trị hao mòn lũy kế,-329,-336,-350,-361,-370
III. Bất động sản đầu tư,45,45,45,45,45
- Nguyên giá,45,45,45,45,45
- Giá trị hao mòn lũy kế,0,0,0,0,0
IV. Tài sản dở dang dài hạn,436,457,447,426,646
1. Chi phí xây dựng cơ bản dở dang,436,457,447,426,646
V. Đầu tư tài chính dài hạn,"42,463","44,325","41,722","43,058","43,635"
1. Đầu tư vào công ty con,0,0,0,0,0
"2. Đầu tư vào công ty liên kết, liên doanh","2,857","2,921","2,951","2,957","2,933"
3. Đầu tư góp vốn vào đơn vị khác,367,367,368,368,368
4. Dự phòng đầu tư tài chính dài hạn,-31,-33,-32,-36,-39
5. Đầu tư nắm giữ đến ngày đáo hạn,"39,271","41,070","38,436","39,769","40,373"
6. Đầu tư dài hạn khác,0,0,0,0,0
VI. Tài sản dài hạn khác,415,397,394,347,434
1. Chi phí trả trước dài hạn,354,332,342,291,381
2. Tài sản thuế thu nhập hoãn lại,54,53,40,43,39
"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn",0,0,0,0,0
4. Tài sản dài hạn khác,7,12,12,14,14
5. Lợi thế thương mại,0,0,0,0,0
VII. Lợi thế thương mại (áp dụng trước năm 2015),,,,,
VIII. Tài sản tài khoản riêng,,,,,
TỔNG CỘNG TÀI SẢN (270=100+200),"85,786","91,368","99,636","100,568","100,984"
NGUỒN VỐN,,,,,
A. NỢ PHẢI TRẢ (300=210+330),"71,623","76,897","84,666","84,636","85,691"
I. Nợ ngắn hạn,"71,490","76,756","84,512","84,179","85,084"
1. Vay và nợ ngắn hạn,42,92,2,2,39
2. Phải trả người bán ngắn hạn,"1,835","2,597","2,083","2,439","2,957"
2.1. Phải trả về hợp đồng bảo hiểm,"1,727","2,460","1,971","2,367","2,790"
2.2. Phải trả khác cho người bán,108,137,112,72,167
3. Người mua trả tiền trước ngắn hạn,13,28,24,34,26
4. Thuế và các khoản phải nộp Nhà nước,77,108,133,84,28
5. Phải trả công nhân viên,763,750,378,631,713
6. Chi phí phải trả ngắn hạn,110,47,92,135,151
7. Phải trả nội bộ ngắn hạn,0,0,0,0,0
8. Phải trả ngắn hạn khác,452,604,"4,458","2,061","1,665"
9. Doanh thu hoa hồng chưa được hưởng,148,135,142,168,207
10. Dự phòng phải trả ngắn hạn,0,0,0,0,0
11. Quỹ khen thưởng phúc lợi,84,115,96,142,149
12. Giao dịch mua bán lại trái phiếu Chính phủ,"17,160","17,602","18,272","15,051","11,804"
13. Dự phòng nghiệp vụ,"50,763","54,607","58,760","63,368","67,278"
13.1. Dự phòng phí bảo hiểm gốc và nhận tái bảo hiểm,"4,240","4,317","4,657","4,577","5,025"
13.2. Dự phòng bồi thường bảo hiểm gốc và nhận tái bảo hiểm,"1,719","2,505","2,573","3,182","3,100"
13.3. Dự phòng dao động lớn,177,56,59,39,24
13.4 Dự phòng toán học,"43,083","46,225","49,938","54,011","57,534"
13.5. Dự phòng chia lãi,"1,471","1,429","1,455","1,478","1,512"
13.6. Dự phòng bảo đảm cân đối,73,75,78,81,83
14. Doanh thu chưa thực hiện ngắn hạn,44,71,72,63,67
15. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng,0,0,0,0,0
II. Nợ dài hạn,132,141,154,457,607
1. Phải trả người bán dài hạn,0,0,0,0,0
2. Phải trả nội bộ dài hạn,0,0,0,0,0
3. Phải trả dài hạn khác,123,135,144,154,177
4. Vay và nợ thuê tài chính dài hạn,4,3,4,303,429
5. Thuế thu nhập hoãn lại phải trả,5,3,7,0,1
6. Dự phòng trợ cấp mất việc làm,0,0,0,0,0
7. Dự phòng phải trả dài hạn,0,0,0,0,0
8. Doanh thu chưa thực hiện dài hạn,0,0,0,0,0
9. Quỹ phát triển khoa học và công nghệ,0,0,0,0,0
III. Công nợ tài khoản riêng,,,,,
B. VỐN CHỦ SỞ HỮU (400=410+430),"14,163","14,471","14,969","15,933","15,293"
I. Vốn chủ sở hữu,"14,163","14,471","14,969","15,933","15,293"
1. Vốn góp của chủ sở hữu,"6,805","6,805","6,805","7,009","7,009"
- Cổ phiếu phổ thông có quyền biểu quyết,"6,805","6,805","6,805","7,009","7,009"
- Cổ phiếu ưu đãi,0,0,0,0,0
2. Thặng dư vốn cổ phần,"3,184","3,184","3,184","3,713","3,713"
3. Vốn khác của chủ sở hữu,0,0,0,0,0
4. Cổ phiếu quỹ,0,0,0,0,0
5. Chênh lệch đánh giá lại tài sản,0,0,0,0,0
6. Chênh lệch tỷ giá hối đoái,15,15,15,15,15
7. Quỹ đầu tư phát triển,457,464,466,621,622
8. Quỹ dự phòng tài chính,0,0,0,0,0
9. Quỹ dự trữ bắt buộc,379,385,389,391,418
10. Quỹ khác thuộc vốn chủ sở hữu,104,104,104,104,104
11. Lợi nhuận sau thuế chưa phân phối,"2,527","2,812","3,286","3,355","2,696"
- LNST chưa phân phối lũy kế đến cuối kỳ trước,"1,320","1,321","2,806","2,560","1,829"
- LNST chưa phân phối kỳ này,"1,207","1,491",480,795,867
12. Lợi ích cổ đông không kiểm soát,692,701,720,724,716
13. Nguồn vốn đầu tư XDCB,0,0,0,0,0
14. Quỹ hỗ trợ sắp xếp doanh nghiệp,0,0,0,0,0
II. Nguồn kinh phí và quỹ khác,0,0,0,0,0
1. Nguồn kinh phí,0,0,0,0,0
2. Nguồn kinh phí đã hình thành TSCĐ,0,0,0,0,0
C. LỢI ÍCH CỦA CỔ ĐÔNG KHÔNG KIỂM SOÁT,0,0,0,0,0
TỔNG CỘNG NGUỒN VỐN (440=300+400+500),"85,786","91,368","99,636","100,568","100,984"
