BVH,Q1/2015,Q2/2015,Q3/2015,Q4/2015,Q1/2016
1.1. Chi phí hoa hồng chưa phân bổ,275,259,295,315,365
1.2. Chi phí trả trước ngắn hạn khác,36,30,41,44,42
2. Thuế GTGT còn được khấu trừ,2,2,1,2,4
3. Thuế và các khoản khác phải thu của nhà nước,0,0,0,0,0
4. Giao dịch mua bán lại trái phiếu Chính phủ,0,0,0,0,0
5. Tài sản ngắn hạn khác,68,80,90,58,83
VIII. Tài sản tái bảo hiểm,"1,308","1,204","1,191","1,020","1,096"
1. Dự phòng phí nhượng tái bảo hiểm,544,560,562,528,555
2. Dự phòng bồi thường nhượng tái bảo hiểm,764,644,629,492,541
B. TÀI SẢN DÀI HẠN (200=210+220+240+250+260+270),"25,705","26,289","28,463","35,891","38,890"
I. Các khoản phải thu dài hạn,0,39,39,40,39
1. Phải thu dài hạn của khách hàng,0,0,0,0,0
2. Trả trước cho người bán dài hạn,0,0,0,0,0
3. Vốn kinh doanh ở các đơn vị trực thuộc,0,0,0,0,0
4.  Phải thu dài hạn nội bộ,0,0,0,0,0
5. Phải thu về cho vay dài hạn,0,0,0,0,0
6. Phải thu dài hạn khác,0,39,39,40,39
6.1 Ký quỹ bảo hiểm,0,19,19,19,19
6.2. Phải thu dài hạn khác,0,20,20,21,20
7. Dự phòng phải thu dài hạn khó đòi,0,0,0,0,0
II. Tài sản cố định,"1,581","1,690","1,663","1,678","1,654"
1. Tài sản cố định hữu hình,803,831,816,841,825
- Nguyên giá,"1,676","1,731","1,742","1,791","1,798"
- Giá trị hao mòn lũy kế,-874,-900,-926,-950,-973
2. Tài sản cố định thuê tài chính,0,0,0,0,0
- Nguyên giá,0,0,0,0,0
- Giá trị hao mòn lũy kế,0,0,0,0,0
3. Tài sản cố định vô hình,778,859,847,838,829
- Nguyên giá,"1,003","1,100","1,100","1,102","1,103"
- Giá trị hao mòn lũy kế,-225,-241,-253,-264,-273
III. Bất động sản đầu tư,23,23,23,23,23
- Nguyên giá,23,23,23,23,23
- Giá trị hao mòn lũy kế,0,0,0,0,0
IV. Tài sản dở dang dài hạn,317,202,215,190,216
1. Chi phí xây dựng cơ bản dở dang,317,202,215,190,216
V. Đầu tư tài chính dài hạn,"23,630","24,220","26,408","33,851","36,836"
1. Đầu tư vào công ty con,0,0,0,0,0
"2. Đầu tư vào công ty liên kết, liên doanh","2,034","2,009","2,033","2,242","2,291"
3. Đầu tư góp vốn vào đơn vị khác,366,366,366,397,828
4. Dự phòng đầu tư tài chính dài hạn,-38,-43,-46,-46,-51
5. Đầu tư nắm giữ đến ngày đáo hạn,"21,269","21,889","24,055","31,259","33,768"
6. Đầu tư dài hạn khác,0,0,0,0,0
VI. Tài sản dài hạn khác,154,114,114,108,122
1. Chi phí trả trước dài hạn,67,64,59,49,64
2. Tài sản thuế thu nhập hoãn lại,25,28,32,36,35
"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn",0,0,0,0,0
4. Tài sản dài hạn khác,24,22,23,23,23
5. Lợi thế thương mại,0,0,0,0,0
VII. Lợi thế thương mại (áp dụng trước năm 2015),,,,,
VIII. Tài sản tài khoản riêng,,,,,
TỔNG CỘNG TÀI SẢN (270=100+200),"49,534","50,792","53,534","58,596","62,677"
NGUỒN VỐN,,,,,
A. NỢ PHẢI TRẢ (300=210+330),"36,382","38,033","40,547","45,401","49,141"
I. Nợ ngắn hạn,"6,171","37,958","40,462","10,867","49,058"
1. Vay và nợ ngắn hạn,3,4,32,31,26
2. Phải trả người bán ngắn hạn,"1,031","1,096","1,123","1,145","1,269"
2.1. Phải trả về hợp đồng bảo hiểm,"1,031","1,096","1,123","1,145","1,075"
2.2. Phải trả khác cho người bán,0,0,0,0,194
3. Người mua trả tiền trước ngắn hạn,24,25,23,8,16
4. Thuế và các khoản phải nộp Nhà nước,90,95,97,90,143
5. Phải trả công nhân viên,222,316,429,631,256
6. Chi phí phải trả ngắn hạn,50,75,83,56,81
7. Phải trả nội bộ ngắn hạn,0,0,0,0,0
8. Phải trả ngắn hạn khác,87,348,369,401,452
9. Doanh thu hoa hồng chưa được hưởng,0,86,90,98,127
10. Dự phòng phải trả ngắn hạn,115,0,0,0,0
11. Quỹ khen thưởng phúc lợi,"4,133",130,130,98,136
12. Giao dịch mua bán lại trái phiếu Chính phủ,0,"4,435","5,013","8,252","10,266"
13. Dự phòng nghiệp vụ,0,"31,302","33,007",0,"36,237"
13.1. Dự phòng phí bảo hiểm gốc và nhận tái bảo hiểm,"3,047","2,951","3,121","3,163","3,207"
13.2. Dự phòng bồi thường bảo hiểm gốc và nhận tái bảo hiểm,"1,554","1,469","1,504","1,239","1,426"
13.3. Dự phòng dao động lớn,128,151,179,174,185
13.4 Dự phòng toán học,"23,911","25,140","26,588","28,462","29,987"
13.5. Dự phòng chia lãi,"1,450","1,536","1,557","1,358","1,371"
13.6. Dự phòng bảo đảm cân đối,52,55,57,58,61
14. Doanh thu chưa thực hiện ngắn hạn,36,46,65,56,49
15. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng,0,0,0,0,0
II. Nợ dài hạn,68,75,86,80,83
1. Phải trả người bán dài hạn,0,0,0,0,0
2. Phải trả nội bộ dài hạn,0,0,0,0,0
3. Phải trả dài hạn khác,63,66,70,75,79
4. Vay và nợ thuê tài chính dài hạn,0,0,0,0,1
5. Thuế thu nhập hoãn lại phải trả,5,9,15,5,3
6. Dự phòng trợ cấp mất việc làm,0,0,0,0,0
7. Dự phòng phải trả dài hạn,0,0,0,0,0
8. Doanh thu chưa thực hiện dài hạn,0,0,0,0,0
9. Quỹ phát triển khoa học và công nghệ,0,0,0,0,0
III. Công nợ tài khoản riêng,,,,,
B. VỐN CHỦ SỞ HỮU (400=410+430),"12,564","12,759","12,987","13,195","13,536"
I. Vốn chủ sở hữu,"12,564","12,759","12,987","13,195","13,536"
1. Vốn góp của chủ sở hữu,"6,805","6,805","6,805","6,805","6,805"
- Cổ phiếu phổ thông có quyền biểu quyết,"6,805","6,805","6,805","6,805","6,805"
- Cổ phiếu ưu đãi,0,0,0,0,0
2. Thặng dư vốn cổ phần,"3,184","3,184","3,184","3,184","3,184"
3. Vốn khác của chủ sở hữu,0,0,0,16,0
4. Cổ phiếu quỹ,0,0,0,0,0
5. Chênh lệch đánh giá lại tài sản,0,0,0,0,0
6. Chênh lệch tỷ giá hối đoái,16,16,16,0,16
7. Quỹ đầu tư phát triển,22,135,135,142,143
8. Quỹ dự phòng tài chính,0,0,0,0,0
9. Quỹ dự trữ bắt buộc,261,275,283,292,307
10. Quỹ khác thuộc vốn chủ sở hữu,104,104,104,104,104
11. Lợi nhuận sau thuế chưa phân phối,"2,172","1,642","1,851","2,035","2,353"
- LNST chưa phân phối lũy kế đến cuối kỳ trước,"1,818",940,931,913,"1,984"
- LNST chưa phân phối kỳ này,354,703,920,"1,122",369
12. Lợi ích cổ đông không kiểm soát,0,598,608,616,625
13. Nguồn vốn đầu tư XDCB,0,0,0,0,0
14. Quỹ hỗ trợ sắp xếp doanh nghiệp,0,0,0,0,0
II. Nguồn kinh phí và quỹ khác,0,0,0,0,0
1. Nguồn kinh phí,0,0,0,0,0
2. Nguồn kinh phí đã hình thành TSCĐ,0,0,0,0,0
C. LỢI ÍCH CỦA CỔ ĐÔNG KHÔNG KIỂM SOÁT,588,0,0,0,0
TỔNG CỘNG NGUỒN VỐN (440=300+400+500),"49,534","50,792","53,534","58,596","62,677"
