BVH,Q2/2021,Q3/2021,Q4/2021,Q1/2022,Q2/2022
- Nguyên giá,,,,,
- Giá trị hao mòn lũy kế,,,,,
3. Tài sản cố định vô hình,956,939,960,940,943
- Nguyên giá,"1,495","1,496","1,540","1,540","1,590"
- Giá trị hao mòn lũy kế,-539,-557,-580,-600,-647
III. Bất động sản đầu tư,45,45,45,45,45
- Nguyên giá,45,45,45,45,45
- Giá trị hao mòn lũy kế,,,,,
IV. Tài sản dở dang dài hạn,566,427,442,439,457
1. Chi phí xây dựng cơ bản dở dang,566,427,442,439,457
V. Đầu tư tài chính dài hạn,"56,942","63,551","67,341","71,222","65,545"
1. Đầu tư vào công ty con,"3,066",,,,
"2. Đầu tư vào công ty liên kết, liên doanh","2,802","3,041",910,"2,960","2,927"
3. Đầu tư góp vốn vào đơn vị khác,"1,047","1,042",923,930,
4. Dự phòng đầu tư tài chính dài hạn,-107,-44,-43,-45,-50
5. Đầu tư nắm giữ đến ngày đáo hạn,"53,200","59,512","63,408","67,383","61,737"
6. Đầu tư dài hạn khác,,,,,
VI. Tài sản dài hạn khác,177,153,138,146,155
1. Chi phí trả trước dài hạn,147,123,108,94,102
2. Tài sản thuế thu nhập hoãn lại,13,13,12,19,19
"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn",,,,,
4. Tài sản dài hạn khác,17,17,18,32,34
5. Lợi thế thương mại,,,,,
VII. Lợi thế thương mại (áp dụng trước năm 2015),,,,,
VIII. Tài sản tài khoản riêng,,,,,
TỔNG CỘNG TÀI SẢN (270=100+200),"149,048","165,122","169,461","183,725","193,291"
NGUỒN VỐN,,,,,
A. NỢ PHẢI TRẢ (300=210+330),"127,385","142,997","147,448","161,187","170,511"
I. Nợ ngắn hạn,"12,113","23,050","21,631","30,148","33,895"
1. Vay và nợ ngắn hạn,"2,222","2,506","2,871","1,470",
2. Phải trả người bán ngắn hạn,"2,936","2,871","2,252","2,694","2,612"
2.1. Phải trả về hợp đồng bảo hiểm,"2,868","2,845","2,088","2,642","2,563"
2.2. Phải trả khác cho người bán,68,26,164,52,49
3. Người mua trả tiền trước ngắn hạn,17,16,17,17,17
4. Thuế và các khoản phải nộp Nhà nước,137,147,207,297,145
5. Phải trả công nhân viên,977,"1,625","1,539","1,152","1,153"
6. Chi phí phải trả ngắn hạn,92,181,52,84,146
7. Phải trả nội bộ ngắn hạn,243,,,,
8. Phải trả ngắn hạn khác,"2,929","1,319","1,315","1,127","1,376"
9. Doanh thu hoa hồng chưa được hưởng,84,81,78,318,
10. Dự phòng phải trả ngắn hạn,198,,,,
11. Quỹ khen thưởng phúc lợi,165,202,199,162,227
12. Giao dịch mua bán lại trái phiếu Chính phủ,"4,615","14,302","13,222","21,425","26,429"
13. Dự phòng nghiệp vụ,,,,,
13.1. Dự phòng phí bảo hiểm gốc và nhận tái bảo hiểm,"4,695","4,354","8,325","4,922","4,870"
13.2. Dự phòng bồi thường bảo hiểm gốc và nhận tái bảo hiểm,"2,317","2,395","2,432","2,431","2,565"
13.3. Dự phòng dao động lớn,38,42,54,70,83
13.4 Dự phòng toán học,"102,710","107,418","112,073","115,828","120,363"
13.5. Dự phòng chia lãi,"1,979","4,989","2,157","2,210","7,972"
13.6. Dự phòng bảo đảm cân đối,"2,942",196,218,"5,069",250
14. Doanh thu chưa thực hiện ngắn hạn,162,83,121,,
15. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng,,,,,
II. Nợ dài hạn,591,553,557,509,512
1. Phải trả người bán dài hạn,,,,,
2. Phải trả nội bộ dài hạn,,,,,
3. Phải trả dài hạn khác,281,280,285,274,278
4. Vay và nợ thuê tài chính dài hạn,306,269,268,231,229
5. Thuế thu nhập hoãn lại phải trả,4,3,4,4,5
6. Dự phòng trợ cấp mất việc làm,,,,,
7. Dự phòng phải trả dài hạn,,,,,
8. Doanh thu chưa thực hiện dài hạn,,,,,
9. Quỹ phát triển khoa học và công nghệ,,,,,
III. Công nợ tài khoản riêng,,,,,
B. VỐN CHỦ SỞ HỮU (400=410+430),"21,663","22,125","22,013","22,537","22,780"
I. Vốn chủ sở hữu,"21,663","22,125","22,013","21,943","22,780"
1. Vốn góp của chủ sở hữu,"7,423","7,423","7,423","7,423","7,423"
- Cổ phiếu phổ thông có quyền biểu quyết,"7,423","7,423","7,423","7,423","7,423"
- Cổ phiếu ưu đãi,,,,,
2. Thặng dư vốn cổ phần,"7,310","7,310","7,310","7,310","7,310"
3. Vốn khác của chủ sở hữu,,,,,
4. Cổ phiếu quỹ,,,,,
5. Chênh lệch đánh giá lại tài sản,,,,,
6. Chênh lệch tỷ giá hối đoái,15,15,15,15,15
7. Quỹ đầu tư phát triển,"1,271","1,271","1,285","1,594",
8. Quỹ dự phòng tài chính,"1,285",,,,
9. Quỹ dự trữ bắt buộc,548,563,578,608,
10. Quỹ khác thuộc vốn chủ sở hữu,104,104,104,104,104
11. Lợi nhuận sau thuế chưa phân phối,"4,186","4,614","4,461","4,939","4,856"
- LNST chưa phân phối lũy kế đến cuối kỳ trước,"3,321","3,321","2,653","4,475","4,097"
- LNST chưa phân phối kỳ này,864,"1,293","1,808",464,759
12. Lợi ích cổ đông không kiểm soát,806,825,836,866,870
13. Nguồn vốn đầu tư XDCB,,,,,
14. Quỹ hỗ trợ sắp xếp doanh nghiệp,,,,,
II. Nguồn kinh phí và quỹ khác,595,,,,
1. Nguồn kinh phí,595,,,,
2. Nguồn kinh phí đã hình thành TSCĐ,,,,,
C. LỢI ÍCH CỦA CỔ ĐÔNG KHÔNG KIỂM SOÁT,,,,,
TỔNG CỘNG NGUỒN VỐN (440=300+400+500),"149,048","165,122","169,461","183,725","193,291"
