BVH,Q2/2011,Q3/2011,Q4/2011,Q1/2012,Q2/2012
- Giá trị hao mòn lũy kế,0,0,0,0,0
3. Tài sản cố định vô hình,733,719,723,638,795
- Nguyên giá,851,850,859,638,957
- Giá trị hao mòn lũy kế,-117,-130,-136,0,-162
III. Bất động sản đầu tư,23,23,23,23,23
- Nguyên giá,23,23,23,23,23
- Giá trị hao mòn lũy kế,0,0,0,0,0
IV. Tài sản dở dang dài hạn,,,,,
1. Chi phí xây dựng cơ bản dở dang,427,455,463,0,394
V. Đầu tư tài chính dài hạn,"19,119","17,082","17,899","26,237","18,996"
1. Đầu tư vào công ty con,0,0,0,0,0
"2. Đầu tư vào công ty liên kết, liên doanh",346,368,373,387,360
3. Đầu tư góp vốn vào đơn vị khác,,,,,
4. Dự phòng đầu tư tài chính dài hạn,-423,-405,-479,0,-595
5. Đầu tư nắm giữ đến ngày đáo hạn,,,,,
6. Đầu tư dài hạn khác,"19,196","17,119","18,005","25,850","19,231"
VI. Tài sản dài hạn khác,65,71,75,"1,378",106
1. Chi phí trả trước dài hạn,17,16,26,"1,029",55
2. Tài sản thuế thu nhập hoãn lại,14,20,15,350,14
"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn",,,,,
4. Tài sản dài hạn khác,5,8,6,0,6
5. Lợi thế thương mại,0,0,0,0,0
VII. Lợi thế thương mại (áp dụng trước năm 2015),,,,,
VIII. Tài sản tài khoản riêng,,,,,
TỔNG CỘNG TÀI SẢN (270=100+200),"43,330","45,264","43,760","42,599","47,135"
NGUỒN VỐN,,,,,
A. NỢ PHẢI TRẢ (300=210+330),"30,437","32,713","30,746","29,854","34,308"
I. Nợ ngắn hạn,"2,858","4,709","4,036","26,826","6,242"
1. Vay và nợ ngắn hạn,1,383,862,0,0
2. Phải trả người bán ngắn hạn,"2,194","3,497","2,016","1,429","4,398"
2.1. Phải trả về hợp đồng bảo hiểm,,,,,
2.2. Phải trả khác cho người bán,,,,,
3. Người mua trả tiền trước ngắn hạn,11,8,7,9,11
4. Thuế và các khoản phải nộp Nhà nước,95,120,76,176,112
5. Phải trả công nhân viên,160,221,281,0,195
6. Chi phí phải trả ngắn hạn,35,59,39,"21,148",47
7. Phải trả nội bộ ngắn hạn,0,48,57,760,0
8. Phải trả ngắn hạn khác,308,329,651,"3,305","1,388"
9. Doanh thu hoa hồng chưa được hưởng,,,,,
10. Dự phòng phải trả ngắn hạn,0,0,0,0,38
11. Quỹ khen thưởng phúc lợi,55,44,46,0,52
12. Giao dịch mua bán lại trái phiếu Chính phủ,0,0,0,0,0
13. Dự phòng nghiệp vụ,"19,581","19,763","19,704",0,"20,326"
13.1. Dự phòng phí bảo hiểm gốc và nhận tái bảo hiểm,"2,562","2,678","2,703",0,"2,761"
13.2. Dự phòng bồi thường bảo hiểm gốc và nhận tái bảo hiểm,"1,562","1,454","1,391",0,"1,491"
13.3. Dự phòng dao động lớn,370,369,250,0,275
13.4 Dự phòng toán học,"14,117","14,272","14,353",0,"14,500"
13.5. Dự phòng chia lãi,945,962,977,0,"1,267"
13.6. Dự phòng bảo đảm cân đối,25,27,29,0,32
14. Doanh thu chưa thực hiện ngắn hạn,,,,,
15. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng,0,0,0,0,0
II. Nợ dài hạn,"7,998","8,241","7,006","3,028","7,740"
1. Phải trả người bán dài hạn,"2,901",0,0,0,0
2. Phải trả nội bộ dài hạn,"4,961",0,0,0,0
3. Phải trả dài hạn khác,29,31,32,0,35
4. Vay và nợ thuê tài chính dài hạn,0,"8,162","6,924","2,990","7,659"
5. Thuế thu nhập hoãn lại phải trả,15,4,4,8,0
6. Dự phòng trợ cấp mất việc làm,45,45,46,30,45
7. Dự phòng phải trả dài hạn,0,0,0,0,0
8. Doanh thu chưa thực hiện dài hạn,47,0,0,0,0
9. Quỹ phát triển khoa học và công nghệ,0,0,0,0,0
III. Công nợ tài khoản riêng,,,,,
B. VỐN CHỦ SỞ HỮU (400=410+430),"11,606","11,230","11,697","11,405","11,498"
I. Vốn chủ sở hữu,"11,606","11,230","11,697","11,405","11,498"
1. Vốn góp của chủ sở hữu,"6,805","6,805","6,805","6,805","6,805"
- Cổ phiếu phổ thông có quyền biểu quyết,,,,,
- Cổ phiếu ưu đãi,,,,,
2. Thặng dư vốn cổ phần,"3,184","3,184","3,184","3,184","3,184"
3. Vốn khác của chủ sở hữu,0,0,0,0,0
4. Cổ phiếu quỹ,0,0,0,0,0
5. Chênh lệch đánh giá lại tài sản,0,0,0,-66,0
6. Chênh lệch tỷ giá hối đoái,16,16,16,16,16
7. Quỹ đầu tư phát triển,14,14,17,17,17
8. Quỹ dự phòng tài chính,18,18,24,24,24
9. Quỹ dự trữ bắt buộc,97,104,119,131,142
10. Quỹ khác thuộc vốn chủ sở hữu,104,104,104,104,104
11. Lợi nhuận sau thuế chưa phân phối,"1,368",985,"1,428","1,190","1,206"
- LNST chưa phân phối lũy kế đến cuối kỳ trước,,,,,
- LNST chưa phân phối kỳ này,,,,,
12. Lợi ích cổ đông không kiểm soát,,,,,
13. Nguồn vốn đầu tư XDCB,0,0,0,0,0
14. Quỹ hỗ trợ sắp xếp doanh nghiệp,0,0,0,0,0
II. Nguồn kinh phí và quỹ khác,0,0,0,0,0
1. Nguồn kinh phí,0,0,0,0,0
2. Nguồn kinh phí đã hình thành TSCĐ,0,0,0,0,0
C. LỢI ÍCH CỦA CỔ ĐÔNG KHÔNG KIỂM SOÁT,"1,287","1,321","1,317","1,340","1,330"
TỔNG CỘNG NGUỒN VỐN (440=300+400+500),"43,330","45,264","43,760","42,599","47,135"
