BVH,Q4/2018,Q1/2019,Q2/2019,Q3/2019,Q4/2019
7. Thu bồi thường nhượng tái bảo hiểm,781,477,582,644,678
Tăng (giảm) dự phòng toán học (dành riêng BVH),"3,813","3,065","3,806","3,952","4,813"
8. Tăng (giảm) dự phòng bồi thường bảo hiểm gốc và nhận tái bảo hiểm,19,-83,362,-69,-350
9. Tăng (giảm) dự phòng bồi thường nhượng tái bảo hiểm,-47,-268,296,-186,-279
9.1. Tăng (giảm) dự phòng bồi thường,65,186,66,116,-71
10. Tổng chi bồi thường bảo hiểm (15=11-12+13-14),"6,479","5,995","6,736","6,975","8,057"
11. Tăng (giảm) dự phòng dao động lớn,138,39,32,40,-257
Chi bồi thường từ dự phòng dao động lớn,-80,-111,-32,-40,257
12. Chi khác hoạt động kinh doanh bảo hiểm,"1,255","1,033","1,137","1,203","1,405"
- Chi hoa hồng bảo hiểm,737,676,738,758,818
- Chi phí khác hoạt động kinh doanh bảo hiểm,518,357,399,445,587
+ Chi khác hoạt động kinh doanh bảo hiểm gốc,517,356,398,444,586
• Chi giám định tổn thất,45,33,36,12,44
• Chi đòi người thứ 3,0,0,0,0,0
• Chi xử lý hàng bồi thường 100%,0,0,0,0,0
• Chi đánh giá rủi ro của đối tượng bảo hiểm,0,0,0,0,0
"• Chi đề phòng hạn chế rủi ro, tổn thất",43,7,4,31,44
• Chi khác,429,316,357,401,498
+ Chi khác hoạt động kinh doanh nhận tái bảo hiểm,0,0,0,1,1
• Chi hoa hồng nhận tái bảo hiểm,0,0,0,1,0
• Chi đánh giá rủi ro của đối tượng bảo hiểm,0,0,0,0,0
• Chi khác,0,0,0,0,1
+ Chi hoạt động nhượng tái bảo hiểm,1,1,1,0,0
+ Chi phí trực tiếp kinh doanh hoạt động khác,0,0,0,0,0
13. Tổng chi phí hoạt động kinh doanh bảo hiểm,"7,792","6,956","7,872","8,178","9,462"
"13.1. Giá vốn cung cấp hàng hóa, dịch vụ khác",0,0,0,0,0
14. Lợi nhuận gộp hoạt động kinh doanh bảo hiểm,295,440,265,273,-141
"14.1. Lợi nhuận gộp cung cấp hàng hóa, dịch vụ khác",0,0,0,0,0
14.2. Lợi nhuận thuần hoạt động kinh doanh bảo hiểm,-193,74,-173,-250,-503
15. Doanh thu kinh doanh bất động sản đầu tư,0,0,0,0,0
16. Giá vốn bất động sản đầu tư,0,0,0,0,0
17. Lợi nhuận từ hoạt động đầu tư bất động sản (22=20-21),0,0,0,0,0
18. Doanh thu hoạt động tài chính,"1,767","1,790","1,967","1,989","2,128"
19. Chi hoạt động tài chính,502,445,587,536,633
- Dự phòng toán học trích lãi từ đầu tư,0,0,0,0,0
- Dự phòng chia lãi,0,0,0,0,0
- Chi khác hoạt động tài chính,0,0,0,0,0
20. Lợi nhuận gộp hoạt động tài chính,"1,265","1,345","1,380","1,453","1,494"
Chi phí bán hàng,488,366,438,523,362
21. Chi phí quản lý doanh nghiệp,854,935,929,799,894
22. Lợi nhuận thuần từ hoạt động kinh doanh,219,484,277,404,97
23. Thu nhập khác,122,69,92,122,105
24. Chi phí  khác,109,52,77,105,90
25. Lợi nhuận khác,12,17,15,17,15
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,8,20,17,12,15
26. Tổng lợi nhuận kế toán trước thuế,240,521,310,433,128
Các khoản điều chỉnh tăng (+) hoặc giảm (-) lợi nhuận để xác định lợi nhuận chịu thuế TNDN,0,0,0,0,0
Tổng lợi nhuận trước thuế thu nhập doanh nghiệp,240,521,310,433,128
Dự phòng đảm bảo cân đối,0,0,0,0,0
Lợi nhuận chịu thuế thu nhập doanh nghiệp,240,521,310,433,128
27. Chi phí thuế thu nhập hiện hành,46,106,54,64,27
28. Chi phí thuế thu nhập hoãn lại,-4,2,-1,3,-5
29. Lợi nhuận sau thuế thu nhập doanh nghiệp,197,413,256,366,106
30. Lợi ích của cổ đông thiểu số,6,11,14,12,16
31. Lợi nhuận sau thuế của cổ đông của Công ty mẹ,191,402,242,354,90
32. Lãi cơ bản trên cổ phiếu.,276,573,364,511,41
