BVH,Q3/2022,Q4/2022,Q1/2023,Q2/2023,Q3/2023
2. Trả trước cho người bán dài hạn,,,,,
3. Vốn kinh doanh ở các đơn vị trực thuộc,,,,,
4.  Phải thu dài hạn nội bộ,,,,,
5. Phải thu về cho vay dài hạn,,,,,
6. Phải thu dài hạn khác,73,83,81,83,
6.1 Ký quỹ bảo hiểm,83,,,,
6.2. Phải thu dài hạn khác,73,83,81,,
7. Dự phòng phải thu dài hạn khó đòi,,,,,
II. Tài sản cố định,"1,873","1,886","1,844","1,820","1,838"
1. Tài sản cố định hữu hình,953,982,955,934,972
- Nguyên giá,"2,612","2,671","2,676","2,687","2,755"
- Giá trị hao mòn lũy kế,"-1,659","-1,689","-1,721","-1,754","-1,783"
2. Tài sản cố định thuê tài chính,,,,,
- Nguyên giá,,,,,
- Giá trị hao mòn lũy kế,,,,,
3. Tài sản cố định vô hình,920,904,888,887,866
- Nguyên giá,"1,590","1,560","1,560","1,575","1,575"
- Giá trị hao mòn lũy kế,-669,-656,-672,-688,-709
III. Bất động sản đầu tư,45,45,45,45,45
- Nguyên giá,45,45,45,45,45
- Giá trị hao mòn lũy kế,,,,,
IV. Tài sản dở dang dài hạn,468,434,443,447,399
1. Chi phí xây dựng cơ bản dở dang,468,434,443,447,399
V. Đầu tư tài chính dài hạn,"73,119","81,619","84,238","87,130","92,719"
1. Đầu tư vào công ty con,,,,,
"2. Đầu tư vào công ty liên kết, liên doanh","2,768","2,779","2,766","2,791","2,809"
3. Đầu tư góp vốn vào đơn vị khác,"1,089","1,189","1,164","1,140","1,140"
4. Dự phòng đầu tư tài chính dài hạn,-49,-60,-60,-68,-76
5. Đầu tư nắm giữ đến ngày đáo hạn,"69,311","77,711","80,368","83,267","88,846"
6. Đầu tư dài hạn khác,,,,,
VI. Tài sản dài hạn khác,155,210,188,200,175
1. Chi phí trả trước dài hạn,102,147,138,148,135
2. Tài sản thuế thu nhập hoãn lại,19,18,18,18,19
"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn",,,,,
4. Tài sản dài hạn khác,35,45,32,34,21
5. Lợi thế thương mại,,,,,
VII. Lợi thế thương mại (áp dụng trước năm 2015),,,,,
VIII. Tài sản tài khoản riêng,,,,,
TỔNG CỘNG TÀI SẢN (270=100+200),"190,853","201,610","220,461","220,771","215,293"
NGUỒN VỐN,,,,,
A. NỢ PHẢI TRẢ (300=210+330),"167,688","180,319","198,654","198,619","192,724"
I. Nợ ngắn hạn,"25,573","32,558","45,866","41,341","30,344"
1. Vay và nợ ngắn hạn,"1,060",981,"1,718","2,304","1,721"
2. Phải trả người bán ngắn hạn,"2,798","2,489","3,018","2,935","2,968"
2.1. Phải trả về hợp đồng bảo hiểm,"2,753","2,395","2,990","2,911","2,947"
2.2. Phải trả khác cho người bán,45,94,27,24,21
3. Người mua trả tiền trước ngắn hạn,19,19,19,19,19
4. Thuế và các khoản phải nộp Nhà nước,144,162,235,145,117
5. Phải trả công nhân viên,"1,356","1,458",631,864,"1,166"
6. Chi phí phải trả ngắn hạn,145,48,151,192,224
7. Phải trả nội bộ ngắn hạn,,,,,
8. Phải trả ngắn hạn khác,"1,560",989,593,805,983
9. Doanh thu hoa hồng chưa được hưởng,235,322,326,313,296
10. Dự phòng phải trả ngắn hạn,,,,,
11. Quỹ khen thưởng phúc lợi,241,198,177,240,247
12. Giao dịch mua bán lại trái phiếu Chính phủ,"17,912","25,693","38,853","33,409","22,477"
13. Dự phòng nghiệp vụ,,,,,
13.1. Dự phòng phí bảo hiểm gốc và nhận tái bảo hiểm,"4,995","5,010","5,239","5,026","5,189"
13.2. Dự phòng bồi thường bảo hiểm gốc và nhận tái bảo hiểm,"2,625","2,717","2,749","2,598","2,648"
13.3. Dự phòng dao động lớn,93,6,40,53,64
13.4 Dự phòng toán học,"125,191","129,251","132,441","135,463","138,882"
13.5. Dự phòng chia lãi,"8,454","10,095","11,635","13,432","3,139"
13.6. Dự phòng bảo đảm cân đối,277,302,325,346,"12,146"
14. Doanh thu chưa thực hiện ngắn hạn,103,198,144,115,127
15. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng,,,,,
II. Nợ dài hạn,480,380,358,360,313
1. Phải trả người bán dài hạn,,,,,
2. Phải trả nội bộ dài hạn,,,,,
3. Phải trả dài hạn khác,280,284,299,303,304
4. Vay và nợ thuê tài chính dài hạn,193,91,54,53,3
5. Thuế thu nhập hoãn lại phải trả,7,5,4,4,6
6. Dự phòng trợ cấp mất việc làm,,,,,
7. Dự phòng phải trả dài hạn,,,,,
8. Doanh thu chưa thực hiện dài hạn,,,,,
9. Quỹ phát triển khoa học và công nghệ,,,,,
III. Công nợ tài khoản riêng,,,,,
B. VỐN CHỦ SỞ HỮU (400=410+430),"23,165","21,291","21,807","22,152","22,569"
I. Vốn chủ sở hữu,"23,165","21,291","21,807","22,152","22,569"
1. Vốn góp của chủ sở hữu,"7,423","7,423","7,423","7,423","7,423"
- Cổ phiếu phổ thông có quyền biểu quyết,"7,423","7,423","7,423","7,423","7,423"
- Cổ phiếu ưu đãi,,,,,
2. Thặng dư vốn cổ phần,"7,310","7,310","7,310","7,310","7,310"
3. Vốn khác của chủ sở hữu,,,,,
4. Cổ phiếu quỹ,,,,,
5. Chênh lệch đánh giá lại tài sản,,,,,
6. Chênh lệch tỷ giá hối đoái,15,15,15,15,15
7. Quỹ đầu tư phát triển,"1,594","1,605","1,593","2,234","2,234"
8. Quỹ dự phòng tài chính,,,,,
9. Quỹ dự trữ bắt buộc,623,639,657,672,687
10. Quỹ khác thuộc vốn chủ sở hữu,104,104,104,104,104
11. Lợi nhuận sau thuế chưa phân phối,"5,202","3,301","3,807","3,479","3,857"
- LNST chưa phân phối lũy kế đến cuối kỳ trước,"4,075","1,860","3,306","2,928","2,553"
- LNST chưa phân phối kỳ này,"1,127","1,441",500,550,"1,303"
12. Lợi ích cổ đông không kiểm soát,894,893,898,914,939
13. Nguồn vốn đầu tư XDCB,,,,,
14. Quỹ hỗ trợ sắp xếp doanh nghiệp,,,,,
II. Nguồn kinh phí và quỹ khác,,,,,
1. Nguồn kinh phí,,,,,
2. Nguồn kinh phí đã hình thành TSCĐ,,,,,
C. LỢI ÍCH CỦA CỔ ĐÔNG KHÔNG KIỂM SOÁT,,,,,
TỔNG CỘNG NGUỒN VỐN (440=300+400+500),"190,853","201,610","220,461","220,771","215,293"
