BVH,Q2/2021,Q3/2021,Q4/2021,Q1/2022,Q2/2022
• Chi hoa hồng nhận tái bảo hiểm,,,,,
• Chi đánh giá rủi ro của đối tượng bảo hiểm,,,,,
• Chi khác,,,,,382
+ Chi hoạt động nhượng tái bảo hiểm,,,,,
+ Chi phí trực tiếp kinh doanh hoạt động khác,,,,587,
13. Tổng chi phí hoạt động kinh doanh bảo hiểm,"9,947","9,230","10,048","9,967","10,838"
"13.1. Giá vốn cung cấp hàng hóa, dịch vụ khác",,,,,
14. Lợi nhuận gộp hoạt động kinh doanh bảo hiểm,-433,-246,-5,-240,-504
"14.1. Lợi nhuận gộp cung cấp hàng hóa, dịch vụ khác",,,,,
14.2. Lợi nhuận thuần hoạt động kinh doanh bảo hiểm,-433,-246,-5,-240,-504
15. Doanh thu kinh doanh bất động sản đầu tư,,,,,
16. Giá vốn bất động sản đầu tư,,,,,
17. Lợi nhuận từ hoạt động đầu tư bất động sản (22=20-21),,,,,
18. Doanh thu hoạt động tài chính,"2,365","2,014","2,309","2,352","2,423"
19. Chi hoạt động tài chính,264,189,329,325,564
- Dự phòng toán học trích lãi từ đầu tư,,,,,
- Dự phòng chia lãi,,,,,
- Chi khác hoạt động tài chính,,,,,
20. Lợi nhuận gộp hoạt động tài chính,"2,101","1,825","1,980","2,027","1,859"
Chi phí bán hàng,615,538,,,631
21. Chi phí quản lý doanh nghiệp,"1,194","1,078",836,"1,187",992
22. Lợi nhuận thuần từ hoạt động kinh doanh,-141,-38,"1,139",601,-269
23. Thu nhập khác,209,185,270,177,185
24. Chi phí  khác,178,157,761,150,168
25. Lợi nhuận khác,31,28,-491,27,17
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,5,14,14,8,22
26. Tổng lợi nhuận kế toán trước thuế,510,543,663,635,401
Các khoản điều chỉnh tăng (+) hoặc giảm (-) lợi nhuận để xác định lợi nhuận chịu thuế TNDN,,,,,
Tổng lợi nhuận trước thuế thu nhập doanh nghiệp,510,543,663,635,401
Dự phòng đảm bảo cân đối,,,,,
Lợi nhuận chịu thuế thu nhập doanh nghiệp,510,543,663,635,401
27. Chi phí thuế thu nhập hiện hành,68,102,110,125,82
28. Chi phí thuế thu nhập hoãn lại,0,-1,1,-1,1
29. Lợi nhuận sau thuế thu nhập doanh nghiệp,443,441,552,511,317
30. Lợi ích của cổ đông thiểu số,23,18,27,30,9
31. Lợi nhuận sau thuế của cổ đông của Công ty mẹ,420,423,525,481,309
32. Lãi cơ bản trên cổ phiếu.,565,570,707,648,416
