BVH,Q2/2016,Q3/2016,Q4/2016,Q1/2017,Q2/2017
• Chi khác,278,278,301,343,305
+ Chi khác hoạt động kinh doanh nhận tái bảo hiểm,19,17,16,0,0
• Chi hoa hồng nhận tái bảo hiểm,19,17,16,0,0
• Chi đánh giá rủi ro của đối tượng bảo hiểm,0,0,0,0,0
• Chi khác,0,0,0,0,0
+ Chi hoạt động nhượng tái bảo hiểm,0,1,2,1,0
+ Chi phí trực tiếp kinh doanh hoạt động khác,0,0,0,0,0
13. Tổng chi phí hoạt động kinh doanh bảo hiểm,"4,358","4,562","4,835","4,661","5,040"
"13.1. Giá vốn cung cấp hàng hóa, dịch vụ khác",0,0,0,0,0
14. Lợi nhuận gộp hoạt động kinh doanh bảo hiểm,322,320,552,410,823
"14.1. Lợi nhuận gộp cung cấp hàng hóa, dịch vụ khác",0,0,0,0,0
14.2. Lợi nhuận thuần hoạt động kinh doanh bảo hiểm,-354,-458,-493,-501,-213
15. Doanh thu kinh doanh bất động sản đầu tư,0,0,0,0,0
16. Giá vốn bất động sản đầu tư,0,0,0,0,0
17. Lợi nhuận từ hoạt động đầu tư bất động sản (22=20-21),0,0,0,0,0
18. Doanh thu hoạt động tài chính,"1,164","1,211","1,188","1,386","1,510"
19. Chi hoạt động tài chính,268,302,294,337,356
- Dự phòng toán học trích lãi từ đầu tư,0,0,0,0,0
- Dự phòng chia lãi,0,0,0,0,0
- Chi khác hoạt động tài chính,0,0,0,0,0
20. Lợi nhuận gộp hoạt động tài chính,896,909,894,"1,049","1,154"
Chi phí bán hàng,222,240,313,304,330
21. Chi phí quản lý doanh nghiệp,559,622,877,717,850
22. Lợi nhuận thuần từ hoạt động kinh doanh,437,368,257,438,797
23. Thu nhập khác,71,89,80,94,157
24. Chi phí  khác,57,78,65,63,128
25. Lợi nhuận khác,14,12,15,31,28
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,24,18,53,18,28
26. Tổng lợi nhuận kế toán trước thuế,475,397,326,486,854
Các khoản điều chỉnh tăng (+) hoặc giảm (-) lợi nhuận để xác định lợi nhuận chịu thuế TNDN,0,0,0,0,0
Tổng lợi nhuận trước thuế thu nhập doanh nghiệp,475,397,326,486,854
Dự phòng đảm bảo cân đối,0,0,0,0,0
Lợi nhuận chịu thuế thu nhập doanh nghiệp,475,397,326,486,854
27. Chi phí thuế thu nhập hiện hành,81,78,56,88,151
28. Chi phí thuế thu nhập hoãn lại,-2,-6,-5,4,-6
29. Lợi nhuận sau thuế thu nhập doanh nghiệp,397,325,275,394,709
30. Lợi ích của cổ đông thiểu số,14,9,11,13,12
31. Lợi nhuận sau thuế của cổ đông của Công ty mẹ,382,317,264,380,697
32. Lãi cơ bản trên cổ phiếu.,562,466,388,559,"1,025"
