TCB,Q4/2013,Q1/2014,Q2/2014,Q3/2014,Q4/2014
b. Hao mòn TSCĐ,-578,-607,-643,-674,-704
2. Tài sản cố định thuê tài chính,0,,,,
a. Nguyên giá TSCĐ,0,,,,
b. Hao mòn TSCĐ,0,,,,
3. Tài sản cố định vô hình,376,361,353,353,379
a. Nguyên giá TSCĐ,553,555,563,580,624
b. Hao mòn TSCĐ,-177,-194,-211,-227,-245
X. Bất động sản đầu tư,"1,421","1,418","1,407","1,398","1,389"
a. Nguyên giá BĐSĐT,"1,484","1,490","1,488","1,488","1,490"
b. Hao mòn BĐSĐT,-63,-72,-81,-91,-100
"XI. Tài sản ""Có"" khác","15,917","16,486","15,509","15,030","13,569"
1. Các khoản phải thu,"10,345","10,663","9,763","10,194","10,390"
"2. Các khoản lãi, phí phải thu","5,257","5,508","5,430","4,692","3,341"
3. Tài sản thuế TNDN hoãn lại,29,28,21,17,17
4. Tài sản Có khác,338,338,356,628,606
- Trong đó: Lợi thế thương mại,0,,,,
5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,-51,-51,-61,-502,-786
TỔNG CỘNG TÀI SẢN,"158,897","164,135","171,081","170,768","175,915"
B. NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,
I. Các khoản nợ Chính phủ và NHNN,0,,,,
II. Tiền gửi và vay các TCTD khác,"15,225","16,198","21,507","24,864","19,471"
1. Tiền gửi của các TCTD khác,"4,565","6,790","8,808","11,981","7,847"
2. Vay các TCTD khác,"10,660","9,407","12,699","12,883","11,625"
III. Tiền gửi của khách hàng,"119,978","124,014","124,743","121,733","131,438"
IV. Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,73,66,60,33,18
"V. Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",64,64,70,59,67
VI. Phát hành giấy tờ có giá,"5,643","4,659","4,619","5,571","6,254"
VII. Các khoản nợ khác,"3,993","4,686","5,422","3,686","3,667"
"1. Các khoản lãi, phí phải trả","1,861","2,309","2,265","1,665","1,908"
2. Thuế TNDN hoãn lại phải trả,0,,,,
3. Các khoản phải trả và công nợ khác,"2,020","2,269","3,043","2,021","1,759"
4. Dự phòng rủi ro khác (Dự phòng cho công nợ tiềm ẩn và cam kết ngoại bảng),112,108,114,,
TỔNG NỢ PHẢI TRẢ,"144,977","149,686","156,420","155,946","160,916"
VIII. Vốn và các quỹ,"13,920","14,449","14,661","14,822","15,000"
1. Vốn của TCTD,"8,878","8,878","8,878","8,878","8,878"
a. Vốn điều lệ,"8,878","8,878","8,878","8,878","8,878"
b. Vốn đầu tư XDCB,0,,,,
c. Thặng dư vốn cổ phần,0,,,,
d. Cổ phiếu quỹ,0,,,,
e. Cổ phiếu ưu đãi,0,,,,
g. Vốn khác,0,,,,
2. Quỹ của TCTD,"4,370","4,372","4,372","4,371","4,552"
3. Chênh lệch tỷ giá hối đoái,4,1,1,,
4. Chênh lệch đánh giá lại tài sản,0,,,,
5. Lợi nhuận chưa phân phối/Lỗ lũy kế,672,"1,194","1,410","1,572","1,570"
6. Lợi ích cổ đông không kiểm soát,0,,,,
IX. Lợi ích của cổ đông thiểu số,0,,,,
TỔNG NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,"158,897","164,135","171,081","170,768","175,915"
