TCB,Q3/2012,Q4/2012,Q1/2013,Q2/2013,Q3/2013
"XI. Tài sản ""Có"" khác","24,563","21,204","24,776","20,814","17,719"
1. Các khoản phải thu,"16,676","15,869","17,084","13,414","11,862"
"2. Các khoản lãi, phí phải thu","5,643","5,074","5,874","6,986","5,637"
3. Tài sản thuế TNDN hoãn lại,8,6,34,31,30
4. Tài sản Có khác,"2,235",298,"1,826",426,232
- Trong đó: Lợi thế thương mại,,,,,
5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,0,-43,-43,-43,-43
TỔNG CỘNG TÀI SẢN,"178,267","179,733","175,863","171,444","165,879"
B. NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,
I. Các khoản nợ Chính phủ và NHNN,,,,,
II. Tiền gửi và vay các TCTD khác,"39,992","39,170","34,203","33,990","24,686"
1. Tiền gửi của các TCTD khác,"21,800","14,921","14,600","15,205","10,788"
2. Vay các TCTD khác,"18,192","24,250","19,603","18,785","13,898"
III. Tiền gửi của khách hàng,"99,560","111,462","114,096","111,641","117,236"
IV. Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,3,4,,,
"V. Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",183,128,111,96,81
VI. Phát hành giấy tờ có giá,"18,987","10,451","7,646","6,670","4,536"
VII. Các khoản nợ khác,"5,138","5,232","6,131","5,264","5,487"
"1. Các khoản lãi, phí phải trả","2,278","1,783","1,901","2,151","1,734"
2. Thuế TNDN hoãn lại phải trả,,,,,
3. Các khoản phải trả và công nợ khác,"2,736","3,333","4,128","2,987","3,631"
4. Dự phòng rủi ro khác (Dự phòng cho công nợ tiềm ẩn và cam kết ngoại bảng),124,116,102,126,122
TỔNG NỢ PHẢI TRẢ,"163,863","166,443","162,188","157,661","152,031"
VIII. Vốn và các quỹ,"14,404","13,290","13,675","13,783","13,848"
1. Vốn của TCTD,"8,848","8,848","8,848","8,848","8,848"
a. Vốn điều lệ,"8,848","8,848","8,848","8,848","8,848"
b. Vốn đầu tư XDCB,,,,,
c. Thặng dư vốn cổ phần,,,,,
d. Cổ phiếu quỹ,,,,,
e. Cổ phiếu ưu đãi,,,,,
g. Vốn khác,0,,,,
2. Quỹ của TCTD,"3,332","3,475","3,476","4,279","4,279"
3. Chênh lệch tỷ giá hối đoái,-68,-4,29,3,
4. Chênh lệch đánh giá lại tài sản,,,,,
5. Lợi nhuận chưa phân phối/Lỗ lũy kế,"2,291",966,"1,355",627,718
6. Lợi ích cổ đông không kiểm soát,,,,,
IX. Lợi ích của cổ đông thiểu số,,,,,
TỔNG NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,"178,267","179,733","175,863","171,444","165,879"
