TCB,Q2/2012,Q3/2012,Q4/2012,Q1/2013,Q2/2013
II. Tiền gửi và vay các TCTD khác,"39,998","39,992","39,170","34,203","33,990"
1. Tiền gửi của các TCTD khác,"26,502","21,800","14,921","14,600","15,205"
2. Vay các TCTD khác,"13,496","18,192","24,250","19,603","18,785"
III. Tiền gửi của khách hàng,"96,739","99,560","111,462","114,096","111,641"
IV. Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,37,3,,,
"V. Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",197,183,128,111,96
VI. Phát hành giấy tờ có giá,"20,819","18,987","10,451","7,646","6,670"
VII. Các khoản nợ khác,"5,192","5,138","5,232","6,131","5,264"
"1. Các khoản lãi, phí phải trả","2,426","2,278","1,783","1,901","2,151"
2. Thuế TNDN hoãn lại phải trả,0,,,,
3. Các khoản phải trả và công nợ khác,"2,636","2,736","3,333","4,128","2,987"
4. Dự phòng rủi ro khác (Dự phòng cho công nợ tiềm ẩn và cam kết ngoại bảng),130,124,116,102,126
TỔNG NỢ PHẢI TRẢ,"165,883","163,863","166,443","162,188","157,661"
VIII. Vốn và các quỹ,"13,909","14,404","13,290","13,675","13,783"
1. Vốn của TCTD,"8,788","8,848","8,848","8,848","8,848"
a. Vốn điều lệ,"8,788","8,848","8,848","8,848","8,848"
b. Vốn đầu tư XDCB,0,,,,
c. Thặng dư vốn cổ phần,0,,,,
d. Cổ phiếu quỹ,0,,,,
e. Cổ phiếu ưu đãi,0,,,,
g. Vốn khác,0,0,,,
2. Quỹ của TCTD,"3,339","3,332","3,475","3,476","4,279"
3. Chênh lệch tỷ giá hối đoái,-110,-68,-4,29,
4. Chênh lệch đánh giá lại tài sản,0,,,,
5. Lợi nhuận chưa phân phối/Lỗ lũy kế,"1,892","2,291",966,"1,355",627
6. Lợi ích cổ đông không kiểm soát,,,,,
IX. Lợi ích của cổ đông thiểu số,0,,,,
TỔNG NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,"179,792","178,267","179,733","175,863","171,444"
