TCB,Q3/2017,Q4/2017,Q1/2018,Q2/2018,Q3/2018
a. Nguyên giá BĐSĐT,"1,443","1,443","1,442","1,436","1,436"
b. Hao mòn BĐSĐT,-196,-205,-214,-221,-230
"XI. Tài sản ""Có"" khác","13,151","12,542","12,448","13,409","16,772"
1. Các khoản phải thu,"8,359","9,418","7,917","8,658","10,141"
"2. Các khoản lãi, phí phải thu","5,728","3,877","4,400","4,670","6,036"
3. Tài sản thuế TNDN hoãn lại,7,2,,,
4. Tài sản Có khác,470,558,653,641,666
- Trong đó: Lợi thế thương mại,22,20,,,
5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,"-1,413","-1,312",-522,-561,-71
TỔNG CỘNG TÀI SẢN,"233,502","269,392","273,153","300,404","311,796"
B. NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,
I. Các khoản nợ Chính phủ và NHNN,"2,000","1,000","2,000","2,000","2,000"
II. Tiền gửi và vay các TCTD khác,"28,055","46,324","25,401","37,706","39,571"
1. Tiền gửi của các TCTD khác,"17,205","21,274","17,873","27,935","29,389"
2. Vay các TCTD khác,"10,851","25,049","7,528","9,771","10,183"
III. Tiền gửi của khách hàng,"166,323","170,971","181,391","186,283","193,583"
IV. Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,0,67,383,,
"V. Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",0,,,,
VI. Phát hành giấy tờ có giá,"11,495","17,640","20,074","18,904","17,240"
VII. Các khoản nợ khác,"6,195","6,527","6,671","8,014","9,537"
"1. Các khoản lãi, phí phải trả","2,938","2,764","2,861","3,067","3,563"
2. Thuế TNDN hoãn lại phải trả,0,,,,
3. Các khoản phải trả và công nợ khác,"3,257","3,763","3,811","4,947","5,975"
4. Dự phòng rủi ro khác (Dự phòng cho công nợ tiềm ẩn và cam kết ngoại bảng),0,,,,
TỔNG NỢ PHẢI TRẢ,"214,069","242,462","235,537","252,975","262,315"
VIII. Vốn và các quỹ,"19,433","26,931","37,616","47,429","49,481"
1. Vốn của TCTD,"4,835","9,777","18,409","26,126","35,443"
a. Vốn điều lệ,"8,878","11,655","11,655","11,655","34,966"
b. Vốn đầu tư XDCB,0,,,,
c. Thặng dư vốn cổ phần,"2,165","8,265","14,471",477,
d. Cổ phiếu quỹ,"-4,043","-4,043","-1,512",,
e. Cổ phiếu ưu đãi,0,,,,
g. Vốn khác,0,,,,
2. Quỹ của TCTD,"5,219","6,157","6,148","6,148","2,651"
3. Chênh lệch tỷ giá hối đoái,0,0,4,0,0
4. Chênh lệch đánh giá lại tài sản,0,,,,
5. Lợi nhuận chưa phân phối/Lỗ lũy kế,"9,380","10,997","13,055","15,156","11,388"
6. Lợi ích cổ đông không kiểm soát,0,,,,
IX. Lợi ích của cổ đông thiểu số,0,,,,
TỔNG NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,"233,502","269,392","273,153","300,404","311,796"
