TCB,Q1/2015,Q2/2015,Q3/2015,Q4/2015,Q1/2016
"2. Đầu tư vào công ty liên doanh, liên kết",,,,,
3. Đầu tư dài hạn khác,643,638,601,601,601
4. Dự phòng giảm giá đầu tư dài hạn,-4,-4,-4,-4,-4
IX. Tài sản cố định,"1,011",975,931,882,880
1. Tài sản cố định hữu hình,645,612,569,538,501
a. Nguyên giá TSCĐ,"1,392","1,398","1,367","1,342","1,342"
b. Hao mòn TSCĐ,-747,-785,-798,-804,-840
2. Tài sản cố định thuê tài chính,,,,,
a. Nguyên giá TSCĐ,,,,,
b. Hao mòn TSCĐ,,,,,
3. Tài sản cố định vô hình,366,363,362,344,379
a. Nguyên giá TSCĐ,631,648,666,668,724
b. Hao mòn TSCĐ,-265,-284,-304,-325,-345
X. Bất động sản đầu tư,"1,380","1,370","1,319","1,310","1,301"
a. Nguyên giá BĐSĐT,"1,490","1,490","1,443","1,443","1,443"
b. Hao mòn BĐSĐT,-110,-119,-124,-133,-142
"XI. Tài sản ""Có"" khác","13,197","11,647","11,988","12,355","10,436"
1. Các khoản phải thu,"10,481","9,244","9,660","11,325","9,191"
"2. Các khoản lãi, phí phải thu","3,278","3,590","3,874","3,047","3,362"
3. Tài sản thuế TNDN hoãn lại,26,26,23,3,3
4. Tài sản Có khác,688,607,590,595,613
- Trong đó: Lợi thế thương mại,98,44,40,37,
5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,"-1,277","-1,820","-2,158","-2,614","-2,732"
TỔNG CỘNG TÀI SẢN,"179,100","172,744","175,217","192,009","199,003"
B. NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,
I. Các khoản nợ Chính phủ và NHNN,203,,,,
II. Tiền gửi và vay các TCTD khác,"26,812","17,916","12,065","20,746","20,534"
1. Tiền gửi của các TCTD khác,"11,564","8,674","6,814","8,079","13,031"
2. Vay các TCTD khác,"15,248","9,243","5,251","12,667","7,503"
III. Tiền gửi của khách hàng,"126,886","129,016","136,631","142,240","148,817"
IV. Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,59,164,44,86,64
"V. Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",62,61,132,336,445
VI. Phát hành giấy tờ có giá,"6,442","6,477","6,395","8,134","8,103"
VII. Các khoản nợ khác,"3,342","3,356","3,789","3,939","4,083"
"1. Các khoản lãi, phí phải trả","1,829","1,901","1,982","2,087","2,283"
2. Thuế TNDN hoãn lại phải trả,"1,513",,,,
3. Các khoản phải trả và công nợ khác,"1,455","1,807","1,852","1,800",
4. Dự phòng rủi ro khác (Dự phòng cho công nợ tiềm ẩn và cam kết ngoại bảng),,,,,
TỔNG NỢ PHẢI TRẢ,"163,806","156,989","159,056","175,481","182,047"
VIII. Vốn và các quỹ,"15,294","15,755","16,161","16,528","16,957"
1. Vốn của TCTD,"8,878","8,878","8,878","8,878","8,878"
a. Vốn điều lệ,"8,878","8,878","8,878","8,878","8,878"
b. Vốn đầu tư XDCB,,,,,
c. Thặng dư vốn cổ phần,,,,,
d. Cổ phiếu quỹ,,,,,
e. Cổ phiếu ưu đãi,,,,,
g. Vốn khác,,,,,
2. Quỹ của TCTD,"4,550","4,550","4,549","4,753","4,745"
3. Chênh lệch tỷ giá hối đoái,8,-10,-7,23,
4. Chênh lệch đánh giá lại tài sản,,,,,
5. Lợi nhuận chưa phân phối/Lỗ lũy kế,"1,858","2,337","2,740","2,897","3,310"
6. Lợi ích cổ đông không kiểm soát,,,,,
IX. Lợi ích của cổ đông thiểu số,,,,,
TỔNG NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,"179,100","172,744","175,217","192,009","199,003"
