TCB,Q1/2020,Q2/2020,Q3/2020,Q4/2020,Q1/2021
3. Đầu tư dài hạn khác,13,12,12,12,12
4. Dự phòng giảm giá đầu tư dài hạn,-1,-1,-1,-1,-1
IX. Tài sản cố định,"3,493","4,126","4,273","4,613","4,726"
1. Tài sản cố định hữu hình,"1,072","1,149","1,184","1,471","1,592"
a. Nguyên giá TSCĐ,"2,075","1,989","2,065","2,416","2,595"
b. Hao mòn TSCĐ,"-1,003",-841,-881,-945,"-1,004"
2. Tài sản cố định thuê tài chính,,,,,
a. Nguyên giá TSCĐ,,,,,
b. Hao mòn TSCĐ,,,,,
3. Tài sản cố định vô hình,"2,421","2,978","3,088","3,142","3,134"
a. Nguyên giá TSCĐ,"3,118","3,700","3,837","3,923","3,940"
b. Hao mòn TSCĐ,-697,-722,-749,-781,-806
X. Bất động sản đầu tư,"1,152","1,143","1,134","1,125","1,116"
a. Nguyên giá BĐSĐT,"1,436","1,436","1,436","1,436","1,436"
b. Hao mòn BĐSĐT,-284,-293,-302,-311,-320
"XI. Tài sản ""Có"" khác","21,862","24,063","21,878","22,836","27,336"
1. Các khoản phải thu,"14,244","17,450","14,801","16,572","20,888"
"2. Các khoản lãi, phí phải thu","6,614","5,598","5,988","5,185","5,664"
3. Tài sản thuế TNDN hoãn lại,,,,,
4. Tài sản Có khác,"1,245","1,345","1,322","1,269","1,280"
- Trong đó: Lợi thế thương mại,,,,,
5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,-241,-330,-233,-190,-497
TỔNG CỘNG TÀI SẢN,"391,808","395,861","401,462","439,603","462,823"
B. NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,
I. Các khoản nợ Chính phủ và NHNN,"1,004",2,,,
II. Tiền gửi và vay các TCTD khác,"62,926","43,578","42,459","47,485","59,019"
1. Tiền gửi của các TCTD khác,"36,325","16,727","16,856","21,232","24,610"
2. Vay các TCTD khác,"26,601","26,851","25,603","26,253","34,409"
III. Tiền gửi của khách hàng,"235,099","249,857","252,572","277,459","287,446"
IV. Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,385,365,426,267,77
"V. Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",,,,,
VI. Phát hành giấy tờ có giá,"17,472","23,404","22,785","27,900","26,035"
VII. Các khoản nợ khác,"10,331","11,228","12,611","11,878","11,151"
"1. Các khoản lãi, phí phải trả","3,613","3,928","3,736","3,252","2,897"
2. Thuế TNDN hoãn lại phải trả,,,,,
3. Các khoản phải trả và công nợ khác,"6,718","7,300","8,875","8,626","8,254"
4. Dự phòng rủi ro khác (Dự phòng cho công nợ tiềm ẩn và cam kết ngoại bảng),,,,,
TỔNG NỢ PHẢI TRẢ,"327,217","328,432","330,853","364,988","383,730"
VIII. Vốn và các quỹ,"64,591","67,429","70,608","74,615","79,093"
1. Vốn của TCTD,"40,651","35,478","35,478","35,526","35,526"
a. Vốn điều lệ,"35,001","35,001","35,001","35,049","35,049"
b. Vốn đầu tư XDCB,,,,,
c. Thặng dư vốn cổ phần,477,477,477,477,477
d. Cổ phiếu quỹ,"5,173",,,,
e. Cổ phiếu ưu đãi,,,,,
g. Vốn khác,,,,,
2. Quỹ của TCTD,"5,173","5,172","6,790","6,790",
3. Chênh lệch tỷ giá hối đoái,12,-1,-2,2,
4. Chênh lệch đánh giá lại tài sản,,,,,
5. Lợi nhuận chưa phân phối/Lỗ lũy kế,"23,587","26,404","29,503","31,816","36,213"
6. Lợi ích cổ đông không kiểm soát,340,376,457,484,563
IX. Lợi ích của cổ đông thiểu số,,,,,
TỔNG NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,"391,808","395,861","401,462","439,603","462,823"
