TCB,Q2/2021,Q3/2021,Q4/2021,Q1/2022,Q2/2022
TỔNG CỘNG TÀI SẢN,"504,304","541,635","568,811","615,270","623,745"
B. NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,
I. Các khoản nợ Chính phủ và NHNN,0,15,1,223,2
II. Tiền gửi và vay các TCTD khác,"90,642","90,348","112,459","137,999","141,201"
1. Tiền gửi của các TCTD khác,"43,861","31,079","45,606","60,349","57,307"
2. Vay các TCTD khác,"46,781","59,269","66,853","77,649","83,894"
III. Tiền gửi của khách hàng,"289,335","316,376","314,753","328,914","321,634"
IV. Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,0,,,,
"V. Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",0,,,,
VI. Phát hành giấy tờ có giá,"27,678","34,003","33,680","32,731","37,122"
VII. Các khoản nợ khác,"12,748","12,508","14,864","16,818","19,313"
"1. Các khoản lãi, phí phải trả","2,643","3,074","3,098","3,369","3,375"
2. Thuế TNDN hoãn lại phải trả,0,,,,
3. Các khoản phải trả và công nợ khác,"10,105","9,434","11,765","13,448","15,938"
4. Dự phòng rủi ro khác (Dự phòng cho công nợ tiềm ẩn và cam kết ngoại bảng),0,,,,
TỔNG NỢ PHẢI TRẢ,"420,403","453,251","475,756","516,684","519,272"
VIII. Vốn và các quỹ,"83,901","88,384","93,056","98,586","104,473"
1. Vốn của TCTD,"35,526","35,586","35,586","35,586","35,586"
a. Vốn điều lệ,"35,049","35,109","35,109","35,109","35,109"
b. Vốn đầu tư XDCB,0,,,,
c. Thặng dư vốn cổ phần,477,476,476,476,476
d. Cổ phiếu quỹ,0,,,,
e. Cổ phiếu ưu đãi,0,,,,
g. Vốn khác,0,,,,
2. Quỹ của TCTD,"6,790","6,784","9,156","9,156","9,152"
3. Chênh lệch tỷ giá hối đoái,3,0,3,14,
4. Chênh lệch đánh giá lại tài sản,0,,,,
5. Lợi nhuận chưa phân phối/Lỗ lũy kế,"40,924","45,261","47,469","52,958","58,758"
6. Lợi ích cổ đông không kiểm soát,659,753,845,884,963
IX. Lợi ích của cổ đông thiểu số,0,,,,
TỔNG NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,"504,304","541,635","568,811","615,270","623,745"
