VIC,Q3/2017,Q4/2017,Q1/2018,Q2/2018,Q3/2018
- Nguyên giá,"34,540","40,954","42,994","46,502","49,269"
- Giá trị hao mòn lũy kế (*),"-5,284","-6,042","-6,541","-7,145","-7,155"
2. Tài sản cố định thuê tài chính,,,,,
- Nguyên giá,,,,,
- Giá trị hao mòn lũy kế (*),,,,,
3. Tài sản cố định vô hình,676,735,698,713,755
- Nguyên giá,"1,242","1,329","1,274","1,322","1,376"
- Giá trị hao mòn lũy kế (*),-566,-594,-576,-609,-620
III. Bất động sản đầu tư,"17,049","17,373","20,256","23,740","24,591"
- Nguyên giá,"19,489","20,125","23,077","26,767","27,960"
- Giá trị hao mòn lũy kế (*),"-2,440","-2,752","-2,820","-3,026","-3,369"
IV. Tài sản dở dang dài hạn,"40,551","45,417","44,325","52,096","56,065"
"1. Chi phí sản xuất, kinh doanh dở dang dài hạn",,,,,
2. Chi phí xây dựng cơ bản dở dang,"40,551","45,417","44,325","52,096","56,065"
V. Đầu tư tài chính dài hạn,"5,743","6,528","5,813","5,900","5,844"
1. Đầu tư vào công ty con,,,,,
2. Đầu tư vào công ty liên kết. liên doanh,"2,491","2,440","2,723","2,697","2,696"
3. Đầu tư góp vốn vào đơn vị khác,"2,166","2,176","1,186","1,303","1,253"
4. Dự phòng đầu tư tài chính dài hạn (*),-8,-8,-50,-50,-55
5. Đầu tư nắm giữ đến ngày đáo hạn,"1,093","1,920","1,954","1,950","1,950"
6. Đầu tư dài hạn khác,,,,,
VI. Tài sản dài hạn khác,"10,262","8,882","18,907","17,727","9,698"
1. Chi phí trả trước dài hạn,"2,541","3,059","3,140","2,945","4,083"
2. Tài sản thuế thu nhập hoãn lại,394,361,363,323,369
"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn",,,,,
4. Tài sản dài hạn khác,"10,602","10,032","1,032",,
5. Lợi thế thương mại,"7,327","5,462","4,802","4,427","4,214"
VII. Lợi thế thương mại (áp dụng trước năm 2015),,,,,
TỔNG CỘNG TÀI SẢN,"204,938","214,855","223,638","242,176","268,230"
NGUỒN VỐN,,,,,
A. NỢ PHẢI TRẢ,"155,220","162,549","164,171","155,338","170,120"
I. Nợ ngắn hạn,"114,442","124,897","124,908","104,039","109,882"
1. Phải trả người bán ngắn hạn,"8,603","9,471","9,787","9,364","10,767"
2. Người mua trả tiền trước ngắn hạn,"60,858","56,976","49,716","36,782","37,987"
3. Thuế và các khoản phải nộp Nhà nước,"3,369","4,870","3,791","8,756","10,542"
4. Phải trả người lao động,347,194,368,178,358
5. Chi phí phải trả ngắn hạn,"8,813","11,468","11,660","14,787","17,029"
6. Phải trả nội bộ ngắn hạn,,,,,
7. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng,,,,,
8. Doanh thu chưa thực hiện ngắn hạn,"1,737","1,685","1,938","2,480","2,719"
9. Phải trả ngắn hạn khác,"19,073","22,132","23,552","19,366","15,213"
10. Vay và nợ thuê tài chính ngắn hạn,"11,502","17,925","23,848","12,134","15,041"
11. Dự phòng phải trả ngắn hạn,141,175,249,193,225
"12. Quỹ khen thưởng, phúc lợi",,,,,
13. Quỹ bình ổn giá,,,,,
14. Giao dịch mua bán lại trái phiếu Chính phủ,,,,,
II. Nợ dài hạn,"40,778","37,652","39,264","51,298","60,237"
1. Phải trả người bán dài hạn,,,,,
2. Người mua trả tiền trước dài hạn,,,,,
3. Chi phí phải trả dài hạn,,,,,
4. Phải trả nội bộ về vốn kinh doanh,,,,,
5. Phải trả nội bộ dài hạn,,,,,
6. Doanh thu chưa thực hiện dài hạn,"5,260","5,326","7,033","7,408","4,864"
7. Phải trả dài hạn khác,745,741,766,746,788
8. Vay và nợ thuê tài chính dài hạn,"34,672","31,457","31,320","43,000","54,448"
9. Trái phiếu chuyển đổi,,,,,
10. Cổ phiếu ưu đãi (Nợ),,,,,
11. Thuế thu nhập hoãn lại phải trả,101,129,144,145,137
12. Dự phòng phải trả dài hạn,,,,,
13. Quỹ phát triển khoa học và công nghệ,,,,,
14. Dự phòng trợ cấp mất việc làm,,,,,
B. VỐN CHỦ SỞ HỮU,"49,718","52,306","59,467","86,838","98,110"
I. Vốn chủ sở hữu,"49,718","52,306","59,467","86,838","98,110"
1. Vốn góp của chủ sở hữu,"26,377","26,377","26,377","26,377","32,756"
- Cổ phiếu phổ thông có quyền biểu quyết,"26,377","26,377","26,377","26,377","31,916"
- Cổ phiếu ưu đãi,840,,,,
2. Thặng dư vốn cổ phần,"2,446","2,624","2,651","2,783","11,133"
3. Quyền chọn chuyển đổi trái phiếu,,,,,
4. Vốn khác của chủ sở hữu,38,,,,
5. Cổ phiếu quỹ (*),"-2,975","-2,975","-2,975","-2,975","-2,975"
6. Chênh lệch đánh giá lại tài sản,,,,,
7. Chênh lệch tỷ giá hối đoái,,,,,
8. Quỹ đầu tư phát triển,,,,,
9. Quỹ hỗ trợ sắp xếp doanh nghiệp,,,,,
10. Quỹ khác thuộc vốn chủ sở hữu,38,38,43,43,
11. Lợi nhuận sau thuế chưa phân phối,"1,762","5,152","7,111","15,717","11,146"
- LNST chưa phân phối lũy kế đến cuối kỳ trước,937,"1,966","5,583","5,578","5,583"
- LNST chưa phân phối kỳ này,825,"3,186","1,528","10,139","5,563"
12. Nguồn vốn đầu tư XDCB,,,,,
13. Lợi ích cổ đông không kiểm soát,"22,069","21,090","26,264","44,893","46,007"
14. Quỹ dự phòng tài chính,,,,,
II. Nguồn kinh phí và quỹ khác,,,,,
1. Nguồn kinh phí,,,,,
2. Nguồn kinh phí đã hình thành TSCĐ,,,,,
C. LỢI ÍCH CỔ ĐÔNG THIỂU SỐ,,,,,
TỔNG CỘNG NGUỒN VỐN,"204,938","214,855","223,638","242,176","268,230"
