VIC,Q2/2021,Q3/2021,Q4/2021,Q1/2022,Q2/2022
- Giá trị hao mòn lũy kế (*),"-7,127","-7,672","-8,291","-8,844","-9,334"
IV. Tài sản dở dang dài hạn,"69,413","76,459","80,304","87,439","89,129"
"1. Chi phí sản xuất, kinh doanh dở dang dài hạn",,,,,
2. Chi phí xây dựng cơ bản dở dang,"69,413","76,459","80,304","87,439","89,129"
V. Đầu tư tài chính dài hạn,"7,131","7,265","9,152","10,313","10,517"
1. Đầu tư vào công ty con,,,,,
2. Đầu tư vào công ty liên kết. liên doanh,239,222,216,903,338
3. Đầu tư góp vốn vào đơn vị khác,"6,703","6,852","8,831","9,306","10,195"
4. Dự phòng đầu tư tài chính dài hạn (*),-45,-45,-45,-45,-166
5. Đầu tư nắm giữ đến ngày đáo hạn,235,236,150,150,151
6. Đầu tư dài hạn khác,,,,,
VI. Tài sản dài hạn khác,"11,789","10,433","8,335","7,482","8,109"
1. Chi phí trả trước dài hạn,"7,327","7,257","5,806","5,370","5,089"
2. Tài sản thuế thu nhập hoãn lại,"1,236","1,139",669,776,760
"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn",,,,,
4. Tài sản dài hạn khác,"1,032",299,"1,331",,
5. Lợi thế thương mại,"2,194","2,037","1,859","1,037",928
VII. Lợi thế thương mại (áp dụng trước năm 2015),,,,,
TỔNG CỘNG TÀI SẢN,"417,881","433,603","427,324","441,367","508,609"
NGUỒN VỐN,,,,,
A. NỢ PHẢI TRẢ,"273,440","269,306","268,177","306,808","376,602"
I. Nợ ngắn hạn,"154,338","148,238","144,445","148,450","243,813"
1. Phải trả người bán ngắn hạn,"17,651","17,706","18,890","20,849","22,353"
2. Người mua trả tiền trước ngắn hạn,"36,008","29,008","22,352","18,974","62,648"
3. Thuế và các khoản phải nộp Nhà nước,"6,609","8,947","5,614","2,655","8,341"
4. Phải trả người lao động,593,775,490,143,200
5. Chi phí phải trả ngắn hạn,"26,216","24,373","27,744","26,079","32,366"
6. Phải trả nội bộ ngắn hạn,,,,,
7. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng,,,,,
8. Doanh thu chưa thực hiện ngắn hạn,"2,949","3,737","3,283","2,593","3,048"
9. Phải trả ngắn hạn khác,"28,243","31,515","39,344","38,682","61,615"
10. Vay và nợ thuê tài chính ngắn hạn,"31,437","26,629","20,035","30,199","45,928"
11. Dự phòng phải trả ngắn hạn,"4,631","5,549","6,693","8,276","7,314"
"12. Quỹ khen thưởng, phúc lợi",,,,,
13. Quỹ bình ổn giá,,,,,
14. Giao dịch mua bán lại trái phiếu Chính phủ,,,,,
II. Nợ dài hạn,"119,101","121,067","123,732","158,358","132,789"
1. Phải trả người bán dài hạn,"24,202",,,,
2. Người mua trả tiền trước dài hạn,,,,,
3. Chi phí phải trả dài hạn,"1,363","1,194","1,594","1,911",132
4. Phải trả nội bộ về vốn kinh doanh,,,,,
5. Phải trả nội bộ dài hạn,,,,,
6. Doanh thu chưa thực hiện dài hạn,"4,842","4,533","4,294","4,242","3,893"
7. Phải trả dài hạn khác,"3,505","1,914","2,579","5,575","4,505"
8. Vay và nợ thuê tài chính dài hạn,"95,403","102,281","102,180","109,349","110,950"
9. Trái phiếu chuyển đổi,"11,319","9,530","9,550","9,518","9,714"
10. Cổ phiếu ưu đãi (Nợ),,,,,
11. Thuế thu nhập hoãn lại phải trả,547,542,675,"1,109","1,107"
12. Dự phòng phải trả dài hạn,"2,122","1,073","2,860","2,451","2,489"
13. Quỹ phát triển khoa học và công nghệ,,,,,
14. Dự phòng trợ cấp mất việc làm,,,,,
B. VỐN CHỦ SỞ HỮU,"144,442","164,297","159,147","134,558","132,006"
I. Vốn chủ sở hữu,"144,442","164,297","159,147","134,558","132,006"
1. Vốn góp của chủ sở hữu,"34,448","38,676","38,676","38,689","38,689"
- Cổ phiếu phổ thông có quyền biểu quyết,"33,824","38,052","38,052","38,139","38,139"
- Cổ phiếu ưu đãi,623,623,623,549,549
2. Thặng dư vốn cổ phần,"39,753","40,063","40,063","40,050","40,050"
3. Quyền chọn chuyển đổi trái phiếu,,,,,
4. Vốn khác của chủ sở hữu,"7,235","18,482","18,482","18,482","18,482"
5. Cổ phiếu quỹ (*),-969,"-1,344","-1,344","-1,344","-1,344"
6. Chênh lệch đánh giá lại tài sản,,,,,
7. Chênh lệch tỷ giá hối đoái,-88,-192,-205,-99,-174
8. Quỹ đầu tư phát triển,,,,,
9. Quỹ hỗ trợ sắp xếp doanh nghiệp,,,,,
10. Quỹ khác thuộc vốn chủ sở hữu,78,78,78,78,88
11. Lợi nhuận sau thuế chưa phân phối,"8,618","3,670","3,897","6,488","9,646"
- LNST chưa phân phối lũy kế đến cuối kỳ trước,"4,351","4,351","4,351","4,718","4,710"
- LNST chưa phân phối kỳ này,"4,267",-681,-454,"1,770","4,936"
12. Nguồn vốn đầu tư XDCB,,,,,
13. Lợi ích cổ đông không kiểm soát,"55,367","64,865","59,500","32,215","26,570"
14. Quỹ dự phòng tài chính,,,,,
II. Nguồn kinh phí và quỹ khác,,,,,
1. Nguồn kinh phí,,,,,
2. Nguồn kinh phí đã hình thành TSCĐ,,,,,
C. LỢI ÍCH CỔ ĐÔNG THIỂU SỐ,,,,,
TỔNG CỘNG NGUỒN VỐN,"417,881","433,603","427,324","441,367","508,609"
