VIC,Q4/2018,Q1/2019,Q2/2019,Q3/2019,Q4/2019
I. Các khoản phải thu dài hạn,"4,906",347,350,420,"1,143"
1. Phải thu dài hạn của khách hàng,,,,,
2. Trả trước cho người bán dài hạn,,,,,
3. Vốn kinh doanh ở các đơn vị trực thuộc,,,,,
4.  Phải thu nội bộ dài hạn,,,,,
5. Phải thu về cho vay dài hạn,"4,505",55,67,67,908
6. Phải thu dài hạn khác,401,292,283,353,235
7. Dự phòng phải thu dài hạn khó đòi (*),,,,,
II. Tài sản cố định,"47,270","50,922","78,505","79,447","108,679"
1. Tài sản cố định hữu hình,"46,453","49,923","74,994","75,914","89,429"
- Nguyên giá,"54,827","60,055","86,056","88,402","101,335"
- Giá trị hao mòn lũy kế (*),"-8,374","-10,131","-11,062","-12,488","-11,906"
2. Tài sản cố định thuê tài chính,,,,,
- Nguyên giá,,,,,
- Giá trị hao mòn lũy kế (*),,,,,
3. Tài sản cố định vô hình,818,998,"3,511","3,533","19,250"
- Nguyên giá,"1,469","1,767","4,291","4,488","20,732"
- Giá trị hao mòn lũy kế (*),-652,-769,-780,-955,"-1,482"
III. Bất động sản đầu tư,"28,880","25,896","28,779","28,694","33,547"
- Nguyên giá,"32,675","29,562","32,822","32,964","38,794"
- Giá trị hao mòn lũy kế (*),"-3,795","-3,667","-4,044","-4,270","-5,247"
IV. Tài sản dở dang dài hạn,"59,424","64,087","47,181","64,092","48,182"
"1. Chi phí sản xuất, kinh doanh dở dang dài hạn",,,,,
2. Chi phí xây dựng cơ bản dở dang,"59,424","64,087","47,181","64,092","48,182"
V. Đầu tư tài chính dài hạn,"6,091","6,123","5,421","4,673","4,671"
1. Đầu tư vào công ty con,,,,,
2. Đầu tư vào công ty liên kết. liên doanh,"2,546","2,538","2,698","2,310","2,107"
3. Đầu tư góp vốn vào đơn vị khác,"1,595","1,612","1,750","1,513","1,706"
4. Dự phòng đầu tư tài chính dài hạn (*),-50,-41,-41,-41,-149
5. Đầu tư nắm giữ đến ngày đáo hạn,"2,000","2,014","1,014",892,"1,006"
6. Đầu tư dài hạn khác,,,,,
VI. Tài sản dài hạn khác,"10,076","12,851","15,494","13,548","10,857"
1. Chi phí trả trước dài hạn,"4,404","5,547","7,521","8,113","6,986"
2. Tài sản thuế thu nhập hoãn lại,372,715,"1,000",798,657
"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn",,,,,
4. Tài sản dài hạn khác,"1,174","2,194","3,195","1,033","1,032"
5. Lợi thế thương mại,"4,126","4,394","3,778","3,603","2,182"
VII. Lợi thế thương mại (áp dụng trước năm 2015),,,,,
TỔNG CỘNG TÀI SẢN,"289,105","314,126","338,524","357,159","408,573"
NGUỒN VỐN,,,,,
A. NỢ PHẢI TRẢ,"190,046","211,753","212,351","231,751","287,972"
I. Nợ ngắn hạn,"110,667","123,933","125,614","151,188","183,616"
1. Phải trả người bán ngắn hạn,"14,464","19,303","13,628","17,549","17,886"
2. Người mua trả tiền trước ngắn hạn,"24,728","32,666","28,004","38,194","52,382"
3. Thuế và các khoản phải nộp Nhà nước,"13,378","12,755","13,887","12,940","6,709"
4. Phải trả người lao động,348,473,730,"1,048","1,136"
5. Chi phí phải trả ngắn hạn,"20,294","15,928","17,637","16,906","20,566"
6. Phải trả nội bộ ngắn hạn,,,,,
7. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng,,,,,
8. Doanh thu chưa thực hiện ngắn hạn,"2,616","1,973","2,706","3,311","3,170"
9. Phải trả ngắn hạn khác,"15,394","18,444","25,525","27,205","50,468"
10. Vay và nợ thuê tài chính ngắn hạn,"19,116","22,197","23,112","33,803","31,045"
11. Dự phòng phải trả ngắn hạn,329,193,385,232,255
"12. Quỹ khen thưởng, phúc lợi",,,,,
13. Quỹ bình ổn giá,,,,,
14. Giao dịch mua bán lại trái phiếu Chính phủ,,,,,
II. Nợ dài hạn,"79,379","87,820","86,737","80,563","104,356"
1. Phải trả người bán dài hạn,,,,,
2. Người mua trả tiền trước dài hạn,,,,,
3. Chi phí phải trả dài hạn,187,462,293,799,
4. Phải trả nội bộ về vốn kinh doanh,,,,,
5. Phải trả nội bộ dài hạn,,,,,
6. Doanh thu chưa thực hiện dài hạn,"5,705","5,633","5,452","5,306","5,161"
7. Phải trả dài hạn khác,947,962,969,"1,021","1,028"
8. Vay và nợ thuê tài chính dài hạn,"71,976","69,906","68,907","63,038","86,481"
9. Trái phiếu chuyển đổi,"10,226","10,285","10,264","10,259",
10. Cổ phiếu ưu đãi (Nợ),,,,,
11. Thuế thu nhập hoãn lại phải trả,750,774,506,510,463
12. Dự phòng phải trả dài hạn,132,155,131,165,
13. Quỹ phát triển khoa học và công nghệ,,,,,
14. Dự phòng trợ cấp mất việc làm,,,,,
B. VỐN CHỦ SỞ HỮU,"99,059","102,373","126,173","125,408","120,601"
I. Vốn chủ sở hữu,"99,059","102,373","126,173","125,408","120,601"
1. Vốn góp của chủ sở hữu,"32,756","32,756","34,299","34,299","34,309"
- Cổ phiếu phổ thông có quyền biểu quyết,"31,916","31,916","33,459","33,459","33,686"
- Cổ phiếu ưu đãi,840,840,840,840,623
2. Thặng dư vốn cổ phần,"11,443","11,443","34,503","32,644","29,318"
3. Quyền chọn chuyển đổi trái phiếu,,,,,
4. Vốn khác của chủ sở hữu,"7,235","7,235","7,235","7,235","7,235"
5. Cổ phiếu quỹ (*),"-2,975","-2,975","-2,453","-2,453","-2,284"
6. Chênh lệch đánh giá lại tài sản,,,,,
7. Chênh lệch tỷ giá hối đoái,-14,27,13,39,
8. Quỹ đầu tư phát triển,,,,,
9. Quỹ hỗ trợ sắp xếp doanh nghiệp,,,,,
10. Quỹ khác thuộc vốn chủ sở hữu,43,43,53,53,53
11. Lợi nhuận sau thuế chưa phân phối,"4,825","6,469","8,665","5,127","7,758"
- LNST chưa phân phối lũy kế đến cuối kỳ trước,"5,583","5,096","5,088","5,088","5,135"
- LNST chưa phân phối kỳ này,-758,"1,373","3,577",39,"2,623"
12. Nguồn vốn đầu tư XDCB,,,,,
13. Lợi ích cổ đông không kiểm soát,"45,732","47,416","43,845","48,490","44,172"
14. Quỹ dự phòng tài chính,,,,,
II. Nguồn kinh phí và quỹ khác,,,,,
1. Nguồn kinh phí,,,,,
2. Nguồn kinh phí đã hình thành TSCĐ,,,,,
C. LỢI ÍCH CỔ ĐÔNG THIỂU SỐ,,,,,
TỔNG CỘNG NGUỒN VỐN,"289,105","314,126","338,524","357,159","408,573"
