HDB,Q4/2023,Q1/2024,Q2/2024,Q3/2024,Q4/2024
b. Hao mòn TSCĐ,-990,"-1,021","-1,032","-1,068","-1,096"
2. Tài sản cố định thuê tài chính,,,,,
a. Nguyên giá TSCĐ,,,,,
b. Hao mòn TSCĐ,,,,,
3. Tài sản cố định vô hình,710,764,757,858,878
a. Nguyên giá TSCĐ,"1,076","1,140","1,143","1,259","1,291"
b. Hao mòn TSCĐ,-367,-376,-386,-402,-413
X. Bất động sản đầu tư,,,,,
a. Nguyên giá BĐSĐT,,,,,
b. Hao mòn BĐSĐT,,,,,
"XI. Tài sản ""Có"" khác","57,809","60,701","61,680","52,269","55,958"
1. Các khoản phải thu,"49,528","51,747","52,319","43,608","48,394"
"2. Các khoản lãi, phí phải thu","6,017","6,801","7,224","6,497","5,304"
3. Tài sản thuế TNDN hoãn lại,77,70,65,78,72
4. Tài sản Có khác,"2,233","2,129","2,118","2,133","2,235"
- Trong đó: Lợi thế thương mại,,,,,
5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,-47,-47,-47,-47,-47
TỔNG CỘNG TÀI SẢN,"602,315","602,552","624,443","629,569","697,281"
B. NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,
I. Các khoản nợ Chính phủ và NHNN,27,20,21,18,15
II. Tiền gửi và vay các TCTD khác,"112,087","107,009","118,687","92,303","99,461"
1. Tiền gửi của các TCTD khác,"62,598","55,849","72,467","61,373","74,877"
2. Vay các TCTD khác,"49,489","51,160","46,221","30,930","24,584"
III. Tiền gửi của khách hàng,"370,778","378,789","386,573","397,019","437,505"
IV. Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,,,,114,18
"V. Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro","2,811","2,796","2,856","2,699","2,788"
VI. Phát hành giấy tờ có giá,"50,938","46,302","44,593","67,367","81,350"
VII. Các khoản nợ khác,"19,274","17,935","18,887","16,466","19,485"
"1. Các khoản lãi, phí phải trả","10,346","9,641","7,661","7,459","8,013"
2. Thuế TNDN hoãn lại phải trả,,,,,
3. Các khoản phải trả và công nợ khác,"8,927","8,294","11,226","9,007","11,472"
4. Dự phòng rủi ro khác (Dự phòng cho công nợ tiềm ẩn và cam kết ngoại bảng),,,,,
TỔNG NỢ PHẢI TRẢ,"555,915","552,851","571,618","575,985","640,623"
VIII. Vốn và các quỹ,"46,400","49,700","52,826","53,584","56,658"
1. Vốn của TCTD,"29,199","29,199","29,199","29,199","35,224"
a. Vốn điều lệ,"29,076","29,076","29,076","29,076","35,101"
b. Vốn đầu tư XDCB,0,0,0,0,0
c. Thặng dư vốn cổ phần,536,536,536,536,536
d. Cổ phiếu quỹ,-413,-413,-413,-413,-413
e. Cổ phiếu ưu đãi,,,,,
g. Vốn khác,,,,,
2. Quỹ của TCTD,"4,708","4,708","6,260","6,258","6,313"
3. Chênh lệch tỷ giá hối đoái,,87,-28,99,
4. Chênh lệch đánh giá lại tài sản,,,,,
5. Lợi nhuận chưa phân phối/Lỗ lũy kế,"10,562","13,671","15,224","15,735","12,954"
6. Lợi ích cổ đông không kiểm soát,"1,931","2,035","2,172","2,294","2,166"
IX. Lợi ích của cổ đông thiểu số,,,,,
TỔNG NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,"602,315","602,552","624,443","629,569","697,281"
