HDB,Q2/2021,Q3/2021,Q4/2021,Q1/2022,Q2/2022
II. Tiền gửi và vay các TCTD khác,"60,259","81,352","107,243","93,474","86,187"
1. Tiền gửi của các TCTD khác,"31,821","49,979","59,852","52,735","43,215"
2. Vay các TCTD khác,"28,438","31,372","47,391","40,739","42,972"
III. Tiền gửi của khách hàng,"198,534","194,429","183,283","201,490","212,520"
IV. Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,,,16,45,
"V. Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro","3,023","2,921","2,937","2,860","2,907"
VI. Phát hành giấy tờ có giá,"33,315","30,996","42,756","42,099","39,104"
VII. Các khoản nợ khác,"7,992","7,282","7,495","8,185","8,112"
"1. Các khoản lãi, phí phải trả","4,686","4,603","4,383","4,471","4,458"
2. Thuế TNDN hoãn lại phải trả,5,5,1,1,1
3. Các khoản phải trả và công nợ khác,"3,301","2,674","3,111","3,714","3,654"
4. Dự phòng rủi ro khác (Dự phòng cho công nợ tiềm ẩn và cam kết ngoại bảng),,,,,
TỔNG NỢ PHẢI TRẢ,"303,239","317,085","343,821","348,235","348,900"
VIII. Vốn và các quỹ,"27,730","29,270","30,790","32,811","35,367"
1. Vốn của TCTD,"16,211","16,211","20,196","20,196","20,396"
a. Vốn điều lệ,"16,088","16,088","20,073","20,073","20,273"
b. Vốn đầu tư XDCB,0,0,0,0,0
c. Thặng dư vốn cổ phần,536,536,536,536,536
d. Cổ phiếu quỹ,-413,-413,-413,-413,-413
e. Cổ phiếu ưu đãi,,,,,
g. Vốn khác,,,,,
2. Quỹ của TCTD,"2,493","2,493","2,547","2,537","3,466"
3. Chênh lệch tỷ giá hối đoái,38,65,,14,-14
4. Chênh lệch đánh giá lại tài sản,,,,,
5. Lợi nhuận chưa phân phối/Lỗ lũy kế,"7,395","8,827","6,290","8,206","9,345"
6. Lợi ích cổ đông không kiểm soát,"1,593","1,675","1,757","1,859","2,175"
IX. Lợi ích của cổ đông thiểu số,,,,,
TỔNG NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,"330,970","346,355","374,612","381,046","384,267"
