HDB,Q2/2016,Q3/2016,Q4/2016,Q1/2017,Q2/2017
II. Tiền gửi và vay các TCTD khác,"11,741","14,161","19,685","20,074","25,107"
1. Tiền gửi của các TCTD khác,"7,578","9,264","13,621","14,414","17,593"
2. Vay các TCTD khác,"4,163","4,897","6,063","5,661","7,514"
III. Tiền gửi của khách hàng,"93,167","97,816","103,300","112,877","115,711"
IV. Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,9,89,,,
"V. Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro","2,812","2,817","2,843","2,868","2,907"
VI. Phát hành giấy tờ có giá,"8,995","11,086","11,027","11,754","11,353"
VII. Các khoản nợ khác,"2,717","3,145","3,310","3,478","3,559"
"1. Các khoản lãi, phí phải trả","1,920","2,076","2,463","2,693","2,752"
2. Thuế TNDN hoãn lại phải trả,,,,,
3. Các khoản phải trả và công nợ khác,796,"1,069",847,785,807
4. Dự phòng rủi ro khác (Dự phòng cho công nợ tiềm ẩn và cam kết ngoại bảng),,,,,
TỔNG NỢ PHẢI TRẢ,"119,653","129,217","140,352","153,102","158,879"
VIII. Vốn và các quỹ,"9,683","9,655","9,943","10,247","10,649"
1. Vốn của TCTD,"8,105","8,105","8,105","8,105","8,105"
a. Vốn điều lệ,"8,100","8,100","8,100","8,100","8,100"
b. Vốn đầu tư XDCB,0,0,0,0,0
c. Thặng dư vốn cổ phần,5,5,5,5,5
d. Cổ phiếu quỹ,0,0,0,0,0
e. Cổ phiếu ưu đãi,,,,,
g. Vốn khác,,,,,
2. Quỹ của TCTD,439,439,465,463,463
3. Chênh lệch tỷ giá hối đoái,5,-14,-2,-4,
4. Chênh lệch đánh giá lại tài sản,,,,,
5. Lợi nhuận chưa phân phối/Lỗ lũy kế,607,548,747,"1,014","1,365"
6. Lợi ích cổ đông không kiểm soát,528,578,626,668,720
IX. Lợi ích của cổ đông thiểu số,,,,,
TỔNG NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,"129,337","138,872","150,294","163,349","169,528"
