HDB,Q4/2018,Q1/2019,Q2/2019,Q3/2019,Q4/2019
a. Nguyên giá TSCĐ,"1,172","1,185","1,109","1,124","1,179"
b. Hao mòn TSCĐ,-603,-620,-619,-632,-647
2. Tài sản cố định thuê tài chính,0,0,,,
a. Nguyên giá TSCĐ,0,0,,,
b. Hao mòn TSCĐ,0,0,,,
3. Tài sản cố định vô hình,"1,046","1,043",368,367,371
a. Nguyên giá TSCĐ,"1,240","1,240",567,569,576
b. Hao mòn TSCĐ,-194,-197,-199,-202,-204
X. Bất động sản đầu tư,52,52,52,44,44
a. Nguyên giá BĐSĐT,52,52,52,44,44
b. Hao mòn BĐSĐT,0,0,0,0,0
"XI. Tài sản ""Có"" khác","7,076","7,391","8,990","7,694","11,805"
1. Các khoản phải thu,"2,024","2,231","3,900","2,830","6,720"
"2. Các khoản lãi, phí phải thu","3,519","3,568","3,552","3,315","3,198"
3. Tài sản thuế TNDN hoãn lại,0,0,2,,
4. Tài sản Có khác,"1,572","1,630","1,575","1,585","1,924"
- Trong đó: Lợi thế thương mại,28,26,25,24,22
5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,-39,-39,-36,-36,-40
TỔNG CỘNG TÀI SẢN,"216,107","202,563","210,291","217,245","229,477"
B. NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,
I. Các khoản nợ Chính phủ và NHNN,"7,912","2,181","2,167","2,205",209
II. Tiền gửi và vay các TCTD khác,"40,689","34,233","33,922","42,944","45,978"
1. Tiền gửi của các TCTD khác,"22,838","19,309","18,708","27,328","26,221"
2. Vay các TCTD khác,"17,852","14,924","15,214","15,615","19,757"
III. Tiền gửi của khách hàng,"128,060","126,694","130,058","124,918","126,019"
IV. Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,0,2,30,14,
"V. Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro","3,046","3,047","3,060","3,048","3,043"
VI. Phát hành giấy tờ có giá,"14,927","14,130","17,746","20,027","25,013"
VII. Các khoản nợ khác,"4,645","4,563","4,705","4,509","8,820"
"1. Các khoản lãi, phí phải trả","3,143","3,273","3,232","3,025","3,249"
2. Thuế TNDN hoãn lại phải trả,2,2,1,1,
3. Các khoản phải trả và công nợ khác,"1,500","1,288","1,472","1,483","5,571"
4. Dự phòng rủi ro khác (Dự phòng cho công nợ tiềm ẩn và cam kết ngoại bảng),0,0,,,
TỔNG NỢ PHẢI TRẢ,"199,279","184,849","191,688","197,651","209,096"
VIII. Vốn và các quỹ,"16,828","17,713","18,604","19,594","20,381"
1. Vốn của TCTD,"11,852","11,852","11,852","11,852","11,693"
a. Vốn điều lệ,"9,810","9,810","9,810","9,810","9,810"
b. Vốn đầu tư XDCB,0,0,0,0,0
c. Thặng dư vốn cổ phần,"2,042","2,042","2,042","2,042","2,042"
d. Cổ phiếu quỹ,0,0,0,0,-159
e. Cổ phiếu ưu đãi,0,0,,,
g. Vốn khác,0,0,,,
2. Quỹ của TCTD,776,774,"1,190","1,189","1,248"
3. Chênh lệch tỷ giá hối đoái,0,8,7,9,
4. Chênh lệch đánh giá lại tài sản,0,0,,,
5. Lợi nhuận chưa phân phối/Lỗ lũy kế,"3,007","3,806","4,171","5,070","6,131"
6. Lợi ích cổ đông không kiểm soát,"1,193","1,273","1,383","1,473","1,309"
IX. Lợi ích của cổ đông thiểu số,0,0,,,
TỔNG NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,"216,107","202,563","210,291","217,245","229,477"
