HDB,Q3/2022,Q4/2022,Q1/2023,Q2/2023,Q3/2023
"XI. Tài sản ""Có"" khác","32,379","40,128","40,844","41,893","55,852"
1. Các khoản phải thu,"26,130","33,407","33,290","34,205","48,283"
"2. Các khoản lãi, phí phải thu","4,142","4,404","5,298","5,480","5,354"
3. Tài sản thuế TNDN hoãn lại,33,33,33,33,
4. Tài sản Có khác,"2,153","2,332","2,269","2,222","2,229"
- Trong đó: Lợi thế thương mại,6,5,3,2,0
5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,-45,-46,-46,-46,-46
TỔNG CỘNG TÀI SẢN,"399,153","416,273","458,803","483,936","508,263"
B. NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,
I. Các khoản nợ Chính phủ và NHNN,59,"10,821",36,30,30
II. Tiền gửi và vay các TCTD khác,"99,637","92,653","97,328","62,766","51,538"
1. Tiền gửi của các TCTD khác,"58,217","49,441","53,660","23,761","5,630"
2. Vay các TCTD khác,"41,420","43,213","43,667","39,006","45,908"
III. Tiền gửi của khách hàng,"207,781","215,797","249,803","309,645","341,713"
IV. Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,179,226,77,272,
"V. Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro","2,906","2,860","2,792","2,801","2,811"
VI. Phát hành giấy tờ có giá,"42,766","44,162","56,238","54,880","52,133"
VII. Các khoản nợ khác,"8,663","10,758","11,701","13,336","16,741"
"1. Các khoản lãi, phí phải trả","4,853","5,053","7,051","8,270","10,051"
2. Thuế TNDN hoãn lại phải trả,1,0,,,
3. Các khoản phải trả và công nợ khác,"3,810","5,705","4,650","5,066","6,690"
4. Dự phòng rủi ro khác (Dự phòng cho công nợ tiềm ẩn và cam kết ngoại bảng),0,,,,
TỔNG NỢ PHẢI TRẢ,"361,990","377,278","417,975","443,459","465,238"
VIII. Vốn và các quỹ,"37,163","38,995","40,828","40,477","43,026"
1. Vốn của TCTD,"20,396","25,426","25,426","25,426","29,199"
a. Vốn điều lệ,"20,273","25,303","25,303","25,303","29,076"
b. Vốn đầu tư XDCB,0,0,0,0,0
c. Thặng dư vốn cổ phần,536,536,536,536,536
d. Cổ phiếu quỹ,-413,-413,-413,-413,-413
e. Cổ phiếu ưu đãi,0,,,,
g. Vốn khác,0,,,,
2. Quỹ của TCTD,"3,466","3,528","3,523","4,693","4,685"
3. Chênh lệch tỷ giá hối đoái,-37,19,16,57,
4. Chênh lệch đánh giá lại tài sản,0,,,,
5. Lợi nhuận chưa phân phối/Lỗ lũy kế,"11,361","8,000","10,088","8,549","7,256"
6. Lợi ích cổ đông không kiểm soát,"1,978","2,041","1,772","1,793","1,828"
IX. Lợi ích của cổ đông thiểu số,0,,,,
TỔNG NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,"399,153","416,273","458,803","483,936","508,263"
