HDB,Q3/2017,Q4/2017,Q1/2018,Q2/2018,Q3/2018
a. Nguyên giá BĐSĐT,59,46,52,52,52
b. Hao mòn BĐSĐT,0,0,0,0,0
"XI. Tài sản ""Có"" khác","9,568","8,256","7,882","6,666","7,275"
1. Các khoản phải thu,"4,715","3,424","2,726","2,100","2,451"
"2. Các khoản lãi, phí phải thu","3,427","3,416","3,719","3,114","3,345"
3. Tài sản thuế TNDN hoãn lại,17,21,21,21,21
4. Tài sản Có khác,"1,480","1,455","1,477","1,468","1,497"
- Trong đó: Lợi thế thương mại,35,34,32,31,29
5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,-71,-61,-61,-38,-39
TỔNG CỘNG TÀI SẢN,"174,594","189,334","190,374","191,293","199,380"
B. NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,
I. Các khoản nợ Chính phủ và NHNN,152,156,127,131,"2,152"
II. Tiền gửi và vay các TCTD khác,"27,568","37,217","41,011","26,372","29,657"
1. Tiền gửi của các TCTD khác,"9,843","12,244","21,816","15,645","13,812"
2. Vay các TCTD khác,"17,725","24,973","19,195","10,727","15,844"
III. Tiền gửi của khách hàng,"118,116","120,537","117,302","126,777","129,966"
IV. Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,0,70,,,
"V. Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro","2,928","2,928","2,947","3,009","3,064"
VI. Phát hành giấy tờ có giá,"10,582","9,793","9,446","14,411","14,750"
VII. Các khoản nợ khác,"3,960","3,873","3,761","4,018","3,837"
"1. Các khoản lãi, phí phải trả","2,725","2,696","2,632","2,632","2,668"
2. Thuế TNDN hoãn lại phải trả,0,0,,,
3. Các khoản phải trả và công nợ khác,"1,235","1,177","1,129","1,385","1,169"
4. Dự phòng rủi ro khác (Dự phòng cho công nợ tiềm ẩn và cam kết ngoại bảng),0,0,,,
TỔNG NỢ PHẢI TRẢ,"163,307","174,575","174,595","174,717","183,426"
VIII. Vốn và các quỹ,"11,287","14,759","15,779","16,576","15,955"
1. Vốn của TCTD,"8,105","11,852","11,852","11,852","11,852"
a. Vốn điều lệ,"8,100","9,810","9,810","9,810","9,810"
b. Vốn đầu tư XDCB,0,0,0,0,0
c. Thặng dư vốn cổ phần,5,"2,042","2,042","2,042","2,042"
d. Cổ phiếu quỹ,0,0,0,0,0
e. Cổ phiếu ưu đãi,0,0,,,
g. Vốn khác,0,0,,,
2. Quỹ của TCTD,586,454,452,726,726
3. Chênh lệch tỷ giá hối đoái,-37,0,38,18,17
4. Chênh lệch đánh giá lại tài sản,0,0,,,
5. Lợi nhuận chưa phân phối/Lỗ lũy kế,"2,018","1,769","2,527","2,988","2,279"
6. Lợi ích cổ đông không kiểm soát,615,684,910,992,"1,081"
IX. Lợi ích của cổ đông thiểu số,0,0,,,
TỔNG NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,"174,594","189,334","190,374","191,293","199,380"
