HDB,Q1/2020,Q2/2020,Q3/2020,Q4/2020,Q1/2021
4. Dự phòng giảm giá đầu tư dài hạn,-24,-30,-30,-31,-31
IX. Tài sản cố định,902,941,"1,008","1,059","1,198"
1. Tài sản cố định hữu hình,530,539,591,601,605
a. Nguyên giá TSCĐ,"1,195","1,224","1,293","1,319","1,345"
b. Hao mòn TSCĐ,-666,-685,-702,-717,-740
2. Tài sản cố định thuê tài chính,,,,,
a. Nguyên giá TSCĐ,,,,,
b. Hao mòn TSCĐ,,,,,
3. Tài sản cố định vô hình,372,402,417,458,593
a. Nguyên giá TSCĐ,579,614,637,686,833
b. Hao mòn TSCĐ,-207,-212,-220,-228,-240
X. Bất động sản đầu tư,44,44,35,21,21
a. Nguyên giá BĐSĐT,44,44,36,21,21
b. Hao mòn BĐSĐT,0,0,0,0,0
"XI. Tài sản ""Có"" khác","11,863","10,964","11,835","15,934","15,825"
1. Các khoản phải thu,"6,498","6,064","7,039","10,864","10,475"
"2. Các khoản lãi, phí phải thu","3,400","2,947","2,884","3,091","3,384"
3. Tài sản thuế TNDN hoãn lại,2,3,3,,
4. Tài sản Có khác,"2,002","1,990","1,950","2,019","2,005"
- Trong đó: Lợi thế thương mại,21,19,18,16,15
5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,-40,-40,-40,-40,-40
TỔNG CỘNG TÀI SẢN,"231,774","242,445","273,290","319,127","325,821"
B. NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,
I. Các khoản nợ Chính phủ và NHNN,603,182,160,143,130
II. Tiền gửi và vay các TCTD khác,"43,245","32,359","41,770","75,176","69,869"
1. Tiền gửi của các TCTD khác,"23,269","19,129","27,299","38,994","44,790"
2. Vay các TCTD khác,"19,976","13,230","14,471","36,181","25,079"
III. Tiền gửi của khách hàng,"132,822","149,805","168,443","174,620","184,988"
IV. Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,23,53,31,215,
"V. Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro","3,088","3,049","3,048","3,037","3,030"
VI. Phát hành giấy tờ có giá,"25,174","28,719","29,838","34,332","34,278"
VII. Các khoản nợ khác,"5,430","5,585","6,114","6,900","7,115"
"1. Các khoản lãi, phí phải trả","3,806","3,694","4,082","4,435","4,810"
2. Thuế TNDN hoãn lại phải trả,5,5,,,
3. Các khoản phải trả và công nợ khác,"1,624","1,891","2,032","2,460","2,301"
4. Dự phòng rủi ro khác (Dự phòng cho công nợ tiềm ẩn và cam kết ngoại bảng),,,,,
TỔNG NỢ PHẢI TRẢ,"210,386","219,751","249,404","294,423","299,410"
VIII. Vốn và các quỹ,"21,388","22,694","23,885","24,704","26,411"
1. Vốn của TCTD,"11,382","11,382","11,382","16,211","16,211"
a. Vốn điều lệ,"9,810","9,810","9,810","16,088","16,088"
b. Vốn đầu tư XDCB,0,0,0,0,0
c. Thặng dư vốn cổ phần,"1,985","1,985","1,985",536,536
d. Cổ phiếu quỹ,-413,-413,-413,-413,-413
e. Cổ phiếu ưu đãi,,,,,
g. Vốn khác,,,,,
2. Quỹ của TCTD,"1,246","1,787","1,789","1,847","1,844"
3. Chênh lệch tỷ giá hối đoái,19,15,28,30,
4. Chênh lệch đánh giá lại tài sản,,,,,
5. Lợi nhuận chưa phân phối/Lỗ lũy kế,"7,019","7,679","8,768","4,939","6,503"
6. Lợi ích cổ đông không kiểm soát,"1,721","1,831","1,918","1,707","1,823"
IX. Lợi ích của cổ đông thiểu số,,,,,
TỔNG NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,"231,774","242,445","273,290","319,127","325,821"
