TPB,Q2/2021,Q3/2021,Q4/2021,Q1/2022,Q2/2022
TỔNG CỘNG TÀI SẢN,"242,255","260,328","292,827","302,623","310,772"
B. NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,
I. Các khoản nợ Chính phủ và NHNN,627,598,564,532,493
II. Tiền gửi và vay các TCTD khác,"56,158","66,974","87,016","80,248","88,034"
1. Tiền gửi của các TCTD khác,"30,812","44,154","53,315","45,450","44,097"
2. Vay các TCTD khác,"25,345","22,820","33,700","34,798","43,937"
III. Tiền gửi của khách hàng,"132,070","131,508","139,562","152,539","156,337"
IV. Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,,,78,52,7
"V. Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",664,633,402,409,413
VI. Phát hành giấy tờ có giá,"28,635","31,528","35,405","37,220","31,268"
VII. Các khoản nợ khác,"3,819","4,326","3,812","4,242","5,211"
"1. Các khoản lãi, phí phải trả","2,431","2,792","2,583","2,897","2,905"
2. Thuế TNDN hoãn lại phải trả,,,,"1,345",
3. Các khoản phải trả và công nợ khác,"1,388","1,534","1,229","1,345","2,306"
4. Dự phòng rủi ro khác (Dự phòng cho công nợ tiềm ẩn và cam kết ngoại bảng),,,,,
TỔNG NỢ PHẢI TRẢ,"221,973","235,568","266,839","275,242","281,763"
VIII. Vốn và các quỹ,"20,281","24,759","25,988","27,380","29,009"
1. Vốn của TCTD,"10,994","14,278","18,379","18,379","18,379"
a. Vốn điều lệ,"10,717","11,717","15,818","15,818","15,818"
b. Vốn đầu tư XDCB,,,,"2,561",
c. Thặng dư vốn cổ phần,277,"2,561","2,561","2,561","2,561"
d. Cổ phiếu quỹ,,,,,
e. Cổ phiếu ưu đãi,,,,,
g. Vốn khác,,,,,
2. Quỹ của TCTD,"1,389","1,389","1,389","1,389","2,113"
3. Chênh lệch tỷ giá hối đoái,,86,,98,
4. Chênh lệch đánh giá lại tài sản,,,,,
5. Lợi nhuận chưa phân phối/Lỗ lũy kế,"7,898","9,006","6,221","7,515","8,518"
6. Lợi ích cổ đông không kiểm soát,,,,,
IX. Lợi ích của cổ đông thiểu số,,,,,
TỔNG NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,"242,255","260,328","292,827","302,623","310,772"
