BID,Q4/2023,Q1/2024,Q2/2024,Q3/2024,Q4/2024
IX. Tài sản cố định,"11,096","10,891","11,586","11,555","12,120"
1. Tài sản cố định hữu hình,"6,402","6,236","6,512","6,429","6,800"
a. Nguyên giá TSCĐ,"15,608","15,643","16,164","16,258","16,746"
b. Hao mòn TSCĐ,"-9,207","-9,407","-9,651","-9,829","-9,946"
2. Tài sản cố định thuê tài chính,,,,,
a. Nguyên giá TSCĐ,,,,,
b. Hao mòn TSCĐ,,,,,
3. Tài sản cố định vô hình,"4,695","4,655","5,073","5,126","5,321"
a. Nguyên giá TSCĐ,"7,153","7,165","7,699","7,826","8,103"
b. Hao mòn TSCĐ,"-2,459","-2,509","-2,626","-2,699","-2,783"
X. Bất động sản đầu tư,,,,,
a. Nguyên giá BĐSĐT,,,,,
b. Hao mòn BĐSĐT,,,,,
"XI. Tài sản ""Có"" khác","45,541","55,768","71,263","65,071","53,562"
1. Các khoản phải thu,"25,790","36,064","48,307","39,496","25,768"
"2. Các khoản lãi, phí phải thu","15,556","15,895","16,743","21,015","23,151"
3. Tài sản thuế TNDN hoãn lại,37,38,38,37,27
4. Tài sản Có khác,"4,483","4,080","6,486","4,834","4,921"
- Trong đó: Lợi thế thương mại,,,,,
5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,-323,-310,-312,-311,-304
TỔNG CỘNG TÀI SẢN,"2,300,814","2,328,731","2,521,053","2,575,981","2,760,693"
B. NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,
I. Các khoản nợ Chính phủ và NHNN,"35,896","57,023","131,129","95,416","168,389"
II. Tiền gửi và vay các TCTD khác,"182,252","167,810","193,206","216,252","232,956"
1. Tiền gửi của các TCTD khác,"143,991","135,530","166,266","200,329","205,613"
2. Vay các TCTD khác,"38,262","32,281","26,940","15,923","27,343"
III. Tiền gửi của khách hàng,"1,704,269","1,734,779","1,806,926","1,873,725","1,953,170"
IV. Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,328,,398,,
"V. Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro","12,208","12,190","11,963","11,608","11,981"
VI. Phát hành giấy tờ có giá,"189,487","180,565","197,648","193,317","198,900"
VII. Các khoản nợ khác,"53,457","47,346","45,083","47,224","50,784"
"1. Các khoản lãi, phí phải trả","34,434","31,766","29,155","28,356","28,670"
2. Thuế TNDN hoãn lại phải trả,94,95,92,89,80
3. Các khoản phải trả và công nợ khác,"18,929","15,486","15,837","18,678","22,034"
4. Dự phòng rủi ro khác (Dự phòng cho công nợ tiềm ẩn và cam kết ngoại bảng),,,,101,
TỔNG NỢ PHẢI TRẢ,"2,177,897","2,199,713","2,386,354","2,437,542","2,616,182"
VIII. Vốn và các quỹ,"122,917","129,018","134,700","138,440","144,512"
1. Vốn của TCTD,"72,711","72,711","72,715","72,818","84,789"
a. Vốn điều lệ,"57,004","57,004","57,004","57,004","68,975"
b. Vốn đầu tư XDCB,,,,"15,361",
c. Thặng dư vốn cổ phần,"15,361","15,361","15,361",453,"15,361"
d. Cổ phiếu quỹ,,,,,
e. Cổ phiếu ưu đãi,,,,,
g. Vốn khác,346,346,350,,453
2. Quỹ của TCTD,"12,454","15,671","15,706","15,715","15,727"
3. Chênh lệch tỷ giá hối đoái,-803,-557,-718,-682,-701
4. Chênh lệch đánh giá lại tài sản,,,,"45,499",
5. Lợi nhuận chưa phân phối/Lỗ lũy kế,"33,589","36,137","41,951","5,090","39,462"
6. Lợi ích cổ đông không kiểm soát,"4,966","5,056","5,046",,"5,234"
IX. Lợi ích của cổ đông thiểu số,,,,,
TỔNG NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,"2,300,814","2,328,731","2,521,053","2,575,981","2,760,693"
