BID,Q2/2016,Q3/2016,Q4/2016,Q1/2017,Q2/2017
TỔNG CỘNG TÀI SẢN,"930,268","950,378","1,006,635","1,026,252","1,100,433"
B. NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,
I. Các khoản nợ Chính phủ và NHNN,"38,135","46,421","43,392","40,752","52,303"
II. Tiền gửi và vay các TCTD khác,"76,734","78,678","92,450","86,690","95,454"
1. Tiền gửi của các TCTD khác,"18,424","24,724","33,097","22,443","32,789"
2. Vay các TCTD khác,"58,310","53,954","59,352","64,246","62,665"
III. Tiền gửi của khách hàng,"692,339","709,881","726,185","762,402","811,512"
IV. Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,0,,103,,
"V. Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro","18,271","11,436","11,362","11,472","11,554"
VI. Phát hành giấy tờ có giá,"40,778","37,280","66,642","55,491","55,446"
VII. Các khoản nợ khác,"19,588","20,767","22,284","23,694","26,039"
"1. Các khoản lãi, phí phải trả","11,147","11,657","13,397","14,808","15,473"
2. Thuế TNDN hoãn lại phải trả,5,55,55,107,104
3. Các khoản phải trả và công nợ khác,"8,436","9,055","8,832","8,780","10,462"
4. Dự phòng rủi ro khác (Dự phòng cho công nợ tiềm ẩn và cam kết ngoại bảng),0,,,,
TỔNG NỢ PHẢI TRẢ,"885,845","904,465","962,418","980,501","1,052,309"
VIII. Vốn và các quỹ,"44,423","45,913","44,217","45,751","48,124"
1. Vốn của TCTD,"34,272","34,272","34,305","34,305","34,305"
a. Vốn điều lệ,"34,187","34,187","34,187","34,187","34,187"
b. Vốn đầu tư XDCB,0,,,,
c. Thặng dư vốn cổ phần,30,30,30,30,30
d. Cổ phiếu quỹ,0,,,,
e. Cổ phiếu ưu đãi,0,,,,
g. Vốn khác,54,54,87,87,87
2. Quỹ của TCTD,"2,466","2,508","3,367","3,377","3,461"
3. Chênh lệch tỷ giá hối đoái,88,-7,-111,68,72
4. Chênh lệch đánh giá lại tài sản,0,,,,
5. Lợi nhuận chưa phân phối/Lỗ lũy kế,"6,212","7,742","5,053","6,369","7,351"
6. Lợi ích cổ đông không kiểm soát,"1,384","1,398","1,603","1,632","2,936"
IX. Lợi ích của cổ đông thiểu số,0,,,,
TỔNG NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,"930,268","950,378","1,006,635","1,026,252","1,100,433"
