BID,Q4/2013,Q1/2014,Q2/2014,Q3/2014,Q4/2014
1. Tài sản cố định hữu hình,"2,683","2,635","2,590","3,047","3,458"
a. Nguyên giá TSCĐ,"4,816","4,839","4,861","5,703","6,197"
b. Hao mòn TSCĐ,"-2,133","-2,204","-2,270","-2,656","-2,739"
2. Tài sản cố định thuê tài chính,241,231,256,,
a. Nguyên giá TSCĐ,522,517,552,,
b. Hao mòn TSCĐ,-282,-286,-296,,
3. Tài sản cố định vô hình,"2,278","2,277","2,264","2,259","3,214"
a. Nguyên giá TSCĐ,"2,697","2,715","2,719","2,733","3,719"
b. Hao mòn TSCĐ,-419,-437,-455,-474,-505
X. Bất động sản đầu tư,,,,,
a. Nguyên giá BĐSĐT,,,,,
b. Hao mòn BĐSĐT,,,,,
"XI. Tài sản ""Có"" khác","19,854","22,516","23,261","24,581","21,120"
1. Các khoản phải thu,"11,378","12,792","12,775","13,992","10,435"
"2. Các khoản lãi, phí phải thu","7,073","7,891","8,485","8,564","8,420"
3. Tài sản thuế TNDN hoãn lại,,0,1,0,0
4. Tài sản Có khác,"1,483","1,938","2,104","2,140","2,370"
- Trong đó: Lợi thế thương mại,,,,,
5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,-80,-105,-103,-116,-104
TỔNG CỘNG TÀI SẢN,"548,511","572,263","579,022","598,942","650,364"
B. NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,
I. Các khoản nợ Chính phủ và NHNN,"16,496","13,819","17,900","22,597","20,121"
II. Tiền gửi và vay các TCTD khác,"47,565","60,533","60,268","60,113","86,186"
1. Tiền gửi của các TCTD khác,"10,602","28,468","15,210","13,212","18,288"
2. Vay các TCTD khác,"36,963","32,064","45,058","46,902","67,898"
III. Tiền gửi của khách hàng,"339,135","357,856","386,056","399,574","440,472"
IV. Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,,,,144,75
"V. Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro","67,245","62,488","44,155","43,256","35,445"
VI. Phát hành giấy tờ có giá,"33,254","30,279","22,412","25,315","20,077"
VII. Các khoản nợ khác,"12,494","13,538","14,731","15,569","14,285"
"1. Các khoản lãi, phí phải trả","6,554","6,862","7,442","7,360","7,261"
2. Thuế TNDN hoãn lại phải trả,,,,,
3. Các khoản phải trả và công nợ khác,"4,992","5,703","7,289","8,209","7,025"
4. Dự phòng rủi ro khác (Dự phòng cho công nợ tiềm ẩn và cam kết ngoại bảng),948,973,,,
TỔNG NỢ PHẢI TRẢ,"516,190","538,513","545,522","566,567","616,661"
VIII. Vốn và các quỹ,"32,070","33,450","33,199","32,048","33,367"
1. Vốn của TCTD,"28,142","28,142","28,142","28,142","28,142"
a. Vốn điều lệ,"28,112","28,112","28,112","28,112","28,112"
b. Vốn đầu tư XDCB,,,,,
c. Thặng dư vốn cổ phần,30,30,30,30,30
d. Cổ phiếu quỹ,,,,,
e. Cổ phiếu ưu đãi,,,,,
g. Vốn khác,,,,,
2. Quỹ của TCTD,378,379,953,953,"1,655"
3. Chênh lệch tỷ giá hối đoái,-57,-178,-130,-136,-31
4. Chênh lệch đánh giá lại tài sản,,,,,
5. Lợi nhuận chưa phân phối/Lỗ lũy kế,"3,607","5,108","4,234","3,088","3,600"
6. Lợi ích cổ đông không kiểm soát,,,,,
IX. Lợi ích của cổ đông thiểu số,252,299,301,328,336
TỔNG NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,"548,511","572,263","579,022","598,942","650,364"
