BID,Q3/2022,Q4/2022,Q1/2023,Q2/2023,Q3/2023
b. Hao mòn TSCĐ,"-2,148","-2,203","-2,260","-2,339","-2,403"
X. Bất động sản đầu tư,,,,,
a. Nguyên giá BĐSĐT,,,,,
b. Hao mòn BĐSĐT,,,,,
"XI. Tài sản ""Có"" khác","33,720","38,301","38,795","40,088","46,780"
1. Các khoản phải thu,"16,536","22,638","22,226","23,353","28,601"
"2. Các khoản lãi, phí phải thu","12,771","13,020","13,738","13,977","15,291"
3. Tài sản thuế TNDN hoãn lại,38,36,35,36,36
4. Tài sản Có khác,"4,929","3,186","3,403","3,348","3,475"
- Trong đó: Lợi thế thương mại,,,,,
5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,-554,-578,-608,-626,-622
TỔNG CỘNG TÀI SẢN,"2,048,953","2,120,528","2,106,865","2,124,803","2,132,855"
B. NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,
I. Các khoản nợ Chính phủ và NHNN,"134,768","152,753","123,422","51,539","13,242"
II. Tiền gửi và vay các TCTD khác,"199,716","178,797","146,847","191,573","187,836"
1. Tiền gửi của các TCTD khác,"157,871","138,312","116,597","158,441","146,786"
2. Vay các TCTD khác,"41,845","40,485","30,251","33,132","41,050"
III. Tiền gửi của khách hàng,"1,414,224","1,473,605","1,497,395","1,545,569","1,583,544"
IV. Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,,,,,398
"V. Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro","14,422","13,238","13,116","12,840","12,499"
VI. Phát hành giấy tờ có giá,"144,209","157,052","169,979","156,250","162,018"
VII. Các khoản nợ khác,"40,688","40,878","46,256","52,863","54,231"
"1. Các khoản lãi, phí phải trả","23,868","26,059","32,902","36,769","38,614"
2. Thuế TNDN hoãn lại phải trả,103,103,98,95,95
3. Các khoản phải trả và công nợ khác,"16,716","14,716","13,256","15,999","15,522"
4. Dự phòng rủi ro khác (Dự phòng cho công nợ tiềm ẩn và cam kết ngoại bảng),,,,,
TỔNG NỢ PHẢI TRẢ,"1,948,028","2,016,322","1,997,016","2,010,634","2,013,767"
VIII. Vốn và các quỹ,"100,925","104,206","109,848","114,169","119,088"
1. Vốn của TCTD,"66,204","66,204","66,204","66,204","66,283"
a. Vốn điều lệ,"50,585","50,585","50,585","50,585","50,585"
b. Vốn đầu tư XDCB,,,,,
c. Thặng dư vốn cổ phần,"15,351","15,351","15,351","15,351","15,351"
d. Cổ phiếu quỹ,,,,,
e. Cổ phiếu ưu đãi,,,,,
g. Vốn khác,268,268,268,268,346
2. Quỹ của TCTD,"9,726","9,730","12,450","12,481","12,432"
3. Chênh lệch tỷ giá hối đoái,-266,-770,-662,-712,-475
4. Chênh lệch đánh giá lại tài sản,,,,,
5. Lợi nhuận chưa phân phối/Lỗ lũy kế,"20,593","24,322","27,028","31,428","36,008"
6. Lợi ích cổ đông không kiểm soát,"4,668","4,719","4,827","4,768","4,841"
IX. Lợi ích của cổ đông thiểu số,,,,,
TỔNG NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,"2,048,953","2,120,528","2,106,865","2,124,803","2,132,855"
