BID,Q3/2012,Q4/2012,Q1/2013,Q2/2013,Q3/2013
b. Hao mòn TSCĐ,-348,-364,-378,-392,-399
X. Bất động sản đầu tư,0,,,,
a. Nguyên giá BĐSĐT,0,,,,
b. Hao mòn BĐSĐT,0,,,,
"XI. Tài sản ""Có"" khác","15,598","15,935","17,458","18,927","20,244"
1. Các khoản phải thu,"8,200","10,284","11,436","12,233","12,551"
"2. Các khoản lãi, phí phải thu","4,622","5,053","5,472","6,215","6,967"
3. Tài sản thuế TNDN hoãn lại,0,,,,
4. Tài sản Có khác,"2,843",633,606,547,807
- Trong đó: Lợi thế thương mại,0,,,,
5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,-68,-36,-56,-68,-81
TỔNG CỘNG TÀI SẢN,"456,157","484,696","485,923","521,540","535,794"
B. NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,
I. Các khoản nợ Chính phủ và NHNN,"10,900","11,430","8,751","10,568","11,045"
II. Tiền gửi và vay các TCTD khác,"37,074","38,431","39,764","44,906","50,805"
1. Tiền gửi của các TCTD khác,"10,330","7,039","4,605","11,011","11,723"
2. Vay các TCTD khác,"26,743","31,392","35,159","33,895","39,083"
III. Tiền gửi của khách hàng,"293,197","303,576","320,039","335,449","340,844"
IV. Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,0,16,207,202,
"V. Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro","65,236","65,334","60,900","71,968","71,671"
VI. Phát hành giấy tờ có giá,"14,181","28,056","16,833","16,747","17,708"
VII. Các khoản nợ khác,"9,303","10,742","11,558","12,958","12,027"
"1. Các khoản lãi, phí phải trả","5,372","6,173","6,555","7,801","6,668"
2. Thuế TNDN hoãn lại phải trả,0,,,,
3. Các khoản phải trả và công nợ khác,"3,057","3,564","4,009","4,277","4,435"
4. Dự phòng rủi ro khác (Dự phòng cho công nợ tiềm ẩn và cam kết ngoại bảng),875,"1,004",994,881,923
TỔNG NỢ PHẢI TRẢ,"429,892","457,584","458,051","492,798","504,101"
VIII. Vốn và các quỹ,"26,055","26,903","27,658","28,528","31,446"
1. Vốn của TCTD,"24,430","24,430","24,430","24,430","28,142"
a. Vốn điều lệ,"23,012","23,012","23,012","23,012","28,112"
b. Vốn đầu tư XDCB,0,,,,
c. Thặng dư vốn cổ phần,30,30,30,30,30
d. Cổ phiếu quỹ,0,,,,
e. Cổ phiếu ưu đãi,0,,,,
g. Vốn khác,"1,388","1,388","1,388","1,388",
2. Quỹ của TCTD,0,420,376,377,378
3. Chênh lệch tỷ giá hối đoái,13,20,-32,-33,10
4. Chênh lệch đánh giá lại tài sản,0,,,,
5. Lợi nhuận chưa phân phối/Lỗ lũy kế,"1,613","2,032","2,885","3,754","2,916"
6. Lợi ích cổ đông không kiểm soát,,,,,
IX. Lợi ích của cổ đông thiểu số,210,209,213,215,248
TỔNG NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,"456,157","484,696","485,923","521,540","535,794"
