BID,Q1/2015,Q2/2015,Q3/2015,Q4/2015,Q1/2016
1. Đầu tư vào công ty con,0,0,0,0,0
"2. Đầu tư vào công ty liên doanh, liên kết","4,318","4,582","4,907","4,870","4,099"
3. Đầu tư dài hạn khác,422,615,593,540,533
4. Dự phòng giảm giá đầu tư dài hạn,-139,-169,-166,-159,-160
IX. Tài sản cố định,"6,598","7,656","7,540","8,535","8,460"
1. Tài sản cố định hữu hình,"3,391","3,880","3,788","4,555","4,513"
a. Nguyên giá TSCĐ,"6,219","7,165","7,208","8,129","8,222"
b. Hao mòn TSCĐ,"-2,828","-3,284","-3,420","-3,574","-3,709"
2. Tài sản cố định thuê tài chính,0,0,0,0,0
a. Nguyên giá TSCĐ,0,0,0,0,0
b. Hao mòn TSCĐ,0,0,0,0,0
3. Tài sản cố định vô hình,"3,207","3,776","3,752","3,980","3,947"
a. Nguyên giá TSCĐ,"3,731","4,395","4,398","4,681","4,682"
b. Hao mòn TSCĐ,-524,-619,-646,-701,-735
X. Bất động sản đầu tư,0,0,0,0,0
a. Nguyên giá BĐSĐT,0,0,0,0,0
b. Hao mòn BĐSĐT,0,0,0,0,0
"XI. Tài sản ""Có"" khác","23,040","19,524","21,303","20,111","21,796"
1. Các khoản phải thu,"11,631","6,123","8,883","5,298","6,198"
"2. Các khoản lãi, phí phải thu","9,130","8,541","9,194","9,482","10,098"
3. Tài sản thuế TNDN hoãn lại,0,0,0,0,0
4. Tài sản Có khác,"2,381","5,026","3,394","5,482","5,645"
- Trong đó: Lợi thế thương mại,0,0,0,0,0
5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,-102,-166,-168,-151,-145
TỔNG CỘNG TÀI SẢN,"662,206","724,815","786,161","850,748","858,962"
B. NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,
I. Các khoản nợ Chính phủ và NHNN,"14,830","15,028","17,865","45,402","20,688"
II. Tiền gửi và vay các TCTD khác,"87,986","74,043","81,232","79,751","86,517"
1. Tiền gửi của các TCTD khác,"27,783","23,893","24,459","21,541","34,424"
2. Vay các TCTD khác,"60,204","50,150","56,773","58,210","52,093"
III. Tiền gửi của khách hàng,"463,566","531,063","543,118","564,589","612,339"
IV. Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,0,0,17,4,0
"V. Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro","31,403","34,561","33,178","35,295","30,290"
VI. Phát hành giấy tờ có giá,"15,463","15,038","52,011","65,542","46,368"
VII. Các khoản nợ khác,"13,706","19,576","18,761","17,837","18,998"
"1. Các khoản lãi, phí phải trả","7,325","7,984","8,627","9,436","10,334"
2. Thuế TNDN hoãn lại phải trả,0,16,0,0,5
3. Các khoản phải trả và công nợ khác,"6,381","11,576","10,134","8,400","8,658"
4. Dự phòng rủi ro khác (Dự phòng cho công nợ tiềm ẩn và cam kết ngoại bảng),0,0,0,0,0
TỔNG NỢ PHẢI TRẢ,"626,954","689,310","746,181","808,419","815,199"
VIII. Vốn và các quỹ,"35,251","35,505","39,981","42,329","43,763"
1. Vốn của TCTD,"28,142","31,566","34,272","34,272","34,272"
a. Vốn điều lệ,"28,112","31,481","34,187","34,187","34,187"
b. Vốn đầu tư XDCB,0,0,0,0,0
c. Thặng dư vốn cổ phần,30,30,30,30,30
d. Cổ phiếu quỹ,0,0,0,0,0
e. Cổ phiếu ưu đãi,0,0,0,0,0
g. Vốn khác,0,54,54,54,54
2. Quỹ của TCTD,"1,657","1,687","1,688","2,462","2,464"
3. Chênh lệch tỷ giá hối đoái,-10,-98,166,-42,0
4. Chênh lệch đánh giá lại tài sản,0,0,0,0,0
5. Lợi nhuận chưa phân phối/Lỗ lũy kế,"5,116","2,077","3,573","4,242","5,618"
6. Lợi ích cổ đông không kiểm soát,346,273,281,"1,395","1,410"
IX. Lợi ích của cổ đông thiểu số,0,0,0,0,0
TỔNG NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,"662,206","724,815","786,161","850,748","858,962"
