BID,Q4/2018,Q1/2019,Q2/2019,Q3/2019,Q4/2019
1. Tài sản cố định hữu hình,"6,352","6,249","6,084","5,947","6,295"
a. Nguyên giá TSCĐ,"12,100","12,186","12,242","12,292","12,785"
b. Hao mòn TSCĐ,"-5,747","-5,937","-6,158","-6,345","-6,490"
2. Tài sản cố định thuê tài chính,,,,,"4,310"
a. Nguyên giá TSCĐ,,,,,"5,866"
b. Hao mòn TSCĐ,,,,,"-1,556"
3. Tài sản cố định vô hình,"4,314","4,329","4,308","4,276",
a. Nguyên giá TSCĐ,"5,672","5,736","5,765","5,783",
b. Hao mòn TSCĐ,"-1,357","-1,406","-1,457","-1,506",
X. Bất động sản đầu tư,,,,,
a. Nguyên giá BĐSĐT,,,,,
b. Hao mòn BĐSĐT,,,,,
"XI. Tài sản ""Có"" khác","24,721","25,979","27,582","27,045","26,038"
1. Các khoản phải thu,"8,852","9,436","10,183","10,034","9,287"
"2. Các khoản lãi, phí phải thu","11,897","12,616","13,252","13,240","12,863"
3. Tài sản thuế TNDN hoãn lại,34,34,33,36,39
4. Tài sản Có khác,"4,589","4,535","4,759","4,374","4,492"
- Trong đó: Lợi thế thương mại,,,,,
5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,-652,-643,-645,-638,-643
TỔNG CỘNG TÀI SẢN,"1,313,038","1,342,939","1,400,186","1,425,399","1,490,105"
B. NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,
I. Các khoản nợ Chính phủ và NHNN,"105,297","98,575","90,275","94,246","108,760"
II. Tiền gửi và vay các TCTD khác,"79,198","85,947","95,908","89,487","76,608"
1. Tiền gửi của các TCTD khác,"22,064","33,746","43,792","39,402","28,819"
2. Vay các TCTD khác,"57,134","52,201","52,116","50,085","47,788"
III. Tiền gửi của khách hàng,"989,671","1,014,935","1,059,790","1,084,798","1,114,231"
IV. Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,,,,,
"V. Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro","12,296","12,599","12,598","12,468","12,386"
VI. Phát hành giấy tờ có giá,"39,991","42,102","48,978","49,544","62,772"
VII. Các khoản nợ khác,"31,890","32,128","35,046","35,478","37,581"
"1. Các khoản lãi, phí phải trả","20,726","21,389","23,351","24,494","24,694"
2. Thuế TNDN hoãn lại phải trả,91,91,89,89,114
3. Các khoản phải trả và công nợ khác,"11,073","10,649","11,606","10,894","12,773"
4. Dự phòng rủi ro khác (Dự phòng cho công nợ tiềm ẩn và cam kết ngoại bảng),,,,,
TỔNG NỢ PHẢI TRẢ,"1,258,345","1,286,286","1,342,597","1,366,022","1,412,338"
VIII. Vốn và các quỹ,"54,693","56,652","57,589","59,377","77,766"
1. Vốn của TCTD,"34,397","34,397","34,397","34,485","54,780"
a. Vốn điều lệ,"34,187","34,187","34,187","34,187","40,220"
b. Vốn đầu tư XDCB,,,,,
c. Thặng dư vốn cổ phần,30,30,30,30,"14,292"
d. Cổ phiếu quỹ,,,,,
e. Cổ phiếu ưu đãi,,,,,
g. Vốn khác,179,179,179,268,268
2. Quỹ của TCTD,"4,618","4,645","5,738","5,740","5,744"
3. Chênh lệch tỷ giá hối đoái,157,220,180,172,126
4. Chênh lệch đánh giá lại tài sản,,,,,
5. Lợi nhuận chưa phân phối/Lỗ lũy kế,"12,483","14,295","14,196","15,863","13,998"
6. Lợi ích cổ đông không kiểm soát,"3,039","3,095","3,079","3,117","3,118"
IX. Lợi ích của cổ đông thiểu số,,,,,
TỔNG NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,"1,313,038","1,342,939","1,400,186","1,425,399","1,490,105"
