BID,Q1/2020,Q2/2020,Q3/2020,Q4/2020,Q1/2021
1. Đầu tư vào công ty con,0,,,,
"2. Đầu tư vào công ty liên doanh, liên kết","2,722","2,590","2,595","2,643","2,731"
3. Đầu tư dài hạn khác,216,216,215,215,216
4. Dự phòng giảm giá đầu tư dài hạn,-104,-104,-104,-95,-104
IX. Tài sản cố định,"10,398","10,317","10,169","10,414","10,241"
1. Tài sản cố định hữu hình,"6,125","6,078","5,973","6,154","6,009"
a. Nguyên giá TSCĐ,"12,818","12,956","13,037","13,353","13,362"
b. Hao mòn TSCĐ,"-6,693","-6,878","-7,064","-7,199","-7,352"
2. Tài sản cố định thuê tài chính,0,,,,
a. Nguyên giá TSCĐ,0,,,,
b. Hao mòn TSCĐ,0,,,,
3. Tài sản cố định vô hình,"4,272","4,239","4,195","4,260","4,232"
a. Nguyên giá TSCĐ,"5,879","5,889","5,890","6,007","6,015"
b. Hao mòn TSCĐ,"-1,607","-1,650","-1,694","-1,748","-1,783"
X. Bất động sản đầu tư,0,,,,
a. Nguyên giá BĐSĐT,0,,,,
b. Hao mòn BĐSĐT,0,,,,
"XI. Tài sản ""Có"" khác","28,103","26,289","27,710","25,729","26,335"
1. Các khoản phải thu,"9,852","9,773","11,605","9,781","10,737"
"2. Các khoản lãi, phí phải thu","14,502","13,219","12,958","12,819","12,572"
3. Tài sản thuế TNDN hoãn lại,37,42,47,37,41
4. Tài sản Có khác,"4,347","3,889","3,723","3,709","3,579"
- Trong đó: Lợi thế thương mại,0,,,,
5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,-635,-633,-623,-617,-594
TỔNG CỘNG TÀI SẢN,"1,446,044","1,446,354","1,467,806","1,516,870","1,558,887"
B. NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,
I. Các khoản nợ Chính phủ và NHNN,"66,444","32,954","22,469","17,223","27,563"
II. Tiền gửi và vay các TCTD khác,"84,502","67,567","84,990","82,353","112,053"
1. Tiền gửi của các TCTD khác,"36,983","21,449","40,332","40,921","69,279"
2. Vay các TCTD khác,"47,519","46,119","44,658","41,432","42,774"
III. Tiền gửi của khách hàng,"1,100,293","1,131,518","1,145,004","1,226,674","1,225,958"
IV. Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,0,,,,
"V. Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro","12,260","12,385","12,414","12,853","12,705"
VI. Phát hành giấy tờ có giá,"67,612","85,495","83,248","63,237","66,195"
VII. Các khoản nợ khác,"35,664","36,704","38,241","34,741","32,150"
"1. Các khoản lãi, phí phải trả","25,655","26,174","24,719","22,428","20,765"
2. Thuế TNDN hoãn lại phải trả,112,111,111,113,114
3. Các khoản phải trả và công nợ khác,"9,898","10,419","13,412","12,201","11,272"
4. Dự phòng rủi ro khác (Dự phòng cho công nợ tiềm ẩn và cam kết ngoại bảng),0,,,,
TỔNG NỢ PHẢI TRẢ,"1,366,775","1,366,622","1,386,365","1,437,081","1,476,624"
VIII. Vốn và các quỹ,"79,269","79,732","81,441","79,788","82,263"
1. Vốn của TCTD,"54,780","54,780","54,780","54,780","54,780"
a. Vốn điều lệ,"40,220","40,220","40,220","40,220","40,220"
b. Vốn đầu tư XDCB,0,,,,
c. Thặng dư vốn cổ phần,"14,292","14,292","14,292","14,292","14,292"
d. Cổ phiếu quỹ,0,,,,
e. Cổ phiếu ưu đãi,0,,,,
g. Vốn khác,268,268,268,268,268
2. Quỹ của TCTD,"7,006","7,040","7,045","7,051","8,072"
3. Chênh lệch tỷ giá hối đoái,298,150,113,50,19
4. Chênh lệch đánh giá lại tài sản,0,,,,
5. Lợi nhuận chưa phân phối/Lỗ lũy kế,"14,015","14,608","16,306","14,680","16,157"
6. Lợi ích cổ đông không kiểm soát,"3,169","3,153","3,197","3,227","3,235"
IX. Lợi ích của cổ đông thiểu số,0,,,,
TỔNG NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,"1,446,044","1,446,354","1,467,806","1,516,870","1,558,887"
