MBB,Q3/2022,Q4/2022,Q1/2023,Q2/2023,Q3/2023
X. Bất động sản đầu tư,238,236,235,233,232
a. Nguyên giá BĐSĐT,250,250,250,250,250
b. Hao mòn BĐSĐT,-12,-14,-16,-17,-19
"XI. Tài sản ""Có"" khác","32,427","32,901","31,993","32,612","31,439"
1. Các khoản phải thu,"21,100","20,161","17,765","17,691","15,931"
"2. Các khoản lãi, phí phải thu","6,033","6,786","8,270","9,385","9,981"
3. Tài sản thuế TNDN hoãn lại,15,11,11,11,14
4. Tài sản Có khác,"5,525","6,175","6,133","5,657","5,641"
- Trong đó: Lợi thế thương mại,29,29,19,19,19
5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,-246,-232,-185,-133,-128
TỔNG CỘNG TÀI SẢN,"656,804","728,532","760,761","806,238","815,881"
B. NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,
I. Các khoản nợ Chính phủ và NHNN,23,32,"2,548",48,74
II. Tiền gửi và vay các TCTD khác,"63,172","65,117","76,745","87,145","75,970"
1. Tiền gửi của các TCTD khác,"63,172","65,117","76,745","87,145","75,970"
2. Vay các TCTD khác,,,,,
III. Tiền gửi của khách hàng,"377,145","443,606","452,415","475,406","479,733"
IV. Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,31,23,,,
"V. Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro","2,232","2,003","1,038","1,604","2,766"
VI. Phát hành giấy tờ có giá,"101,773","96,578","105,025","112,432","116,032"
VII. Các khoản nợ khác,"36,549","41,584","38,192","43,533","49,520"
"1. Các khoản lãi, phí phải trả","6,248","7,688","9,922","11,093","12,928"
2. Thuế TNDN hoãn lại phải trả,1,,,,
3. Các khoản phải trả và công nợ khác,"30,300","33,896","28,270","32,440","36,591"
4. Dự phòng rủi ro khác (Dự phòng cho công nợ tiềm ẩn và cam kết ngoại bảng),0,0,0,0,1
TỔNG NỢ PHẢI TRẢ,"580,894","648,919","675,994","720,168","724,118"
VIII. Vốn và các quỹ,"75,910","79,613","84,767","86,069","91,763"
1. Vốn của TCTD,"39,615","47,597","47,597","47,626","54,938"
a. Vốn điều lệ,"37,783","45,340","45,340","45,340","52,141"
b. Vốn đầu tư XDCB,,,,,
c. Thặng dư vốn cổ phần,869,869,869,869,869
d. Cổ phiếu quỹ,,,,,
e. Cổ phiếu ưu đãi,,,,,
g. Vốn khác,962,"1,388","1,388","1,417","1,928"
2. Quỹ của TCTD,"9,321","9,289","9,261","12,046","12,255"
3. Chênh lệch tỷ giá hối đoái,-14,-10,45,,
4. Chênh lệch đánh giá lại tài sản,"20,610",,,,
5. Lợi nhuận chưa phân phối/Lỗ lũy kế,"23,586","19,064","24,078","22,511","3,914"
6. Lợi ích cổ đông không kiểm soát,"3,388","3,664","3,846","3,896",
IX. Lợi ích của cổ đông thiểu số,,,,,
TỔNG NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,"656,804","728,532","760,761","806,238","815,881"
