MBB,Q4/2018,Q1/2019,Q2/2019,Q3/2019,Q4/2019
1. Tài sản cố định hữu hình,"1,586","1,549","1,581","1,593","1,642"
a. Nguyên giá TSCĐ,"3,268","3,293","3,388","3,469","3,586"
b. Hao mòn TSCĐ,"-1,682","-1,744","-1,807","-1,876","-1,944"
2. Tài sản cố định thuê tài chính,0,0,0,,
a. Nguyên giá TSCĐ,0,0,0,,
b. Hao mòn TSCĐ,0,0,0,,
3. Tài sản cố định vô hình,"1,113","1,112","1,109","1,122","1,156"
a. Nguyên giá TSCĐ,"1,823","1,851","1,870","1,913","1,980"
b. Hao mòn TSCĐ,-710,-739,-762,-791,-824
X. Bất động sản đầu tư,31,31,31,31,31
a. Nguyên giá BĐSĐT,31,31,31,31,31
b. Hao mòn BĐSĐT,0,0,0,,
"XI. Tài sản ""Có"" khác","15,865","19,632","18,202","19,930","17,447"
1. Các khoản phải thu,"10,325","14,201","3,718","4,087","3,772"
"2. Các khoản lãi, phí phải thu","3,429","3,508",13,13,4
3. Tài sản thuế TNDN hoãn lại,16,9,"12,338","13,761","11,471"
4. Tài sản Có khác,"2,396","2,202","2,422","2,358","2,475"
- Trong đó: Lợi thế thương mại,75,75,57,57,57
5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,-301,-288,-289,-289,-274
TỔNG CỘNG TÀI SẢN,"362,361","383,219","402,264","397,441","411,488"
B. NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,
I. Các khoản nợ Chính phủ và NHNN,"2,633","3,159","2,600","2,633",17
II. Tiền gửi và vay các TCTD khác,"60,471","72,809","68,844","58,395","50,314"
1. Tiền gửi của các TCTD khác,"40,693","51,504","47,957","38,724","29,550"
2. Vay các TCTD khác,"19,778","21,305","20,887","19,671","20,764"
III. Tiền gửi của khách hàng,"239,964","242,252","259,009","254,130","272,710"
IV. Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,42,62,0,,
"V. Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",320,289,303,265,302
VI. Phát hành giấy tờ có giá,"11,158","15,015","18,879","24,088","26,289"
VII. Các khoản nợ khác,"13,601","13,564","17,041","20,246","21,971"
"1. Các khoản lãi, phí phải trả","2,821","3,426","4,109","4,628","4,599"
2. Thuế TNDN hoãn lại phải trả,17,19,19,23,12
3. Các khoản phải trả và công nợ khác,"10,763","10,120","12,913","15,594","17,360"
4. Dự phòng rủi ro khác (Dự phòng cho công nợ tiềm ẩn và cam kết ngoại bảng),0,0,0,,
TỔNG NỢ PHẢI TRẢ,"328,188","347,088","366,738","359,758","371,602"
VIII. Vốn và các quỹ,"34,173","36,131","35,526","37,683","37,998"
1. Vốn của TCTD,"21,632","20,596","20,596","20,596","22,718"
a. Vốn điều lệ,"21,605","21,605","21,605","21,605","23,727"
b. Vốn đầu tư XDCB,0,0,0,,
c. Thặng dư vốn cổ phần,0,0,0,,
d. Cổ phiếu quỹ,0,"-1,037","-1,037","-1,037","-1,037"
e. Cổ phiếu ưu đãi,0,0,0,,
g. Vốn khác,28,28,28,28,28
2. Quỹ của TCTD,"3,887","4,977","5,048","5,037","4,937"
3. Chênh lệch tỷ giá hối đoái,0,0,0,,
4. Chênh lệch đánh giá lại tài sản,0,0,0,,
5. Lợi nhuận chưa phân phối/Lỗ lũy kế,"7,124","8,956","8,079","10,220","10,342"
6. Lợi ích cổ đông không kiểm soát,"1,530","1,602","1,804","1,831",
IX. Lợi ích của cổ đông thiểu số,0,0,0,"1,888",
TỔNG NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,"362,361","383,219","402,264","397,441","411,488"
