MBB,Q2/2011,Q3/2011,Q4/2011,Q1/2012,Q2/2012
I. Các khoản nợ Chính phủ và NHNN,500,500,0,0,0
II. Tiền gửi và vay các TCTD khác,"19,281","14,478","26,929","23,090","25,365"
1. Tiền gửi của các TCTD khác,"18,803","12,000","25,122","23,090","25,365"
2. Vay các TCTD khác,478,"2,478","1,808",0,0
III. Tiền gửi của khách hàng,"72,435","76,509","88,993","94,818","100,200"
IV. Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,4,53,23,27,
"V. Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",333,710,202,208,208
VI. Phát hành giấy tờ có giá,"5,059","3,574","4,532","5,530","6,030"
VII. Các khoản nợ khác,"11,131","8,350","6,354","7,196","5,666"
"1. Các khoản lãi, phí phải trả",908,"1,074","1,074","1,085","1,436"
2. Thuế TNDN hoãn lại phải trả,0,381,223,306,
3. Các khoản phải trả và công nợ khác,"10,055","7,129","4,738","5,703","3,757"
4. Dự phòng rủi ro khác (Dự phòng cho công nợ tiềm ẩn và cam kết ngoại bảng),168,147,160,186,166
TỔNG NỢ PHẢI TRẢ,"108,738","104,123","127,062","130,865","137,497"
VIII. Vốn và các quỹ,"9,739","10,194","10,826","13,108","13,159"
1. Vốn của TCTD,"7,554","7,554","7,544","10,332","10,309"
a. Vốn điều lệ,"7,300","7,300","7,300","10,000","10,000"
b. Vốn đầu tư XDCB,0,0,0,0,
c. Thặng dư vốn cổ phần,254,254,254,338,338
d. Cổ phiếu quỹ,0,-10,0,0,
e. Cổ phiếu ưu đãi,0,0,0,0,
g. Vốn khác,0,0,-6,-30,
2. Quỹ của TCTD,975,922,850,870,"1,191"
3. Chênh lệch tỷ giá hối đoái,73,107,0,-22,-37
4. Chênh lệch đánh giá lại tài sản,0,0,0,0,
5. Lợi nhuận chưa phân phối/Lỗ lũy kế,"1,137","1,611","2,432","1,928","1,696"
6. Lợi ích cổ đông không kiểm soát,,,,,
IX. Lợi ích của cổ đông thiểu số,681,697,594,657,673
TỔNG NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,"119,158","115,014","138,482","144,629","151,328"
