MBB,Q1/2015,Q2/2015,Q3/2015,Q4/2015,Q1/2016
"2. Đầu tư vào công ty liên doanh, liên kết",362,357,357,362,362
3. Đầu tư dài hạn khác,"1,324","1,346","1,427","1,465","1,203"
4. Dự phòng giảm giá đầu tư dài hạn,-181,-213,-219,-221,-148
IX. Tài sản cố định,"1,648","1,878","1,554","1,932","1,687"
1. Tài sản cố định hữu hình,742,705,670,731,776
a. Nguyên giá TSCĐ,"1,668","1,684","1,701","1,820","1,914"
b. Hao mòn TSCĐ,-926,-978,"-1,031","-1,089","-1,137"
2. Tài sản cố định thuê tài chính,0,0,0,0,0
a. Nguyên giá TSCĐ,0,0,0,0,0
b. Hao mòn TSCĐ,0,0,0,0,0
3. Tài sản cố định vô hình,906,"1,173",884,"1,201",911
a. Nguyên giá TSCĐ,"1,227","1,506","1,229","1,575","1,302"
b. Hao mòn TSCĐ,-321,-333,-345,-374,-392
X. Bất động sản đầu tư,272,119,270,298,298
a. Nguyên giá BĐSĐT,273,121,273,302,302
b. Hao mòn BĐSĐT,-1,-2,-3,-4,-4
"XI. Tài sản ""Có"" khác","8,578","7,611","8,307","9,431","9,665"
1. Các khoản phải thu,"4,711","4,350","3,157","2,865","6,059"
"2. Các khoản lãi, phí phải thu","3,104","2,687","4,018","5,657","2,503"
3. Tài sản thuế TNDN hoãn lại,3,2,2,2,2
4. Tài sản Có khác,921,747,"1,291","1,122","1,413"
- Trong đó: Lợi thế thương mại,0,0,0,0,0
5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,-161,-175,-160,-215,-312
TỔNG CỘNG TÀI SẢN,"197,161","204,409","207,978","221,042","228,771"
B. NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,
I. Các khoản nợ Chính phủ và NHNN,0,0,0,"1,412",0
II. Tiền gửi và vay các TCTD khác,"10,756","7,696","3,867","7,509","196,707"
1. Tiền gửi của các TCTD khác,"10,756","7,696","3,867","7,509","16,191"
2. Vay các TCTD khác,0,0,0,0,"180,516"
III. Tiền gửi của khách hàng,"162,488","171,116","174,526","181,565",0
IV. Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,15,0,0,0,0
"V. Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",215,193,281,318,296
VI. Phát hành giấy tờ có giá,"2,145","2,546","2,545","2,450","2,517"
VII. Các khoản nợ khác,"3,814","4,490","4,019","4,605","5,253"
"1. Các khoản lãi, phí phải trả","1,724","1,889","1,771","1,786","1,814"
2. Thuế TNDN hoãn lại phải trả,0,0,0,0,0
3. Các khoản phải trả và công nợ khác,"2,090","2,601","2,248","2,819","3,439"
4. Dự phòng rủi ro khác (Dự phòng cho công nợ tiềm ẩn và cam kết ngoại bảng),0,0,0,0,0
TỔNG NỢ PHẢI TRẢ,"179,434","186,042","185,237","197,859","204,772"
VIII. Vốn và các quỹ,"17,727","18,368","22,741","23,183","23,998"
1. Vốn của TCTD,"11,932","11,932","16,719","16,719","17,140"
a. Vốn điều lệ,"11,594","11,594","16,000","16,000","16,312"
b. Vốn đầu tư XDCB,0,0,0,0,0
c. Thặng dư vốn cổ phần,338,338,719,719,828
d. Cổ phiếu quỹ,0,0,0,0,0
e. Cổ phiếu ưu đãi,0,0,0,0,0
g. Vốn khác,0,0,0,0,0
2. Quỹ của TCTD,"1,852","2,352","2,324","2,242","2,255"
3. Chênh lệch tỷ giá hối đoái,0,-19,0,0,0
4. Chênh lệch đánh giá lại tài sản,0,0,0,0,0
5. Lợi nhuận chưa phân phối/Lỗ lũy kế,"3,355","3,500","3,104","3,633","4,012"
6. Lợi ích cổ đông không kiểm soát,587,602,594,590,591
IX. Lợi ích của cổ đông thiểu số,0,0,0,0,0
TỔNG NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,"197,161","204,409","207,978","221,042","228,771"
