MBB,Q4/2023,Q1/2024,Q2/2024,Q3/2024,Q4/2024
1. Tài sản cố định hữu hình,"3,194","3,378","3,287","3,268","3,751"
a. Nguyên giá TSCĐ,"7,733","8,133","8,257","8,341","9,015"
b. Hao mòn TSCĐ,"-4,538","-4,755","-4,970","-5,073","-5,264"
2. Tài sản cố định thuê tài chính,0,0,,,
a. Nguyên giá TSCĐ,0,0,,,
b. Hao mòn TSCĐ,0,0,,,
3. Tài sản cố định vô hình,"1,660","1,666","1,629","1,607","1,680"
a. Nguyên giá TSCĐ,"4,196","4,372","4,534","4,680","4,977"
b. Hao mòn TSCĐ,"-2,536","-2,705","-2,905","-3,072","-3,297"
X. Bất động sản đầu tư,240,239,237,236,234
a. Nguyên giá BĐSĐT,260,260,260,260,260
b. Hao mòn BĐSĐT,-20,-22,-23,-25,-26
"XI. Tài sản ""Có"" khác","29,218","26,640","26,904","27,222","28,998"
1. Các khoản phải thu,"14,289","13,142","13,151","12,020","14,361"
"2. Các khoản lãi, phí phải thu","8,669","7,797","8,376","8,867","8,919"
3. Tài sản thuế TNDN hoãn lại,29,30,34,35,39
4. Tài sản Có khác,"6,407","5,823","5,483","6,454","5,874"
- Trong đó: Lợi thế thương mại,19,10,10,10,10
5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,-175,-151,-140,-154,-193
TỔNG CỘNG TÀI SẢN,"944,954","900,647","988,605","1,028,819","1,128,801"
B. NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,
I. Các khoản nợ Chính phủ và NHNN,9,"3,901","7,404","5,047","8,156"
II. Tiền gửi và vay các TCTD khác,"99,810","82,906","104,174","118,560","110,170"
1. Tiền gửi của các TCTD khác,"99,810","82,906","104,174","118,560","110,170"
2. Vay các TCTD khác,0,0,,,
III. Tiền gửi của khách hàng,"567,533","558,826","618,618","627,567","714,154"
IV. Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,0,382,"1,076",192,
"V. Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro","2,800","3,456","3,300","3,352","2,793"
VI. Phát hành giấy tờ có giá,"126,463","102,483","99,400","119,551","128,964"
VII. Các khoản nợ khác,"51,628","47,353","50,420","44,719","47,312"
"1. Các khoản lãi, phí phải trả","13,390","11,905","9,024","8,824","9,900"
2. Thuế TNDN hoãn lại phải trả,0,0,,,
3. Các khoản phải trả và công nợ khác,"38,237","35,447","41,395","35,894","37,411"
4. Dự phòng rủi ro khác (Dự phòng cho công nợ tiềm ẩn và cam kết ngoại bảng),1,1,1,1,1
TỔNG NỢ PHẢI TRẢ,"848,242","799,306","884,391","918,796","1,011,741"
VIII. Vốn và các quỹ,"96,711","97,275","104,214","110,023","117,060"
1. Vốn của TCTD,"54,938","54,938","56,103","56,103","56,296"
a. Vốn điều lệ,"52,141","52,141","52,871","52,871","53,063"
b. Vốn đầu tư XDCB,0,0,,,
c. Thặng dư vốn cổ phần,869,869,"1,304","1,304","1,304"
d. Cổ phiếu quỹ,0,0,,,
e. Cổ phiếu ưu đãi,0,0,,,
g. Vốn khác,"1,928","1,928","1,928","1,928","1,928"
2. Quỹ của TCTD,"12,194","12,156","15,216","15,149","14,997"
3. Chênh lệch tỷ giá hối đoái,46,88,138,73,138
4. Chênh lệch đánh giá lại tài sản,0,0,,,
5. Lợi nhuận chưa phân phối/Lỗ lũy kế,"25,560","30,093","28,691","34,477","40,718"
6. Lợi ích cổ đông không kiểm soát,"3,973",0,"4,066","4,221","4,911"
IX. Lợi ích của cổ đông thiểu số,0,"4,067",,,
TỔNG NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,"944,954","900,647","988,605","1,028,819","1,128,801"
