MBB,Q2/2021,Q3/2021,Q4/2021,Q1/2022,Q2/2022
B. NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,
I. Các khoản nợ Chính phủ và NHNN,27,42,262,329,24
II. Tiền gửi và vay các TCTD khác,"40,341","65,916","59,560","86,402","62,771"
1. Tiền gửi của các TCTD khác,"65,916","59,560","86,402","62,771",
2. Vay các TCTD khác,,,,,
III. Tiền gửi của khách hàng,"343,494","343,949","384,692","390,174","396,910"
IV. Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,,,,,
"V. Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro","1,280","1,701","1,999","1,697","1,951"
VI. Phát hành giấy tờ có giá,"52,074","54,317","66,887","72,037","91,626"
VII. Các khoản nợ khác,"30,183","30,822","31,254","31,338","34,085"
"1. Các khoản lãi, phí phải trả","5,026","5,089","5,078","5,437","5,684"
2. Thuế TNDN hoãn lại phải trả,0,,,,
3. Các khoản phải trả và công nợ khác,"25,156","25,733","26,176","25,901","28,401"
4. Dự phòng rủi ro khác (Dự phòng cho công nợ tiềm ẩn và cam kết ngoại bảng),0,0,,,
TỔNG NỢ PHẢI TRẢ,"467,400","496,747","544,654","581,976","587,368"
VIII. Vốn và các quỹ,"55,935","58,847","62,486","67,064","70,907"
1. Vốn của TCTD,"29,273","39,068","39,318","39,318","39,318"
a. Vốn điều lệ,"27,988","37,783","37,783","37,783","37,783"
b. Vốn đầu tư XDCB,,,,,
c. Thặng dư vốn cổ phần,869,869,869,869,869
d. Cổ phiếu quỹ,,,,,
e. Cổ phiếu ưu đãi,,,,,
g. Vốn khác,416,416,666,666,666
2. Quỹ của TCTD,"7,546","7,595","7,341","7,202","9,495"
3. Chênh lệch tỷ giá hối đoái,,,,,
4. Chênh lệch đánh giá lại tài sản,,,,,
5. Lợi nhuận chưa phân phối/Lỗ lũy kế,"16,482","9,449","12,915","17,452","18,861"
6. Lợi ích cổ đông không kiểm soát,"2,635","2,735","2,911","3,091","3,232"
IX. Lợi ích của cổ đông thiểu số,,,,,
TỔNG NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,"523,334","555,595","607,140","649,040","658,274"
