MBB,Q1/2020,Q2/2020,Q3/2020,Q4/2020,Q1/2021
3. Đầu tư dài hạn khác,"1,037","1,009","1,026","1,027","1,024"
4. Dự phòng giảm giá đầu tư dài hạn,-160,-142,-141,-141,-141
IX. Tài sản cố định,"2,811","2,806","4,128","4,311","4,322"
1. Tài sản cố định hữu hình,"1,645","1,634","2,938","3,089","3,051"
a. Nguyên giá TSCĐ,"3,664","3,732","5,109","5,387","5,500"
b. Hao mòn TSCĐ,"-2,020","-2,098","-2,171","-2,299","-2,449"
2. Tài sản cố định thuê tài chính,,,,0,
a. Nguyên giá TSCĐ,,,,0,
b. Hao mòn TSCĐ,,,,0,
3. Tài sản cố định vô hình,"1,166","1,172","1,190","1,222","1,272"
a. Nguyên giá TSCĐ,"2,032","2,075","2,142","2,278","2,415"
b. Hao mòn TSCĐ,-866,-903,-952,"-1,055","-1,143"
X. Bất động sản đầu tư,31,31,31,248,246
a. Nguyên giá BĐSĐT,31,31,31,250,250
b. Hao mòn BĐSĐT,,,,-2,-3
"XI. Tài sản ""Có"" khác","19,165","20,587","21,911","24,465","28,692"
1. Các khoản phải thu,"13,367","14,771","15,645","18,445","22,382"
"2. Các khoản lãi, phí phải thu","3,584","3,629","4,033","3,782","3,975"
3. Tài sản thuế TNDN hoãn lại,4,3,3,3,5
4. Tài sản Có khác,"2,500","2,435","2,480","2,280","2,377"
- Trong đó: Lợi thế thương mại,57,57,57,48,38
5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,-289,-251,-250,-46,-48
TỔNG CỘNG TÀI SẢN,"406,803","421,636","427,175","494,982","510,957"
B. NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,
I. Các khoản nợ Chính phủ và NHNN,51,24,27,15,93
II. Tiền gửi và vay các TCTD khác,"69,740","60,440","48,015","50,876","45,138"
1. Tiền gửi của các TCTD khác,"47,411","40,526","25,584","50,876","45,138"
2. Vay các TCTD khác,"22,329","19,914","22,430",0,
III. Tiền gửi của khách hàng,"240,737","257,379","269,189","310,960","327,927"
IV. Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,,137,112,0,127
"V. Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",285,257,231,207,684
VI. Phát hành giấy tờ có giá,"31,374","33,302","35,018","50,924","50,230"
VII. Các khoản nợ khác,"20,632","24,298","26,328","31,900","33,035"
"1. Các khoản lãi, phí phải trả","4,760","5,077","4,674","4,766","4,706"
2. Thuế TNDN hoãn lại phải trả,18,7,13,5,5
3. Các khoản phải trả và công nợ khác,"15,854","19,213","21,641","27,129","28,324"
4. Dự phòng rủi ro khác (Dự phòng cho công nợ tiềm ẩn và cam kết ngoại bảng),,,,0,
TỔNG NỢ PHẢI TRẢ,"362,819","375,837","378,921","444,883","457,234"
VIII. Vốn và các quỹ,"42,009","43,782","48,254","50,099","53,724"
1. Vốn của TCTD,"25,109","25,109","25,109","28,726","28,982"
a. Vốn điều lệ,"24,370","24,370","24,370","27,988","27,988"
b. Vốn đầu tư XDCB,,,,0,
c. Thặng dư vốn cổ phần,"1,178","1,178","1,178","1,178",869
d. Cổ phiếu quỹ,-564,-564,-564,-564,
e. Cổ phiếu ưu đãi,,,,0,
g. Vốn khác,125,125,125,125,125
2. Quỹ của TCTD,"4,927","6,390","6,348","6,225","6,198"
3. Chênh lệch tỷ giá hối đoái,,,,0,
4. Chênh lệch đánh giá lại tài sản,,,,0,
5. Lợi nhuận chưa phân phối/Lỗ lũy kế,"11,973","12,283","14,684","12,956","16,239"
6. Lợi ích cổ đông không kiểm soát,,,"2,113","2,193","2,306"
IX. Lợi ích của cổ đông thiểu số,"1,975","2,017",,0,
TỔNG NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,"406,803","421,636","427,175","494,982","510,957"
