MBB,Q3/2017,Q4/2017,Q1/2018,Q2/2018,Q3/2018
X. Bất động sản đầu tư,112,93,92,89,88
a. Nguyên giá BĐSĐT,121,100,100,98,98
b. Hao mòn BĐSĐT,-9,-8,-8,-9,-10
"XI. Tài sản ""Có"" khác","13,917","12,507","21,754","13,723","17,918"
1. Các khoản phải thu,"9,860","8,974","18,644","10,306","13,554"
"2. Các khoản lãi, phí phải thu","3,379","2,841","2,616","2,883","3,538"
3. Tài sản thuế TNDN hoãn lại,1,1,13,16,12
4. Tài sản Có khác,"1,362","1,617","1,385","1,379","1,507"
- Trong đó: Lợi thế thương mại,75,75,66,67,75
5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,-686,-926,-904,-860,-692
TỔNG CỘNG TÀI SẢN,"291,943","313,878","316,345","333,203","343,850"
B. NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,
I. Các khoản nợ Chính phủ và NHNN,151,"1,848","4,436","2,982","2,078"
II. Tiền gửi và vay các TCTD khác,"38,488","46,101","36,415","46,108","58,695"
1. Tiền gửi của các TCTD khác,"38,488","46,101","36,415","46,108","43,480"
2. Vay các TCTD khác,,0,0,0,"15,214"
III. Tiền gửi của khách hàng,"211,578","220,176","227,018","234,796","232,638"
IV. Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,,0,0,0,11
"V. Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",273,297,266,276,285
VI. Phát hành giấy tờ có giá,"4,118","6,022","6,124","6,088","6,094"
VII. Các khoản nợ khác,"8,872","9,832","11,057","11,623","10,840"
"1. Các khoản lãi, phí phải trả","2,583","2,756","2,703","2,880","2,900"
2. Thuế TNDN hoãn lại phải trả,,0,0,0,0
3. Các khoản phải trả và công nợ khác,"6,289","7,077","8,353","8,742","7,940"
4. Dự phòng rủi ro khác (Dự phòng cho công nợ tiềm ẩn và cam kết ngoại bảng),,0,0,0,0
TỔNG NỢ PHẢI TRẢ,"263,479","284,277","285,316","301,872","310,643"
VIII. Vốn và các quỹ,"28,464","29,601","31,030","31,331","33,208"
1. Vốn của TCTD,"17,956","18,983","18,983","18,983","21,605"
a. Vốn điều lệ,"17,127","18,155","18,155","18,155","21,605"
b. Vốn đầu tư XDCB,,0,0,0,0
c. Thặng dư vốn cổ phần,828,828,828,828,0
d. Cổ phiếu quỹ,,0,0,0,0
e. Cổ phiếu ưu đãi,,0,0,0,0
g. Vốn khác,,0,0,0,0
2. Quỹ của TCTD,"3,312","3,209","4,163","4,087","4,047"
3. Chênh lệch tỷ giá hối đoái,,0,0,0,0
4. Chênh lệch đánh giá lại tài sản,,0,0,0,0
5. Lợi nhuận chưa phân phối/Lỗ lũy kế,"5,916","5,977","6,311","6,675","5,792"
6. Lợi ích cổ đông không kiểm soát,"1,280","1,431","1,572","1,586","1,764"
IX. Lợi ích của cổ đông thiểu số,,0,0,0,0
TỔNG NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,"291,943","313,878","316,345","333,203","343,850"
