MBB,Q2/2016,Q3/2016,Q4/2016,Q1/2017,Q2/2017
TỔNG CỘNG TÀI SẢN,"239,122","239,817","256,259","250,066","276,245"
B. NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,
I. Các khoản nợ Chính phủ và NHNN,0,0,0,"1,034","1,439"
II. Tiền gửi và vay các TCTD khác,"15,419","17,938","24,713","30,356","32,639"
1. Tiền gửi của các TCTD khác,"15,419","17,938","24,713","30,356","32,639"
2. Vay các TCTD khác,0,0,0,0,0
III. Tiền gửi của khách hàng,"190,491","186,789","194,812","182,410","203,310"
IV. Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,0,1,0,0,0
"V. Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",311,289,258,238,260
VI. Phát hành giấy tờ có giá,"2,271","2,370","2,367","2,623","2,759"
VII. Các khoản nợ khác,"6,008","6,696","7,520","7,099","8,529"
"1. Các khoản lãi, phí phải trả","2,201","2,223","2,346","2,054","2,151"
2. Thuế TNDN hoãn lại phải trả,0,0,0,0,0
3. Các khoản phải trả và công nợ khác,"3,807","4,473","5,174","5,045","6,378"
4. Dự phòng rủi ro khác (Dự phòng cho công nợ tiềm ẩn và cam kết ngoại bảng),0,0,0,0,0
TỔNG NỢ PHẢI TRẢ,"214,500","214,083","229,670","223,759","248,936"
VIII. Vốn và các quỹ,"24,622","25,734","26,588","26,307","27,309"
1. Vốn của TCTD,"17,140","17,140","17,956","17,956","17,956"
a. Vốn điều lệ,"16,312","16,312","17,127","17,127","17,127"
b. Vốn đầu tư XDCB,0,0,0,0,0
c. Thặng dư vốn cổ phần,828,828,828,828,828
d. Cổ phiếu quỹ,0,0,0,0,0
e. Cổ phiếu ưu đãi,0,0,0,0,0
g. Vốn khác,0,0,0,0,0
2. Quỹ của TCTD,"2,746","2,718","2,697","2,671","3,329"
3. Chênh lệch tỷ giá hối đoái,-7,0,0,0,0
4. Chênh lệch đánh giá lại tài sản,0,0,0,0,0
5. Lợi nhuận chưa phân phối/Lỗ lũy kế,"4,151","4,833","4,699","4,435","4,763"
6. Lợi ích cổ đông không kiểm soát,591,"1,044","1,237","1,246","1,262"
IX. Lợi ích của cổ đông thiểu số,0,0,0,0,0
TỔNG NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,"239,122","239,817","256,259","250,066","276,245"
