MBB,Q3/2012,Q4/2012,Q1/2013,Q2/2013,Q3/2013
"XI. Tài sản ""Có"" khác","8,236","7,790","7,406","8,294","12,114"
1. Các khoản phải thu,"2,242","4,078","4,253","5,009","8,839"
"2. Các khoản lãi, phí phải thu","4,621","2,941","2,485","2,612","3,080"
3. Tài sản thuế TNDN hoãn lại,8,6,6,5,6
4. Tài sản Có khác,"1,701",911,807,875,409
- Trong đó: Lợi thế thương mại,,,,,
5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,-336,-145,-146,-208,-220
TỔNG CỘNG TÀI SẢN,"147,299","175,612","170,318","173,932","170,143"
B. NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,
I. Các khoản nợ Chính phủ và NHNN,,488,,,
II. Tiền gửi và vay các TCTD khác,"22,605","30,512","24,335","16,100","12,237"
1. Tiền gửi của các TCTD khác,"22,605","30,512","24,335","16,100","12,237"
2. Vay các TCTD khác,,,,,
III. Tiền gửi của khách hàng,"100,228","117,747","124,453","135,431","135,911"
IV. Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,36,26,8,8,26
"V. Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",211,190,172,179,153
VI. Phát hành giấy tờ có giá,"4,020","3,420","2,400","2,400","2,000"
VII. Các khoản nợ khác,"5,876","9,698","4,179","4,776","4,256"
"1. Các khoản lãi, phí phải trả","1,173","1,389","1,321","1,707","1,684"
2. Thuế TNDN hoãn lại phải trả,219,78,244,251,
3. Các khoản phải trả và công nợ khác,"4,191","8,023","2,404","2,606","2,292"
4. Dự phòng rủi ro khác (Dự phòng cho công nợ tiềm ẩn và cam kết ngoại bảng),293,207,211,213,279
TỔNG NỢ PHẢI TRẢ,"132,976","162,082","155,546","158,894","154,584"
VIII. Vốn và các quỹ,"13,661","12,865","14,102","14,361","14,970"
1. Vốn của TCTD,"10,320","10,320","10,945","10,945","10,963"
a. Vốn điều lệ,"10,000","10,000","10,625","10,625","10,625"
b. Vốn đầu tư XDCB,,338,,,
c. Thặng dư vốn cổ phần,338,,338,338,338
d. Cổ phiếu quỹ,,,,,
e. Cổ phiếu ưu đãi,,,,,
g. Vốn khác,-18,-18,-18,-18,
2. Quỹ của TCTD,"1,067","1,038","1,031","1,491","1,495"
3. Chênh lệch tỷ giá hối đoái,-47,,4,-22,
4. Chênh lệch đánh giá lại tài sản,,,,,
5. Lợi nhuận chưa phân phối/Lỗ lũy kế,"2,321","1,506","2,121","1,947","2,511"
6. Lợi ích cổ đông không kiểm soát,,,,,
IX. Lợi ích của cổ đông thiểu số,661,666,670,677,589
TỔNG NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,"147,299","175,612","170,318","173,932","170,143"
