MBB,Q1/2011,Q2/2011,Q3/2011,Q4/2011,Q1/2012
3. Đầu tư dài hạn khác,"2,259","2,778","2,440","1,821","1,645"
4. Dự phòng giảm giá đầu tư dài hạn,-113,-114,-111,-119,-111
IX. Tài sản cố định,"1,230","1,463","1,564","1,552","1,558"
1. Tài sản cố định hữu hình,272,358,471,471,478
a. Nguyên giá TSCĐ,596,710,859,887,933
b. Hao mòn TSCĐ,-324,-352,-387,-416,-455
2. Tài sản cố định thuê tài chính,0,,0,0,0
a. Nguyên giá TSCĐ,0,,0,0,0
b. Hao mòn TSCĐ,0,,0,0,0
3. Tài sản cố định vô hình,958,"1,105","1,093","1,081","1,079"
a. Nguyên giá TSCĐ,"1,039","1,200","1,206","1,204","1,219"
b. Hao mòn TSCĐ,-80,-95,-113,-123,-140
X. Bất động sản đầu tư,492,490,499,147,147
a. Nguyên giá BĐSĐT,493,490,499,147,147
b. Hao mòn BĐSĐT,0,,0,0,0
"XI. Tài sản ""Có"" khác","8,280","8,549","6,476","10,492","9,124"
1. Các khoản phải thu,"5,733","5,779","3,483","6,989","6,307"
"2. Các khoản lãi, phí phải thu","1,280","1,179","1,527","2,050","2,192"
3. Tài sản thuế TNDN hoãn lại,0,,0,180,8
4. Tài sản Có khác,"1,376","1,649","1,524","1,337",988
- Trong đó: Lợi thế thương mại,0,,0,0,0
5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,-109,-58,-58,-64,-371
TỔNG CỘNG TÀI SẢN,"118,320","119,158","115,014","138,482","144,629"
B. NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,
I. Các khoản nợ Chính phủ và NHNN,"5,811",500,500,0,0
II. Tiền gửi và vay các TCTD khác,"16,621","19,281","14,478","26,929","23,090"
1. Tiền gửi của các TCTD khác,"13,170","18,803","12,000","25,122","23,090"
2. Vay các TCTD khác,"3,451",478,"2,478","1,808",0
III. Tiền gửi của khách hàng,"71,703","72,435","76,509","88,993","94,818"
IV. Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,0,,4,53,23
"V. Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",177,333,710,202,208
VI. Phát hành giấy tờ có giá,"4,782","5,059","3,574","4,532","5,530"
VII. Các khoản nợ khác,"8,982","11,131","8,350","6,354","7,196"
"1. Các khoản lãi, phí phải trả",826,908,"1,074","1,074","1,085"
2. Thuế TNDN hoãn lại phải trả,0,,0,381,223
3. Các khoản phải trả và công nợ khác,"8,029","10,055","7,129","4,738","5,703"
4. Dự phòng rủi ro khác (Dự phòng cho công nợ tiềm ẩn và cam kết ngoại bảng),126,168,147,160,186
TỔNG NỢ PHẢI TRẢ,"108,075","108,738","104,123","127,062","130,865"
VIII. Vốn và các quỹ,"9,450","9,739","10,194","10,826","13,108"
1. Vốn của TCTD,"7,554","7,554","7,554","7,544","10,332"
a. Vốn điều lệ,"7,300","7,300","7,300","7,300","10,000"
b. Vốn đầu tư XDCB,0,,0,0,0
c. Thặng dư vốn cổ phần,254,254,254,254,338
d. Cổ phiếu quỹ,0,,0,-10,0
e. Cổ phiếu ưu đãi,0,,0,0,0
g. Vốn khác,0,,0,0,-6
2. Quỹ của TCTD,586,975,922,850,870
3. Chênh lệch tỷ giá hối đoái,35,73,107,0,-22
4. Chênh lệch đánh giá lại tài sản,0,,0,0,0
5. Lợi nhuận chưa phân phối/Lỗ lũy kế,"1,275","1,137","1,611","2,432","1,928"
6. Lợi ích cổ đông không kiểm soát,,,,,
IX. Lợi ích của cổ đông thiểu số,794,681,697,594,657
TỔNG NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,"118,320","119,158","115,014","138,482","144,629"
