MBB,Q4/2013,Q1/2014,Q2/2014,Q3/2014,Q4/2014
a. Nguyên giá TSCĐ,"1,342","1,362","1,467","1,507","1,644"
b. Hao mòn TSCĐ,-645,-699,-757,-812,-869
2. Tài sản cố định thuê tài chính,,,,,
a. Nguyên giá TSCĐ,,,,,
b. Hao mòn TSCĐ,,,,,
3. Tài sản cố định vô hình,"1,141","1,148","1,137","1,153","1,152"
a. Nguyên giá TSCĐ,"1,402","1,419","1,420","1,448","1,458"
b. Hao mòn TSCĐ,-261,-272,-282,-294,-306
X. Bất động sản đầu tư,192,179,181,178,273
a. Nguyên giá BĐSĐT,192,179,181,178,273
b. Hao mòn BĐSĐT,,,,,-1
"XI. Tài sản ""Có"" khác","9,667","8,567","9,760","11,135","8,764"
1. Các khoản phải thu,"6,123","5,657","6,637","7,169","4,652"
"2. Các khoản lãi, phí phải thu","3,348","2,813","2,922","3,807","3,514"
3. Tài sản thuế TNDN hoãn lại,6,6,6,6,3
4. Tài sản Có khác,405,385,447,406,757
- Trong đó: Lợi thế thương mại,,,,,
5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,-214,-293,-251,-252,-162
TỔNG CỘNG TÀI SẢN,"180,433","182,711","188,570","188,595","200,489"
B. NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,
I. Các khoản nợ Chính phủ và NHNN,,,,,
II. Tiền gửi và vay các TCTD khác,"21,402","15,536","7,387","3,922","4,604"
1. Tiền gửi của các TCTD khác,"21,402","15,536","7,387","3,922","4,604"
2. Vay các TCTD khác,,,,,
III. Tiền gửi của khách hàng,"136,099","144,979","157,675","160,436","167,609"
IV. Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,18,21,3,5,
"V. Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",178,189,216,134,225
VI. Phát hành giấy tờ có giá,"2,000","2,000","2,000","2,000","2,000"
VII. Các khoản nợ khác,"5,035","3,676","4,454","4,705","8,903"
"1. Các khoản lãi, phí phải trả","1,451","1,356","1,560","1,884","1,915"
2. Thuế TNDN hoãn lại phải trả,,,,,
3. Các khoản phải trả và công nợ khác,"3,364","2,103","2,663","2,821","6,989"
4. Dự phòng rủi ro khác (Dự phòng cho công nợ tiềm ẩn và cam kết ngoại bảng),220,217,231,,
TỔNG NỢ PHẢI TRẢ,"164,731","166,401","171,736","171,202","183,341"
VIII. Vốn và các quỹ,"15,141","15,744","16,258","16,808","16,561"
1. Vốn của TCTD,"11,595","11,595","11,595","11,932","11,932"
a. Vốn điều lệ,"11,256","11,256","11,256","11,594","11,594"
b. Vốn đầu tư XDCB,,,,,
c. Thặng dư vốn cổ phần,338,338,338,338,338
d. Cổ phiếu quỹ,,,,,
e. Cổ phiếu ưu đãi,,,,,
g. Vốn khác,,,,,
2. Quỹ của TCTD,"1,424","1,433","1,869","1,855","1,840"
3. Chênh lệch tỷ giá hối đoái,,,-34,,
4. Chênh lệch đánh giá lại tài sản,,,,,
5. Lợi nhuận chưa phân phối/Lỗ lũy kế,"2,122","2,716","2,829","3,021","2,789"
6. Lợi ích cổ đông không kiểm soát,,,,,
IX. Lợi ích của cổ đông thiểu số,560,567,576,586,587
TỔNG NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,"180,433","182,711","188,570","188,595","200,489"
