HPG,Q1/2007,Q2/2007,Q3/2007,Q4/2007,Q1/2008
1. Phải thu dài hạn của khách hàng,0,0,0,0,0
2. Trả trước cho người bán dài hạn,,,,,
3. Vốn kinh doanh ở các đơn vị trực thuộc,0,0,0,0,0
4.  Phải thu nội bộ dài hạn,0,0,0,0,0
5. Phải thu về cho vay dài hạn,,,,,
6. Phải thu dài hạn khác,0,0,0,0,260
7. Dự phòng phải thu dài hạn khó đòi (*),0,0,0,0,0
II. Tài sản cố định,892,885,911,964,955
1. Tài sản cố định hữu hình,819,806,819,869,867
- Nguyên giá,"1,130","1,142","1,188",869,"1,299"
- Giá trị hao mòn lũy kế (*),-312,-336,-369,0,-432
2. Tài sản cố định thuê tài chính,38,37,15,15,15
- Nguyên giá,48,48,19,15,19
- Giá trị hao mòn lũy kế (*),-10,-11,-4,0,-5
3. Tài sản cố định vô hình,26,29,55,54,41
- Nguyên giá,30,32,58,54,45
- Giá trị hao mòn lũy kế (*),-3,-4,-4,0,-4
III. Bất động sản đầu tư,8,8,8,7,7
- Nguyên giá,9,9,9,7,9
- Giá trị hao mòn lũy kế (*),-1,-1,-2,0,-3
IV. Tài sản dở dang dài hạn,,,,,
"1. Chi phí sản xuất, kinh doanh dở dang dài hạn",,,,,
2. Chi phí xây dựng cơ bản dở dang,9,14,22,25,33
V. Đầu tư tài chính dài hạn,0,450,190,590,392
1. Đầu tư vào công ty con,0,0,0,590,0
2. Đầu tư vào công ty liên kết. liên doanh,0,150,190,0,192
3. Đầu tư góp vốn vào đơn vị khác,,,,,
4. Dự phòng đầu tư tài chính dài hạn (*),0,0,0,0,0
5. Đầu tư nắm giữ đến ngày đáo hạn,,,,,
6. Đầu tư dài hạn khác,0,300,0,0,200
VI. Tài sản dài hạn khác,25,25,23,29,35
1. Chi phí trả trước dài hạn,18,17,16,29,20
2. Tài sản thuế thu nhập hoãn lại,7,8,7,0,14
"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn",,,,,
4. Tài sản dài hạn khác,0,0,0,0,0
5. Lợi thế thương mại,,,,,
VII. Lợi thế thương mại (áp dụng trước năm 2015),0,0,0,0,0
TỔNG CỘNG TÀI SẢN,"2,511","3,633","3,752","4,685","5,570"
NGUỒN VỐN,,,,,
A. NỢ PHẢI TRẢ,"1,305",947,699,"1,471","1,898"
I. Nợ ngắn hạn,"1,211",867,621,"1,406","1,633"
1. Phải trả người bán ngắn hạn,216,246,225,0,294
2. Người mua trả tiền trước ngắn hạn,53,71,122,0,58
3. Thuế và các khoản phải nộp Nhà nước,50,58,81,0,102
4. Phải trả người lao động,6,7,7,0,11
5. Chi phí phải trả ngắn hạn,6,100,67,0,18
6. Phải trả nội bộ ngắn hạn,0,0,0,0,0
7. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng,0,0,0,0,0
8. Doanh thu chưa thực hiện ngắn hạn,,,,,
9. Phải trả ngắn hạn khác,5,310,11,0,23
10. Vay và nợ thuê tài chính ngắn hạn,875,74,108,"1,385","1,121"
11. Dự phòng phải trả ngắn hạn,0,0,0,0,0
"12. Quỹ khen thưởng, phúc lợi",1,1,0,21,5
13. Quỹ bình ổn giá,,,,,
14. Giao dịch mua bán lại trái phiếu Chính phủ,0,0,0,0,0
II. Nợ dài hạn,94,80,78,65,265
1. Phải trả người bán dài hạn,0,0,0,65,0
2. Người mua trả tiền trước dài hạn,,,,,
3. Chi phí phải trả dài hạn,,,,,
4. Phải trả nội bộ về vốn kinh doanh,,,,,
5. Phải trả nội bộ dài hạn,0,0,0,0,0
6. Doanh thu chưa thực hiện dài hạn,0,0,0,0,0
7. Phải trả dài hạn khác,1,1,2,0,202
8. Vay và nợ thuê tài chính dài hạn,80,65,63,0,46
9. Trái phiếu chuyển đổi,,,,,
10. Cổ phiếu ưu đãi (Nợ),,,,,
11. Thuế thu nhập hoãn lại phải trả,0,0,0,0,0
12. Dự phòng phải trả dài hạn,0,0,0,0,0
13. Quỹ phát triển khoa học và công nghệ,0,0,0,0,0
14. Dự phòng trợ cấp mất việc làm,13,13,13,0,16
B. VỐN CHỦ SỞ HỮU,"1,202","2,681","3,047","3,133","3,582"
I. Vốn chủ sở hữu,"1,202","2,681","3,047","3,133","3,582"
1. Vốn góp của chủ sở hữu,"1,100","1,297","1,320","1,320","1,320"
- Cổ phiếu phổ thông có quyền biểu quyết,,,,,
- Cổ phiếu ưu đãi,,,,,
2. Thặng dư vốn cổ phần,0,"1,129","1,315","1,315","1,315"
3. Quyền chọn chuyển đổi trái phiếu,,,,,
4. Vốn khác của chủ sở hữu,0,0,0,0,0
5. Cổ phiếu quỹ (*),0,0,0,0,0
6. Chênh lệch đánh giá lại tài sản,0,0,0,0,0
7. Chênh lệch tỷ giá hối đoái,0,0,0,2,3
8. Quỹ đầu tư phát triển,0,0,0,0,0
9. Quỹ hỗ trợ sắp xếp doanh nghiệp,0,0,0,0,0
10. Quỹ khác thuộc vốn chủ sở hữu,0,0,0,0,0
11. Lợi nhuận sau thuế chưa phân phối,100,252,410,462,910
- LNST chưa phân phối lũy kế đến cuối kỳ trước,,,,,
- LNST chưa phân phối kỳ này,,,,,
12. Nguồn vốn đầu tư XDCB,0,0,0,0,0
13. Lợi ích cổ đông không kiểm soát,,,,,
14. Quỹ dự phòng tài chính,2,2,2,35,34
II. Nguồn kinh phí và quỹ khác,0,0,0,0,0
1. Nguồn kinh phí,0,0,0,0,0
2. Nguồn kinh phí đã hình thành TSCĐ,0,0,0,0,0
C. LỢI ÍCH CỔ ĐÔNG THIỂU SỐ,4,5,5,81,91
TỔNG CỘNG NGUỒN VỐN,"2,511","3,633","3,752","4,685","5,570"
