SHB,Q2/2016,Q3/2016,Q4/2016,Q1/2017,Q2/2017
B. NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,
I. Các khoản nợ Chính phủ và NHNN,805,971,"2,572","2,149",999
II. Tiền gửi và vay các TCTD khác,"27,689","21,992","32,134","35,861","31,689"
1. Tiền gửi của các TCTD khác,"22,676","16,821","23,590","29,975","24,929"
2. Vay các TCTD khác,"5,013","5,171","8,544","5,886","6,760"
III. Tiền gửi của khách hàng,"159,268","163,083","166,809","176,008","181,319"
IV. Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,103,62,34,41,0
"V. Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",754,780,"2,541","2,896","2,748"
VI. Phát hành giấy tờ có giá,"8,481","12,505","13,768","13,512","17,051"
VII. Các khoản nợ khác,"3,151","3,651","3,644","3,983","4,035"
"1. Các khoản lãi, phí phải trả","2,792","3,182","3,203","3,508","3,590"
2. Thuế TNDN hoãn lại phải trả,0,0,0,0,0
3. Các khoản phải trả và công nợ khác,359,469,441,475,445
4. Dự phòng rủi ro khác (Dự phòng cho công nợ tiềm ẩn và cam kết ngoại bảng),0,0,,0,0
TỔNG NỢ PHẢI TRẢ,"200,251","203,044","221,503","234,451","237,840"
VIII. Vốn và các quỹ,"11,755","11,964","13,283","13,459","13,945"
1. Vốn của TCTD,"9,582","9,582","11,293","11,293","11,293"
a. Vốn điều lệ,"9,486","9,486","11,197","11,197","11,197"
b. Vốn đầu tư XDCB,0,0,,0,0
c. Thặng dư vốn cổ phần,102,102,102,102,102
d. Cổ phiếu quỹ,-5,-5,-5,-5,-5
e. Cổ phiếu ưu đãi,0,0,,0,0
g. Vốn khác,0,0,,0,0
2. Quỹ của TCTD,865,864,913,"1,038","1,040"
3. Chênh lệch tỷ giá hối đoái,0,0,,-4,0
4. Chênh lệch đánh giá lại tài sản,0,7,"1,074",0,0
5. Lợi nhuận chưa phân phối/Lỗ lũy kế,"1,305","1,508",2,"1,130","1,609"
6. Lợi ích cổ đông không kiểm soát,2,2,,2,3
IX. Lợi ích của cổ đông thiểu số,0,0,,0,0
TỔNG NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,"212,006","215,008","234,786","247,910","251,785"
