SHB,Q4/2023,Q1/2024,Q2/2024,Q3/2024,Q4/2024
a. Nguyên giá TSCĐ,"1,529","1,563","1,575","1,508","1,581"
b. Hao mòn TSCĐ,-794,-812,-825,-751,-754
2. Tài sản cố định thuê tài chính,,2,2,2,
a. Nguyên giá TSCĐ,,8,8,8,
b. Hao mòn TSCĐ,,-6,-6,-6,
3. Tài sản cố định vô hình,"4,494","4,491","4,502","4,496","4,501"
a. Nguyên giá TSCĐ,"4,826","4,829","4,848","4,849","4,864"
b. Hao mòn TSCĐ,-331,-339,-346,-353,-363
X. Bất động sản đầu tư,,,,,
a. Nguyên giá BĐSĐT,,,,,
b. Hao mòn BĐSĐT,,,,,
"XI. Tài sản ""Có"" khác","36,477","38,403","38,188","34,549","46,878"
1. Các khoản phải thu,"18,863","16,960","15,638","13,343","33,485"
"2. Các khoản lãi, phí phải thu","14,559","19,555","19,892","19,763","12,126"
3. Tài sản thuế TNDN hoãn lại,,,,,
4. Tài sản Có khác,"3,126","1,975","2,751","1,585","1,386"
- Trong đó: Lợi thế thương mại,,,,,
5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,-71,-87,-92,-142,-119
TỔNG CỘNG TÀI SẢN,"630,425","621,144","659,767","688,387","747,244"
B. NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,
I. Các khoản nợ Chính phủ và NHNN,"1,334","1,309","1,279","1,261","1,243"
II. Tiền gửi và vay các TCTD khác,"70,773","68,599","91,909","107,670","134,090"
1. Tiền gửi của các TCTD khác,"65,293","65,144","81,093","97,668","123,726"
2. Vay các TCTD khác,"5,480","3,455","10,816","10,002","10,365"
III. Tiền gửi của khách hàng,"447,503","444,297","459,296","471,799","499,897"
IV. Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,97,171,240,,62
"V. Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro","1,611","1,575","1,541","1,497","1,430"
VI. Phát hành giấy tờ có giá,"42,822","35,944","35,833","36,548","39,248"
VII. Các khoản nợ khác,"16,405","16,068","13,858","13,861","13,424"
"1. Các khoản lãi, phí phải trả","14,065","13,054","10,932","10,891","10,602"
2. Thuế TNDN hoãn lại phải trả,,,,,
3. Các khoản phải trả và công nợ khác,"2,339","3,014","2,926","2,970","2,822"
4. Dự phòng rủi ro khác (Dự phòng cho công nợ tiềm ẩn và cam kết ngoại bảng),,,,,
TỔNG NỢ PHẢI TRẢ,"580,545","567,963","603,956","632,636","689,394"
VIII. Vốn và các quỹ,"49,880","53,181","55,811","55,751","57,850"
1. Vốn của TCTD,"37,638","37,638","38,073","38,073","38,073"
a. Vốn điều lệ,"36,194","36,194","36,629","36,629","36,629"
b. Vốn đầu tư XDCB,,,,,
c. Thặng dư vốn cổ phần,"1,450","1,450","1,450","1,450","1,450"
d. Cổ phiếu quỹ,-5,-5,-5,-5,-5
e. Cổ phiếu ưu đãi,,,,,
g. Vốn khác,,,,,
2. Quỹ của TCTD,"4,034","5,132","5,351","5,358","5,360"
3. Chênh lệch tỷ giá hối đoái,-689,-679,-703,-615,-531
4. Chênh lệch đánh giá lại tài sản,,,,,
5. Lợi nhuận chưa phân phối/Lỗ lũy kế,"8,896","11,089","13,089","12,935","14,947"
6. Lợi ích cổ đông không kiểm soát,,,,,
IX. Lợi ích của cổ đông thiểu số,,,,,
TỔNG NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,"630,425","621,144","659,767","688,387","747,244"
